Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+19 Quarters,,
Operating Revenue,"641,000,000","630,500,000","597,400,000","627,300,000","602,000,000","572,100,000","523,200,000","497,400,000","483,500,000","470,900,000","377,700,000","255,204,000","221,108,000","160,221,000","133,908,000","100,640,000","69,566,000","32,015,000","37,726,000","34,083,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Revenue,"2,600,000","1,900,000","1,500,000","1,900,000","9,700,000","1,800,000","400,000","1,800,000","4,600,000","5,000,000","2,500,000","331,000","2,220,000","26,000","190,000","131,000",-,"93,000","125,000","4,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue,"643,600,000","632,400,000","598,900,000","629,200,000","611,700,000","573,900,000","523,600,000","499,200,000","488,100,000","475,900,000","380,200,000","255,535,000","223,328,000","160,247,000","134,098,000","100,771,000","69,566,000","32,108,000","37,851,000","34,087,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),5.215%,10.193%,14.381%,26.042%,25.323%,20.593%,37.717%,95.355%,118.557%,196.979%,183.524%,153.580%,221.030%,399.087%,254.279%,195.629%,118.981%,5.403%,23.870%,22.695%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"272,500,000","265,300,000","255,200,000","262,200,000","278,700,000","259,200,000","237,300,000","203,100,000","213,900,000","193,600,000","167,500,000","82,094,000","107,313,000","81,416,000","70,450,000","47,652,000","26,051,000","8,385,000","10,849,000","9,584,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"371,100,000","367,100,000","343,700,000","367,000,000","333,000,000","314,700,000","286,300,000","296,100,000","274,200,000","282,300,000","212,700,000","173,441,000","116,015,000","78,831,000","63,648,000","53,119,000","43,515,000","23,723,000","27,002,000","24,503,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","235,400,000","224,300,000","206,700,000","231,600,000","196,000,000","195,900,000","179,000,000","178,700,000","172,700,000","159,100,000","129,200,000","86,064,000","81,743,000","47,568,000","43,555,000","31,876,000","22,645,000","16,299,000","16,572,000","16,258,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"1,000,000","2,200,000","700,000","-900,000","700,000","1,200,000","1,700,000","8,800,000",-,-,"200,000","8,196,000","-7,356,000","469,000","-1,309,000","-656,000","864,000","920,000",-,"732,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"314,600,000","306,200,000","284,200,000","309,200,000","276,200,000","274,200,000","255,500,000","264,000,000","239,300,000","231,000,000","183,500,000","123,064,000","99,146,000","58,409,000","51,134,000","41,634,000","24,873,000","18,052,000","17,416,000","17,914,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"56,500,000","60,900,000","59,500,000","57,800,000","56,800,000","40,500,000","30,800,000","32,100,000","34,900,000","51,300,000","29,200,000","50,377,000","16,869,000","20,422,000","12,514,000","11,485,000","18,642,000","5,671,000","9,586,000","6,589,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,"-21,000,000","-21,900,000","-19,900,000","-28,400,000","-25,700,000","-23,700,000","-17,000,000","-18,400,000","-10,400,000","-6,500,000","-5,500,000","-2,965,000","-3,102,000","-1,631,000","-1,311,000","-1,141,000","-504,000","-27,000","-24,000","-36,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"1,800,000","1,700,000","4,500,000","1,800,000","1,800,000","2,800,000",-,"300,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Earnings From Equity Investments,"-300,000",-,"-600,000","300,000","-100,000","-100,000","-100,000","-200,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"-1,800,000",-,-,-,"11,500,000",-,-,-,"9,144,000",-,-,-,"-5,091,000",-,-,"1,128,000",-,Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),"-200,000",-,"-2,700,000","-1,400,000","100,000",-,"-3,000,000","-2,500,000",-,"100,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"36,800,000","40,700,000","40,800,000","28,300,000","32,900,000","19,500,000","10,700,000","22,800,000","24,500,000","44,900,000","23,700,000","56,556,000","13,767,000","18,791,000","11,203,000","5,253,000","18,138,000","5,644,000","10,690,000","6,553,000",Upgrade,Financials in SEK,Fiscal year is January - December
Merger & Restructuring Charges,"-2,100,000","-2,000,000","-5,700,000",-,-,-,"-500,000","-5,100,000","-13,200,000","-13,100,000","-4,400,000","-43,295,000",-,-,-,-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-100,000",-,-,-,"-119,000",-,-,-,"-6,000",-,-,-,"-6,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-9,700,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Pretax Income,"34,700,000","38,700,000","35,100,000","28,300,000","32,900,000","9,800,000","10,200,000","17,600,000","11,300,000","31,800,000","19,300,000","13,142,000","13,767,000","18,791,000","11,203,000","5,247,000","18,138,000","5,644,000","10,690,000","6,547,000",Upgrade,Financials in SEK,Fiscal year is January - December
Income Tax Expense,"10,700,000","17,800,000","5,000,000","41,300,000","-5,200,000","-6,500,000","-7,000,000","1,800,000","7,500,000","-28,400,000","4,600,000","-6,536,000","2,973,000","3,565,000","2,279,000","-24,000","3,641,000","499,000","2,249,000","826,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income,"24,000,000","20,900,000","30,100,000","-13,000,000","38,100,000","16,300,000","17,200,000","15,800,000","3,800,000","60,200,000","14,700,000","19,678,000","10,794,000","15,226,000","8,924,000","5,271,000","14,497,000","5,145,000","8,441,000","5,721,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income to Common,"24,000,000","20,900,000","30,100,000","-13,000,000","38,100,000","16,300,000","17,200,000","15,800,000","3,800,000","60,200,000","14,700,000","19,678,000","10,794,000","15,226,000","8,924,000","5,271,000","14,497,000","5,145,000","8,441,000","5,721,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income Growth,-37.008%,28.221%,75.000%,-,902.632%,-72.924%,17.007%,-19.707%,-64.795%,295.376%,64.724%,273.326%,-25.543%,195.938%,5.722%,-7.866%,63.346%,-24.438%,-0.787%,-0.366%,Upgrade,Financials in SEK,Fiscal year is January - December
