Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,051,000","1,039,000","950,000","1,535,000","1,544,000","742,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),20.114%,9.368%,-38.111%,-0.583%,108.086%,-59.320%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,745,000","1,733,000","1,858,000","2,256,000","1,477,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-694,000","-694,000","-908,000","-721,000","67,000","742,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","5,396,000","4,757,000","4,697,000","3,753,000","2,960,000","5,800,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,241,000","3,274,000","3,031,000","2,717,000","2,637,000","3,774,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,413,000","8,797,000","8,505,000","7,261,000","6,331,000","10,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-10,107,000","-9,491,000","-9,413,000","-7,982,000","-6,264,000","-9,550,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,098,000","-1,625,000","-1,281,000","-1,488,000","-1,202,000","-1,207,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"27,000","41,000","4,000","1,000","422,000","97,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,178,000","-11,075,000","-10,690,000","-9,469,000","-7,044,000","-10,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,148,000","1,148,000",-,"151,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,030,000","-9,927,000","-10,690,000","-9,318,000","-7,044,000","-10,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-6,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,030,000","-9,927,000","-10,690,000","-9,312,000","-7,044,000","-10,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,030,000","-9,927,000","-10,690,000","-9,312,000","-7,044,000","-10,660,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"174,657,540","174,654,565","164,746,054","137,003,313","108,440,888","93,525,413",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"174,657,540","174,654,565","164,746,054","137,003,313","108,440,888","93,525,413",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.886%,6.014%,20.250%,26.339%,15.948%,26.178%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.063,-0.057,-0.065,-0.068,-0.065,-0.114,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.063,-0.057,-0.065,-0.070,-0.065,-0.114,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,225,000","-6,705,000","-9,787,000","-7,281,000","-5,888,000","-8,724,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.041,-0.038,-0.059,-0.053,-0.054,-0.093,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-66.032%,-66.795%,-95.579%,-46.971%,4.339%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-961.656%,-913.474%,-990.842%,-520.000%,-405.699%,-1287.062%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1049.477%,-955.438%,-1125.263%,-606.645%,-456.218%,-1436.658%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-687.441%,-645.332%,-1030.211%,-474.332%,-381.347%,-1175.741%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-9,331,000","-8,725,000","-8,636,000","-7,191,000","-5,530,000","-8,832,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"776,000","766,000","777,000","791,000","734,000","718,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,107,000","-9,491,000","-9,413,000","-7,982,000","-6,264,000","-9,550,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,051,000","1,039,000","950,000","1,535,000","1,544,000","742,000",Upgrade,Financials in USD,Fiscal year is January - December
