Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018",+20 Quarters,,
"Selling, General & Admin","4,281,487","1,279,273","1,717,177","1,433,699","1,556,885","1,744,918","1,983,022","1,777,000","2,584,364","1,358,679","1,667,587","1,372,026","1,390,671","1,831,621","1,671,883","1,283,721","1,539,305","1,456,197","2,009,604","1,061,709",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"151,862","1,020,739","2,205,399","1,037,111","1,186,800","1,506,308","798,580","1,634,063","2,617,675","2,654,772","2,697,165","1,245,530","1,545,043","1,449,872","1,897,908","1,943,746","1,418,426","1,371,848","2,085,662","3,435,509",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,433,349","2,300,012","3,922,576","2,470,810","2,743,685","3,251,226","2,781,602","3,411,063","5,202,039","4,013,451","4,364,752","2,617,556","2,935,714","3,281,493","3,569,791","3,227,467","2,957,731","2,828,045","4,095,266","4,497,218",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,433,349","-2,300,012","-3,922,576","-2,470,810","-2,743,685","-3,251,226","-2,781,602","-3,411,063","-5,202,039","-4,013,451","-4,364,752","-2,617,556","-2,935,714","-3,281,493","-3,569,791","-3,227,467","-2,957,731","-2,828,045","-4,095,266","-4,497,218",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-10,547","-11,919","-11,921","-21,293","-28,066","-346,283","-130,590","-169,915","-169,119","-188,655","-188,653","-187,799","-186,944","-188,655","-188,634",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"100,997","134,161","126,017","78,902","18,717",-,"1,212","1,226",-,"3,173","3,085",872,"1,743","35,449","41,727","66,693","87,488","94,405","93,796","72,810",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-33,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,332,352","-2,165,851","-3,796,559","-2,391,908","-2,724,968","-3,261,773","-2,792,309","-3,421,758","-5,223,365","-4,038,344","-4,707,950","-2,747,274","-3,103,886","-3,415,163","-3,716,719","-3,349,427","-3,058,042","-2,920,584","-4,190,125","-4,613,042",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-489,645","-998,643","-802,400",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
