Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",,
Other Revenue,"1,487,036","1,487,036",-,-,-,Financials in USD,Fiscal year is January - December
Revenue,"3,687,656","1,487,036",-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,096,348","488,314",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,591,308","998,722",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,572,245","19,111,432","4,937,839","2,227,176","5,372,118",Financials in USD,Fiscal year is January - December
Research & Development,"9,814,036","11,830,232","5,263,829","587,000","2,138,989",Financials in USD,Fiscal year is January - December
Operating Expenses,"23,731,267","32,236,650","10,201,668","3,001,651","7,923,551",Financials in USD,Fiscal year is January - December
Operating Income,"-21,139,959","-31,237,928","-10,201,668","-3,001,651","-7,923,551",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,686,885","-1,286,885","-130,693","-124,233","-64,409",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,280,766","149,559","-1,000,000",-,"-335,769",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-24,107,610","-32,375,254","-11,332,361","-3,125,884","-8,323,729",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-800,000","-800,000","-300,000",-,-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-67,705,661","-67,705,661",-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"104,800","104,800",-,-,-,Financials in USD,Fiscal year is January - December
Legal Settlements,"-27,835","-2,127,835",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"728,784","1,028,784","-461,500","-98,138","2,192,119",Financials in USD,Fiscal year is January - December
Pretax Income,"-91,857,522","-101,875,166","-12,093,861","-3,224,022","-6,131,610",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-91,857,522","-101,875,166","-12,093,861","-3,224,022","-6,131,610",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,1,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Company,"-91,857,522","-101,875,165","-12,093,861","-3,224,022","-6,131,610",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"24,907","24,347",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-91,832,615","-101,850,818","-12,093,861","-3,224,022","-6,131,610",Financials in USD,Fiscal year is January - December
Net Income to Common,"-91,832,615","-101,850,818","-12,093,861","-3,224,022","-6,131,610",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,036,764","35,110,336","7,295,447","19,607,850","17,099,367",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,036,764","35,110,336","7,295,447","19,607,850","17,099,367",Financials in USD,Fiscal year is January - December
Shares Change (YoY),103.708%,381.264%,-62.793%,14.670%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.912,-2.901,-1.658,-0.164,-0.359,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.912,-2.901,-1.658,-0.164,-0.359,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,194,449","-28,376,253","-5,091,781","-240,370","-4,265,279",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.254,-0.808,-0.698,-0.012,-0.249,Financials in USD,Fiscal year is January - December
Gross Margin,70.270%,67.162%,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-573.263%,-2100.684%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-2490.271%,-6849.250%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-330.683%,-1908.243%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-20,583,649","-30,982,354","-10,200,721",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"556,310","255,574",947,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-21,139,959","-31,237,928","-10,201,668","-3,001,651","-7,923,551",Financials in USD,Fiscal year is January - December
