Fiscal Year,TTM,FY 2007,FY 2006,FY 2005,FY 1999,FY 1998,1997,Currency,Fiscal_Year_period
Period Ending,"Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Dec '06 Dec 31, 2006","Dec '05 Dec 31, 2005","Dec '99 Dec 31, 1999","Dec '98 Dec 31, 1998",1997,,
Revenue,"83,086","104,101",-,-,"10,198,000","9,459,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,7.813%,32.758%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"-18,480","-29,439",-,-,"5,704,000","4,512,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"101,566","133,540",-,-,"4,494,000","4,947,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,172,540","1,301,243","2,445",-,"5,020,000","5,296,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,863,388,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,785,123","2,397,795","2,445",-,"5,535,000","5,743,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,683,557","-2,264,255","-2,445",-,"-1,041,000","-796,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-500,000","-500,000",-,-,"-617,000","-739,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-1,181,000","-118,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,183,557","-2,764,255","-2,445",-,"-2,839,000","-1,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-135,600","-135,600",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,319,157","-2,899,855","-2,445",-,"-2,839,000","-1,653,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"116,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,319,157","-2,899,855","-2,445",-,"-2,839,000","-1,769,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,319,157","-2,899,855","-2,445",-,"-2,839,000","-1,769,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"305,554,360","305,554,360","7,580,668","3,679,605",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"305,554,360","305,554,360","7,580,668","3,679,605",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3930.705%,3930.705%,106.019%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.008,-0.009,-0.000,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.008,-0.009,-0.000,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,026,690","-1,155,681","237,620",-,"-2,748,000","-320,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.003,-0.004,0.031,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,122.242%,128.279%,-,-,44.067%,52.299%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2026.282%,-2175.056%,-,-,-10.208%,-8.415%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2791.273%,-2785.617%,-,-,-27.839%,-18.702%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1235.696%,-1110.154%,-,-,-26.946%,-3.383%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,071,837","-1,168,091",-,-,"-526,000","-349,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-5.158%,-3.690%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"611,720","1,096,164",-,-,"515,000","447,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,683,557","-2,264,255","-2,445",-,"-1,041,000","-796,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-10.208%,-8.415%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"83,099","111,089",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"2,657",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
