Fiscal Year,TTM,FY 2012,FY 2011,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Mar '12 Mar 31, 2012","Mar '11 Mar 31, 2011",,
Revenue,"133,333","133,333","133,333",Financials in USD,Fiscal year is April - March
Cost of Revenue,"133,333","133,333","133,333",Financials in USD,Fiscal year is April - March
"Selling, General & Admin","33,333","33,333","33,333",Financials in USD,Fiscal year is April - March
Research & Development,"75,000","75,000","75,000",Financials in USD,Fiscal year is April - March
Operating Expenses,"108,333","108,333","108,333",Financials in USD,Fiscal year is April - March
Operating Income,"-108,333","-108,333","-108,333",Financials in USD,Fiscal year is April - March
Interest Expense,"-8,890","-8,890","-8,890",Financials in USD,Fiscal year is April - March
Pretax Income,"-117,223","-117,223","-117,223",Financials in USD,Fiscal year is April - March
Net Income,"-117,223","-117,223","-117,223",Financials in USD,Fiscal year is April - March
Net Income to Common,"-117,223","-117,223","-117,223",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"8,137,087","8,137,087","8,137,087",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"8,137,087","8,137,087","8,137,087",Financials in USD,Fiscal year is April - March
EPS (Basic),-0.014,-0.014,-0.014,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.014,-0.014,-0.014,Financials in USD,Fiscal year is April - March
Free Cash Flow,"25,000","25,000","25,000",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,0.003,0.003,0.003,Financials in USD,Fiscal year is April - March
Operating Margin,-81.250%,-81.250%,-81.250%,Financials in USD,Fiscal year is April - March
Profit Margin,-87.917%,-87.917%,-87.917%,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,18.750%,18.750%,18.750%,Financials in USD,Fiscal year is April - March
EBIT,"-108,333","-108,333","-108,333",Financials in USD,Fiscal year is April - March
EBIT Margin,-81.250%,-81.250%,-81.250%,Financials in USD,Fiscal year is April - March
