Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2015,,
Revenue,-,-,-,-,"252,000","76,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,231.579%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"409,000","284,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"-157,000","-208,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,279,231","1,618,000","674,000","2,037,000","9,973,000","9,840,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"241,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,279,231","1,618,000","674,000","2,037,000","10,043,000","10,411,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,279,231","-1,618,000","-674,000","-2,037,000","-10,200,000","-10,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,194,948","-3,153,000","-1,433,000","-1,774,000","-662,000","-150,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-125,614","2,324,000","-4,103,000","45,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,599,793","-2,447,000","-6,210,000","-3,766,000","-10,862,000","-10,769,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-3,500,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-1,116,000","-1,676,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"114,214","333,000","-141,000",-,-,"-810,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,485,579","-2,114,000","-6,351,000","-3,766,000","-11,978,000","-16,755,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,485,579","-2,114,000","-6,351,000","-3,766,000","-11,978,000","-16,755,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"125,175","620,000","2,054,000","1,540,000","1,501,000","1,064,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,610,754","-2,734,000","-8,405,000","-5,306,000","-13,479,000","-17,819,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"3,529,640","2,307,534","654,700","543,826","542,044","541,937",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"3,529,640","2,307,534","654,700","543,826","542,044","541,937",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),104.105%,252.457%,20.388%,0.329%,0.020%,10.193%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.306,-1.185,-12.838,-9.757,-24.867,-32.880,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.306,-1.185,-12.838,-9.757,-24.867,-32.880,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-714,193","-1,415,000","-665,000","-588,000","-8,738,000","-9,685,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.202,-0.613,-1.016,-1.081,-16.120,-17.871,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-62.301%,-273.684%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-4047.619%,-13972.368%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-5348.810%,-23446.053%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-3467.460%,-12743.421%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-1,955,000","-10,118,000","-10,286,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"82,000","82,000","333,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,279,231","-1,618,000","-674,000","-2,037,000","-10,200,000","-10,619,000",Upgrade,Financials in USD,Fiscal year is January - December
