Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"1,995,218,000","2,155,578,000","2,379,631,000","2,104,083,000","696,958,000","323,057,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-17.316%,-9.415%,13.096%,201.895%,115.738%,53.812%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"1,323,609,000","1,417,146,000","1,563,952,000","1,453,102,000","392,092,000","167,184,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"671,609,000","738,432,000","815,679,000","650,981,000","304,866,000","155,873,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","380,587,000","409,656,000","404,453,000","320,285,000","123,258,000","54,786,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"94,093,000","127,967,000","135,835,000","92,382,000","66,041,000","44,954,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"4,135,000",-,"3,369,000",-,"3,029,000","1,812,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"486,941,000","545,749,000","549,699,000","414,080,000","192,328,000","101,552,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"184,668,000","192,683,000","265,980,000","236,901,000","112,538,000","54,321,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-119,949,000","-176,582,000","-184,674,000","-183,108,000","-62,134,000","-2,261,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"23,036,000","27,375,000","21,606,000","26,575,000","16,710,000","15,086,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"-487,000","-1,908,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-40,954,000","-51,014,000","-146,391,000","31,414,000",-,"32,736,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"255,138,000","210,926,000","-4,331,000","188,049,000","-542,140,000","-46,366,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"301,939,000","203,388,000","-47,810,000","299,831,000","-475,513,000","51,608,000",Upgrade,Financials in CNY,Fiscal year is January - December
