Fiscal Year,TTM,FY 2013,FY 2012,FY 2011,FY 2010,FY 2009,2008 - 2005,Currency,Fiscal_Year_period
Period Ending,"Jun '13 Jun 30, 2013","Jun '13 Jun 30, 2013","Jun '12 Jun 30, 2012","Apr '11 Apr 30, 2011","Apr '10 Apr 30, 2010","Apr '09 Apr 30, 2009",2008 - 2005,,
Operating Revenue,"241,094","241,094","1,127,460",-,-,"27,918",Upgrade,Financials in USD,Fiscal year is July - June
Other Revenue,"16,602","16,602","12,733","29,433","60,178",-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"257,696","257,696","1,140,193","29,433","60,178","27,918",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),501.293%,-77.399%,3773.859%,-51.090%,115.553%,4.519%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"144,655","144,655","977,340","130,158","127,603","249,473",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"113,041","113,041","162,853","-100,725","-67,425","-221,555",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","475,831","475,831","503,578","101,433","147,136","70,459",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"602,031","602,031","1,286,181","980,604","967,840","71,517",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-488,990","-488,990","-1,123,328","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-155,510","-155,510",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-644,500","-644,500","-1,123,328","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Asset Writedown,"-1,032,167","-1,032,167","-14,291,092",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-1,676,667","-1,676,667","-15,414,420","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-1,676,667","-1,676,667","-15,414,420","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,-,-,"135,485",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-1,676,667","-1,676,667","-15,278,935","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-1,676,667","-1,676,667","-15,278,935","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"525,069,052","525,069,052",-,"45,485,406","2,758,166","1,484,194",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"525,069,052","525,069,052",-,"45,485,406","2,758,166","1,484,194",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),1086.037%,-,-,1549.118%,85.836%,86.294%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.003,-0.003,-,-0.024,-0.375,-0.197,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.003,-0.003,-,-0.024,-0.375,-0.197,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-2,798,995","-2,798,995","-15,394,955","-979,176","161,346","-150,086",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.005,-0.005,-,-0.022,0.058,-0.101,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,43.866%,43.866%,14.283%,-,-112.043%,-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-189.755%,-189.755%,-98.521%,-3673.866%,-1720.338%,-1049.760%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-650.638%,-650.638%,-1340.031%,-3673.866%,-1720.338%,-1049.760%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-1086.162%,-1086.162%,-1350.206%,-3326.796%,268.115%,-537.596%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-478,990","-478,990","-1,064,995","-260,625","-214,561","-292,014",Upgrade,Financials in USD,Fiscal year is July - June
EBITDA Margin,-185.874%,-185.874%,-93.405%,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"10,000","10,000","58,333","820,704","820,704","1,058",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-488,990","-488,990","-1,123,328","-1,081,329","-1,035,265","-293,072",Upgrade,Financials in USD,Fiscal year is July - June
EBIT Margin,-189.755%,-189.755%,-98.521%,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
