Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"17,116,423,000","17,034,255,000","15,268,660,000","10,290,050,000","5,612,384,000","3,983,687,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),3.396%,11.564%,48.383%,83.345%,40.884%,57.181%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"10,499,205,000","10,206,354,000","8,544,646,000","5,461,153,000","3,079,418,000","2,324,981,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"6,617,218,000","6,827,901,000","6,724,014,000","4,828,897,000","2,532,966,000","1,658,706,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","2,000,373,000","1,789,361,000","1,432,505,000","1,000,579,000","605,851,000","444,368,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"788,444,000","785,822,000","682,818,000","501,583,000","303,734,000","259,651,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"22,334,000","23,470,000","-1,489,000","24,291,000","4,950,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"3,167,160,000","2,895,153,000","2,373,848,000","1,658,829,000","1,030,647,000","710,738,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"3,450,058,000","3,932,748,000","4,350,166,000","3,170,068,000","1,502,319,000","947,968,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-147,743,000","-158,488,000","-64,382,000","-39,191,000","-42,732,000","-19,605,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"336,331,000","219,178,000","115,790,000","58,026,000","80,864,000","75,752,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,"2,632,000","-3,119,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-211,379,000","46,733,000","417,201,000","-32,584,000","-91,298,000","8,080,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"199,740,000","173,376,000","159,559,000","171,360,000","142,538,000","114,042,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"3,627,007,000","4,213,547,000","4,978,334,000","3,327,679,000","1,594,323,000","1,123,118,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"72,401,000","13,834,000","379,437,000","665,440,000","371,437,000","3,515,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,"-46,204,000","-53,578,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"3,653,204,000","4,173,803,000","5,357,771,000","3,993,119,000","1,965,760,000","1,126,633,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"640,130,000","603,179,000","807,865,000","484,538,000","273,066,000","116,296,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"3,013,074,000","3,570,624,000","4,549,906,000","3,508,581,000","1,692,694,000","1,010,337,000",Upgrade,Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"-380,940,000","-170,895,000","-129,620,000","-120,103,000","-3,808,000","3,468,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"2,632,134,000","3,399,729,000","4,420,286,000","3,388,478,000","1,688,886,000","1,013,805,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"2,632,134,000","3,399,729,000","4,420,286,000","3,388,478,000","1,688,886,000","1,013,805,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income Growth,-36.604%,-23.088%,30.450%,100.634%,66.589%,60.770%,Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"4,135,874,394","4,163,542,567","4,172,735,893","4,173,681,127","3,952,963,529","3,717,119,844",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"4,301,880,134","4,348,874,478","4,375,907,893","4,421,796,934","4,209,169,336","3,997,125,099",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-1.280%,-0.618%,-1.038%,5.052%,5.305%,1.408%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),0.636,0.817,1.059,0.812,0.427,0.273,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),0.600,0.773,1.010,0.770,0.400,0.250,Upgrade,Financials in CNY,Fiscal year is January - December
EPS Growth,-36.819%,-23.499%,31.169%,92.500%,60.000%,56.251%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-311,971,000","622,138,000","-326,717,000","-3,076,545,000","-4,143,504,000","-2,002,504,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.073,0.143,-0.075,-0.696,-0.984,-0.501,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,38.660%,40.083%,44.038%,46.928%,45.132%,41.637%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,20.156%,23.087%,28.491%,30.807%,26.768%,23.796%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,15.378%,19.958%,28.950%,32.930%,30.092%,25.449%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-1.823%,3.652%,-2.140%,-29.898%,-73.828%,-50.268%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"4,548,148,000","4,928,204,000","5,068,796,000","3,622,310,000","1,771,234,000","1,141,329,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,26.572%,28.931%,33.197%,35.202%,31.559%,28.650%,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"1,098,090,000","995,456,000","718,630,000","452,242,000","268,915,000","193,361,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"3,450,058,000","3,932,748,000","4,350,166,000","3,170,068,000","1,502,319,000","947,968,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,20.156%,23.087%,28.491%,30.807%,26.768%,23.796%,Upgrade,Financials in CNY,Fiscal year is January - December
Effective Tax Rate,17.522%,14.452%,15.078%,12.134%,13.891%,10.322%,Upgrade,Financials in CNY,Fiscal year is January - December
