Fiscal Quarter,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009",+4 Quarters,,
"Selling, General & Admin","1,938,000","2,211,000","2,061,000","1,815,000","1,829,000","1,924,000","2,218,000","1,901,000","1,451,000","1,438,000","1,776,000","1,476,000","1,808,000","2,510,000","2,224,000","2,149,000","1,943,000","1,907,000","1,915,412","1,585,405",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,711,000","2,394,000","2,146,000","2,316,000","1,860,000","2,001,000","1,812,000","1,760,000","2,185,000","2,789,000","2,299,000","2,532,000","2,412,000","2,925,000","2,897,000","2,242,000","3,102,000","2,816,000","2,813,126","2,927,537",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"149,000","151,000","153,000","-387,000","156,000","91,000","30,000","-130,000","38,000","44,000","48,000","10,000","26,000","27,000","942,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,853,000","4,809,000","4,409,000","3,807,000","3,904,000","4,078,000","4,143,000","3,630,000","3,780,000","4,386,000","4,259,000","4,343,000","4,964,000","6,433,000","7,190,000","5,592,000","6,260,000","5,942,000","5,955,347","5,748,345",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,853,000","-4,809,000","-4,409,000","-3,807,000","-3,904,000","-4,078,000","-4,143,000","-3,630,000","-3,780,000","-4,386,000","-4,259,000","-4,343,000","-4,964,000","-6,433,000","-7,190,000","-5,592,000","-6,260,000","-5,942,000","-5,955,347","-5,748,345",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,859,000","-1,881,000","-1,964,000","-2,119,000","-2,246,000","-1,830,000","-1,427,000","-2,163,000","-469,000","-151,000","-174,000","-183,000","-193,000","-201,000","-272,000","-368,000","-476,000","-580,000","-681,439","-764,037",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,000","5,000","9,000","21,000","19,000","2,000","5,000","15,000","1,000","4,000","7,000","14,000","12,000","13,000","14,000","15,000","20,000","17,000","10,469","21,014",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,641,000","-11,170,000","-27,894,000","12,609,000","-1,126,000","-6,029,000","-209,000","1,854,000","-324,000","1,214,000","-523,000","313,000","4,185,000","9,519,000","419,000",-,-,-,"191,527","-40,045",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,352,000","-17,855,000","-34,258,000","6,704,000","-7,257,000","-11,935,000","-5,774,000","-3,924,000","-4,572,000","-3,319,000","-4,949,000","-4,199,000","-960,000","2,898,000","-7,029,000","-5,945,000","-6,716,000","-6,505,000","-6,434,790","-6,531,413",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-665,000",-,-,-,"-165,000",-,-,-,"-2,400,000",-,-,-,-,-,-,-,"-2,878",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,"-7,371,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-18,352,000","-17,855,000","-34,258,000","6,039,000","-7,257,000","-11,935,000","-5,774,000","-4,089,000","-4,572,000","-3,319,000","-4,949,000","-13,970,000","-960,000","2,898,000","-7,029,000","-5,945,000","-6,716,000","-6,505,000","-6,434,790","-6,534,291",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-18,352,000","-17,855,000","-34,258,000","6,039,000","-7,257,000","-11,935,000","-5,774,000","-4,089,000","-4,572,000","-3,319,000","-4,949,000","-13,970,000","-960,000","2,898,000","-7,029,000","-5,945,000","-6,716,000","-6,505,000","-6,434,790","-6,534,291",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"364,000","3,628,841","3,700,881",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,352,000","-17,855,000","-34,258,000","6,039,000","-7,257,000","-11,935,000","-5,774,000","-4,089,000","-4,572,000","-3,319,000","-4,949,000","-13,970,000","-960,000","2,898,000","-7,029,000","-5,945,000","-6,716,000","-6,869,000","-10,063,631","-10,235,172",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,171,000","21,772,000","17,946,000","5,722,000","4,261,000","3,325,000","2,734,000","2,374,000","2,450,000","2,373,000","2,371,000","2,373,700","2,354,000","2,349,000","1,571,100","1,236,549","1,235,600","1,120,300","70,214","69,991",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,171,000","21,772,000","17,946,000","5,722,000","4,261,000","3,325,000","2,734,000","2,374,000","2,450,000","2,373,000","2,371,000","2,373,700","2,354,000","2,397,000","1,571,100","1,236,549","1,235,600","1,120,300","70,214","69,991",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),490.730%,554.797%,556.401%,141.028%,73.918%,40.118%,15.310%,0.013%,4.078%,-1.001%,50.913%,91.962%,90.515%,113.961%,2137.588%,1666.726%,1666.379%,1504.899%,1.429%,3.436%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.729,-0.820,-1.909,1.055,-1.703,-3.589,-2.112,-1.722,-1.866,-1.399,-2.087,-5.885,-0.408,1.234,-4.474,-4.808,-5.435,-6.131,-143.328,-146.236,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.729,-0.820,-1.909,1.055,-1.703,-3.589,-2.112,-1.722,-1.866,-1.399,-2.087,-5.885,-0.408,1.210,-4.474,-4.808,-5.435,-6.131,-143.328,-146.236,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,396,000","-4,891,000","-5,112,000","-4,952,000","-4,603,000","-2,935,000","-4,769,000","-6,088,000","-2,868,000","-4,576,000","-5,977,000","-4,716,000","-4,552,000","-5,818,000","-6,883,000","-3,790,000","-4,630,000","-5,378,500","-5,764,500","-4,596,889",Upgrade,Financials in USD,Fiscal year is January - December
