Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters,,
"Selling, General & Admin","278,048","196,280","207,849","371,812","444,481","1,013,952","482,155","246,399","273,777","381,428","279,930","387,845","492,646","272,873","1,399,890","78,210","489,873","139,203","121,606","139,234",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"37,301","36,275","49,697","38,198","40,164","41,036","34,963","47,063","51,137","45,516","42,399","128,393","8,846","8,446",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"315,349","232,555","257,546","410,010","484,645","1,054,988","517,118","293,462","324,914","426,944","322,329","516,238","501,492","281,319","1,399,890","78,210","489,873","139,203","121,606","139,234",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-315,349","-232,555","-257,546","-410,010","-484,645","-1,054,988","-517,118","-293,462","-324,914","-426,944","-322,329","-516,238","-501,492","-281,319","-1,399,890","-78,210","-489,873","-139,203","-121,606","-139,234",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-185,728","-106,472","-71,814","-365,648","-295,072","-262,216","-300,454","-541,724","-520,919","-255,603","-376,210","-354,221","-10,701","-5,348","-7,601","-7,551","-7,433","-7,604","-7,948","-7,887",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-435,256","-153,567","1,632,953","-1,036,248",78,"1,770,968","-1,813,834","777,426","379,216","-492,425","459,026","969,338","-1,585,069","-382,539","1,562,605","-2,240,910","1,272,932","-59,458","-16,079","775,185",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-936,333","-492,594","1,303,593","-1,811,906","-779,639","453,764","-2,631,406","-57,760","-466,617","-1,174,972","-239,513","98,879","-2,097,262","-669,206","155,114","-2,326,671","775,626","-206,265","-145,633","628,064",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,-,-,-,-,-,"-54,813","96,205",-,-,-,-,"-5,088,524",-,-,-,"33,829",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-936,333","-492,594","1,303,593","-1,811,906","-779,639","453,764","-2,631,406","-57,760","-466,617","-1,229,785","-143,308","98,879","-2,097,262","-669,206","155,114","-7,415,195","775,626","-206,265","-145,633","661,893",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-936,333","-492,594","1,303,593","-1,811,906","-779,639","453,764","-2,631,406","-57,760","-466,617","-1,229,785","-143,308","98,879","-2,097,262","-669,206","155,114","-7,415,195","775,626","-206,265","-145,633","661,893",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-67,525","244,808","43,969","254,078",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-936,333","-492,594","1,303,593","-1,811,906","-779,639","453,764","-2,631,406","-57,760","-466,617","-1,229,785","-143,308","98,879","-2,097,262","-669,206","155,114","-7,415,195","708,101","38,543","-101,664","915,971",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,-,-,-,-,-,"44,241",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-936,333","-492,594","1,303,593","-1,811,906","-779,639","409,523","-2,631,406","-57,760","-466,617","-1,229,785","-143,308","98,879","-2,097,262","-669,206","155,114","-7,415,195","708,101","38,543","-101,664","915,971",Upgrade,Financials in USD,Fiscal year is October - September
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-92.010%,-,-67.610%,Upgrade,Financials in USD,Fiscal year is October - September
