Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
"Selling, General & Admin","8,684,536","6,452,579","7,703,065","6,261,905","5,951,106","5,299,717",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,442,211","5,935,718","7,705,090","6,937,610","6,631,928","10,034,613",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"13,126,747","12,388,297","15,408,155","13,199,515","12,583,034","15,334,330",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-13,126,747","-12,388,297","-15,408,155","-13,199,515","-12,583,034","-15,334,330",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-10,202","-73,199","-815,907","-752,051","-557,149",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"440,077","223,291","5,578","41,149","290,313","185,614",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,686,670","-12,175,208","-15,475,776","-13,974,273","-13,044,772","-15,705,865",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,290,688",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,686,670","-12,175,208","-15,475,776","-16,264,961","-13,044,772","-15,705,865",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,686,670","-12,175,208","-15,475,776","-16,264,961","-13,044,772","-15,705,865",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,686,670","-12,175,208","-15,475,776","-16,264,961","-13,044,772","-15,705,865",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,906,086","2,900,202","2,220,981","1,627,143","1,427,219","1,375,146",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,906,086","2,900,202","2,220,981","1,627,143","1,427,219","1,375,146",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.077%,30.582%,36.496%,14.008%,3.787%,10.074%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.366,-4.198,-6.968,-9.996,-9.140,-11.421,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.370,-4.200,-6.970,-9.996,-9.140,-11.421,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,940,233","-10,446,492","-14,453,590","-9,804,385","-10,255,650","-10,553,722",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.732,-3.602,-6.508,-6.026,-7.186,-7.675,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-13,028,149","-12,289,050","-15,267,241","-13,042,851","-12,435,347","-15,255,202",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"98,598","99,247","140,914","156,664","147,687","79,128",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-13,126,747","-12,388,297","-15,408,155","-13,199,515","-12,583,034","-15,334,330",Upgrade,Financials in USD,Fiscal year is January - December
