Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Sep '19 Sep 30, 2019",2018 - 2016,,
Revenue,-,-,-,-,77,425,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-,-,-,-,-81.882%,-52.247%,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,-,-,-,"2,412","37,682",154,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,-,-,-,"-2,412","-37,605",271,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","804,598","1,864,370","1,265,065","9,091,817","266,066","316,141",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"804,598","1,864,370","1,265,065","9,091,817","266,066","316,141",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-804,598","-1,864,370","-1,265,065","-9,094,229","-303,671","-315,870",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-82,358","-91,603","-70,346","-287,499","-238,060","-360,363",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-886,956","-1,955,973","-1,335,411","-9,381,728","-541,731","-676,233",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,-,-,-,"-10,673",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,"6,724","-152,399","-419,900",-,"11,834",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-886,956","-1,949,249","-1,487,810","-9,801,628","-541,731","-675,072",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-886,956","-1,949,249","-1,487,810","-9,801,628","-541,731","-675,072",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-886,956","-1,949,249","-1,487,810","-9,801,628","-541,731","-675,072",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,"32,341",-,-,-,-,"1,600,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-919,297","-1,949,249","-1,487,810","-9,801,628","-541,731","-2,275,072",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"1,069,128,871","827,324,789","628,539,782","482,090,099","298,091,153","104,775,749",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"1,069,128,871","827,324,789","628,539,782","482,090,099","298,091,153","104,775,749",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),39.101%,31.626%,30.378%,61.726%,184.504%,85.399%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.001,-0.002,-0.002,-0.020,-0.002,-0.022,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.001,-0.002,-0.002,-0.020,-0.002,-0.022,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-148,283","-205,760","-326,995","-751,232","-241,517","-260,138",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.000,-0.000,-0.001,-0.002,-0.001,-0.002,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,-,-,-,63.765%,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-,-394377.922%,-74322.353%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-,-703546.753%,-535311.059%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-,-,-,-,-313658.442%,-61208.941%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,-,-,"-1,263,790","-9,092,954","-302,342","-315,398",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,-,-,"1,275","1,275","1,329",472,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-804,598","-1,864,370","-1,265,065","-9,094,229","-303,671","-315,870",Upgrade,Financials in USD,Fiscal year is October - September
