Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"1,874,138,000","4,526,253,000","837,656,000","225,626,000",-,"70,879,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-56.930%,440.347%,271.259%,-,-,2408.103%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"146,050,000","137,514,000","103,114,000","30,217,000","1,903,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"1,728,088,000","4,388,739,000","734,542,000","195,409,000","-1,903,000","70,879,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","1,163,524,000","1,090,478,000","751,668,000","422,666,000","253,029,000","55,421,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"1,273,745,000","1,254,023,000","1,323,098,000","1,122,957,000","768,589,000","308,388,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"227,095,000","277,184,000","197,345,000","13,835,000","109,000","6,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"2,664,364,000","2,621,685,000","2,272,111,000","1,559,458,000","1,021,727,000","363,815,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-936,276,000","1,767,054,000","-1,537,569,000","-1,364,049,000","-1,023,630,000","-292,936,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-94,741,000","-86,987,000","-43,290,000","-10,352,000","-7,987,000","-5,736,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"191,068,000","167,685,000","27,520,000","22,758,000","41,528,000","5,217,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-51,218,000","-191,722,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-32,647,000","135,887,000",-,"5,162,000","12,526,000","-586,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"130,880,000","150,608,000","131,093,000","88,353,000","69,470,000","45,079,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-792,934,000","1,942,525,000","-1,422,246,000","-1,258,128,000","-908,093,000","-248,962,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-3,433,000",-,-,-,-,"-110,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,"30,000","2,000","-412,486,000","-97,382,000",Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"-796,367,000","1,942,525,000","-1,422,216,000","-1,258,126,000","-1,320,579,000","-346,454,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"174,000","174,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-796,541,000","1,942,351,000","-1,422,216,000","-1,258,126,000","-1,320,579,000","-346,454,000",Upgrade,Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"61,206,000","85,949,000","253,823,000","183,193,000","143,528,000","11,068,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-735,335,000","2,028,300,000","-1,168,393,000","-1,074,933,000","-1,177,051,000","-335,386,000",Upgrade,Financials in CNY,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"-140,677,000","-53,624,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-735,335,000","2,028,300,000","-1,168,393,000","-1,074,933,000","-1,036,374,000","-281,762,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"841,294,498","837,683,779","824,989,858","815,931,798","628,941,610","102,970,363",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"841,294,498","837,821,477","824,989,858","815,931,798","628,941,610","102,970,363",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),0.546%,1.555%,1.110%,29.731%,510.799%,-,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.874,2.421,-1.416,-1.317,-1.648,-2.736,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.874,2.420,-1.420,-1.317,-1.648,-2.736,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-1,365,687,000","1,748,391,000","-2,016,055,000","-1,713,364,000","-1,062,037,000","-355,868,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-1.623,2.087,-2.444,-2.100,-1.689,-3.456,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,92.207%,96.962%,87.690%,86.607%,-,100.000%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-49.958%,39.040%,-183.556%,-604.562%,-,-413.290%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-39.236%,44.812%,-139.484%,-476.422%,-,-397.525%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-72.870%,38.628%,-240.678%,-759.382%,-,-502.078%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-792,513,000","1,892,377,000","-1,445,849,000","-1,316,319,000","-1,008,003,000","-279,517,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-42.287%,41.809%,-172.607%,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"143,763,000","125,323,000","91,720,000","47,730,000","15,627,000","13,419,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-936,276,000","1,767,054,000","-1,537,569,000","-1,364,049,000","-1,023,630,000","-292,936,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,-49.958%,39.040%,-183.556%,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Effective Tax Rate,-,0.009%,-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Revenue as Reported,"1,874,138,000","4,526,253,000","837,656,000","225,626,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
