Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters,,
Revenue,"30,913","31,866","45,867","39,517","13,293","16,654","6,261","1,566","6,261","3,130","4,696","1,565",-,"10,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),132.551%,91.341%,632.583%,2423.436%,112.314%,432.077%,33.326%,0.064%,-,-68.700%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,"21,079","21,555","23,606","23,281","18,529","18,718","17,635",126,"17,140","17,430","16,792","16,180",-,"10,102",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,"9,834","10,311","22,261","16,236","-5,236","-2,064","-11,374","1,440","-10,879","-14,300","-12,096","-14,615",-,-102,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","875,629","683,184","1,311,350","1,145,411","870,053","1,252,786","1,102,916","1,211,409","836,215","1,208,910","1,263,104","1,408,904","1,370,395","1,339,833","890,192","1,018,424","854,626","892,136","975,833","984,119",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"155,681","203,869","205,580","199,745","139,048","170,634","161,453","231,213","159,846","527,656","234,618","301,329","297,553","410,611","343,590","322,081","382,847","262,433","643,734","540,187",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"1,031,310","887,053","1,516,930","1,345,156","1,009,101","1,423,420","1,264,369","1,442,622","996,061","1,736,566","1,497,722","1,710,233","1,667,948","1,750,444","1,233,782","1,340,505","1,237,473","1,154,569","1,619,567","1,524,306",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-1,021,476","-876,742","-1,494,669","-1,328,920","-1,014,337","-1,425,484","-1,275,743","-1,441,182","-1,006,940","-1,750,866","-1,509,818","-1,724,848","-1,667,948","-1,750,546","-1,233,782","-1,340,505","-1,237,473","-1,154,569","-1,619,567","-1,524,306",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-4,633,205","-592,397","-1,186,983","-1,128,276","-808,770","-635,190","-524,313","-447,377","-39,890","-39,452","-40,329","-40,329","-40,186","-40,750","-29,266","-14,307","-4,227",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),-,-,-,-,-,"1,158,197",-,-,-,"1,000,000",-,-,-,-,"108,944","-40,560","337,333","422,685","-40,187","696,161",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-5,654,681","-1,469,139","-2,681,652","-2,457,196","-1,823,107","-902,477","-1,800,056","-1,888,559","-1,046,830","-790,318","-1,550,147","-1,765,177","-1,708,134","-1,791,296","-1,154,104","-1,395,372","-904,367","-731,884","-1,659,754","-828,145",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,"178,229",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-5,654,681","-1,469,139","-2,681,652","-2,457,196","-1,823,107","-902,477","-1,800,056","-1,888,559","-1,046,830","-790,318","-1,550,147","-1,765,177","-1,529,905","-1,791,296","-1,154,104","-1,395,372","-904,367","-731,884","-1,659,754","-828,145",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-5,654,681","-1,469,139","-2,681,652","-2,457,196","-1,823,107","-902,477","-1,800,056","-1,888,559","-1,046,830","-790,318","-1,550,147","-1,765,177","-1,529,905","-1,791,296","-1,154,104","-1,395,372","-904,367","-731,884","-1,659,754","-828,145",Upgrade,Financials in USD,Fiscal year is October - September
Preferred Dividends & Other Adjustments,"730,002",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-6,384,683","-1,469,139","-2,681,652","-2,457,196","-1,823,107","-902,477","-1,800,056","-1,888,559","-1,046,830","-790,318","-1,550,147","-1,765,177","-1,529,905","-1,791,296","-1,154,104","-1,395,372","-904,367","-731,884","-1,659,754","-828,145",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"4,444,364","4,497,111","4,707,473","8,500,440","1,279,967","1,263,585","1,249,432","1,245,502","1,184,738","1,184,328","1,183,946","1,185,684","1,183,599","1,066,688","965,224","964,453","941,703","934,490","920,515","863,220",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"4,444,364","4,497,111","4,707,473","8,500,440","1,279,967","1,263,585","1,249,432","1,245,502","1,184,738","1,184,328","1,183,946","1,185,684","1,183,599","1,066,688","965,224","964,453","941,703","934,490","920,515","863,220",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),247.225%,255.901%,276.769%,582.491%,8.038%,6.692%,5.531%,5.045%,0.096%,11.029%,22.660%,22.938%,25.687%,14.147%,4.857%,11.727%,11.843%,10.839%,14.309%,7.999%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-1.437,-0.327,-0.570,-0.289,-1.424,-0.714,-1.441,-1.516,-0.884,-0.667,-1.309,-1.489,-1.293,-1.679,-1.196,-1.447,-0.960,-0.783,-1.803,-0.959,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-1.437,-0.327,-0.570,-0.289,-1.424,-0.714,-1.441,-1.516,-0.884,-0.667,-1.309,-1.489,-1.293,-1.679,-1.196,-1.447,-0.960,-0.783,-1.803,-0.959,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-911,641","-700,159","-862,605","-1,231,257","-897,549","-599,866","-650,065","-1,669,433","-574,408","-1,033,709","-1,178,525","-1,512,551","-1,781,626","-1,537,830","-1,129,896","-1,053,567","-1,435,081","-1,234,459","-1,324,103","-980,465",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.205,-0.156,-0.183,-0.145,-0.701,-0.475,-0.520,-1.340,-0.485,-0.873,-0.995,-1.276,-1.505,-1.442,-1.171,-1.092,-1.524,-1.321,-1.438,-1.136,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,31.812%,32.357%,48.534%,41.086%,-39.389%,-12.393%,-181.664%,91.954%,-173.758%,-,-257.581%,-,-,-1.020%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-3304.357%,-2751.340%,-3258.702%,-3362.907%,-7630.610%,-8559.409%,-20376.026%,-92029.502%,-16082.734%,-55938.211%,-32151.150%,-110213.930%,-,-17505.460%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-20653.715%,-4610.365%,-5846.583%,-6218.073%,-13714.790%,-5418.980%,-28750.295%,-120597.637%,-16719.853%,-25249.776%,-33009.945%,-112790.863%,-,-17912.960%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-2949.054%,-2197.198%,-1880.666%,-3115.765%,-6752.042%,-3601.933%,-10382.766%,-106604.917%,-9174.381%,-33025.847%,-25096.359%,-96648.626%,-,-15378.300%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-1,021,100","-876,183","-1,494,019","-1,328,270","-1,014,064","-1,425,104","-1,275,080","-1,440,383","-1,006,141","-1,750,067","-1,509,019","-1,724,049","-1,667,149","-1,749,929","-1,233,410","-1,339,045","-1,235,708","-1,152,804","-1,617,631","-1,522,388",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,376,559,650,650,273,380,663,799,799,799,799,799,799,617,372,"1,460","1,765","1,765","1,936","1,918",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-1,021,476","-876,742","-1,494,669","-1,328,920","-1,014,337","-1,425,484","-1,275,743","-1,441,182","-1,006,940","-1,750,866","-1,509,818","-1,724,848","-1,667,948","-1,750,546","-1,233,782","-1,340,505","-1,237,473","-1,154,569","-1,619,567","-1,524,306",Upgrade,Financials in USD,Fiscal year is October - September
