Fiscal Quarter,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017",,
"Selling, General & Admin","1,037,000","754,000","920,000","880,010","810,000","598,000","761,000","529,552",Financials in USD,Fiscal year is January - December
Research & Development,"1,986,000","1,895,000","1,274,000","344,381","524,000","583,000","619,000","1,950,384",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-716,000","-1,104,000","-94,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,307,000","1,545,000","2,100,000","1,224,391","1,334,000","1,181,000","1,380,000","2,479,936",Financials in USD,Fiscal year is January - December
Operating Income,"-2,307,000","-1,545,000","-2,100,000","-1,224,391","-1,334,000","-1,181,000","-1,380,000","-2,479,936",Financials in USD,Fiscal year is January - December
Interest Expense,"-223,000","-2,373,000","-268,000","-509,840","-322,000","-301,000","-143,000","-109,939",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-94,000","188,370","151,000","60,000",-,546,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,530,000","-3,918,000","-2,462,000","-1,545,861","-1,505,000","-1,422,000","-1,523,000","-2,589,329",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-700,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"635,000",-,-,"11,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,895,000","-4,618,000","-2,462,000","-1,534,861","-1,505,000","-1,422,000","-1,523,000","-2,589,329",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,895,000","-4,618,000","-2,462,000","-1,534,861","-1,505,000","-1,422,000","-1,523,000","-2,589,329",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"-58,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-1,895,000","-4,676,000","-2,462,000","-1,534,861","-1,505,000","-1,422,000","-1,523,000","-2,589,329",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,895,000","-4,676,000","-2,462,000","-1,534,861","-1,505,000","-1,422,000","-1,523,000","-2,589,329",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,807,877","5,358,882","19,548,969","19,548,969","701,808","4,569,742",-,"19,548,969",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,807,877","5,358,882","19,548,969","19,548,969","701,808","4,569,742",-,"19,548,969",Financials in USD,Fiscal year is January - December
Shares Change (YoY),727.559%,17.269%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.326,-0.873,-0.126,-0.079,-2.144,-0.311,-,-0.132,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.326,-0.873,-0.126,-0.079,-2.144,-0.311,-,-0.132,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-544,000","-2,617,000","-1,606,000","-1,374,045","-1,124,000","-1,092,000","-2,435,000","-2,344,188",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.094,-0.488,-0.082,-0.070,-1.602,-0.239,-,-0.120,Financials in USD,Fiscal year is January - December
EBITDA,"-2,306,000","-1,543,000","-2,098,000","-1,222,276","-1,332,000","-1,179,000","-1,378,000","-2,478,435",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,000","2,000","2,000","2,115","2,000","2,000","2,000","1,501",Financials in USD,Fiscal year is January - December
EBIT,"-2,307,000","-1,545,000","-2,100,000","-1,224,391","-1,334,000","-1,181,000","-1,380,000","-2,479,936",Financials in USD,Fiscal year is January - December
