Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"19,844,000,000","16,474,000,000","14,505,000,000","8,417,000,000","10,111,000,000","5,366,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Revenue Growth (YoY),17.755%,13.575%,72.330%,-16.754%,88.427%,77.388%,Upgrade,Financials in DKK,Fiscal year is January - December
Cost of Revenue,"774,000,000","226,000,000",-,-,-,-,Upgrade,Financials in DKK,Fiscal year is January - December
Gross Profit,"19,070,000,000","16,248,000,000","14,505,000,000","8,417,000,000","10,111,000,000","5,366,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
"Selling, General & Admin","3,475,000,000","3,297,000,000","2,676,000,000","1,283,000,000","661,000,000","342,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Research & Development,"9,032,000,000","7,630,000,000","5,524,000,000","4,181,000,000","3,137,000,000","2,386,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Expenses,"12,507,000,000","10,927,000,000","8,200,000,000","5,464,000,000","3,798,000,000","2,728,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Operating Income,"6,563,000,000","5,321,000,000","6,305,000,000","2,953,000,000","6,313,000,000","2,638,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest Expense,"-44,000,000","-27,000,000","-21,000,000","-13,000,000","-10,000,000","-7,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Interest & Investment Income,"1,038,000,000","939,000,000","324,000,000","197,000,000","184,000,000","120,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,105,000,000","-889,000,000","1,034,000,000","1,470,000,000","-1,456,000,000","99,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
EBT Excluding Unusual Items,"6,452,000,000","5,344,000,000","7,642,000,000","4,607,000,000","5,031,000,000","2,850,000,000",Upgrade,Financials in DKK,Fiscal year is January - December
