Fiscal Year,TTM,FY 2009,FY 2008,FY 2007,Currency,Fiscal_Year_period
Period Ending,"May '10 May 31, 2010","Aug '09 Aug 31, 2009","Aug '08 Aug 31, 2008","Aug '07 Aug 31, 2007",,
"Selling, General & Admin","44,300","25,200","20,855","12,750",Financials in USD,Fiscal year is September - August
Operating Expenses,"44,300","25,200","20,855","12,750",Financials in USD,Fiscal year is September - August
Operating Income,"-44,300","-25,200","-20,855","-12,750",Financials in USD,Fiscal year is September - August
Interest Expense,-236,"-7,830",-,-,Financials in USD,Fiscal year is September - August
Interest & Investment Income,-,6,135,11,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"-1,406",228,"-3,444","-5,529",Financials in USD,Fiscal year is September - August
Pretax Income,"-47,558","-32,796","-24,164","-18,269",Financials in USD,Fiscal year is September - August
Net Income,"-47,558","-32,796","-24,164","-18,269",Financials in USD,Fiscal year is September - August
Net Income to Common,"-47,558","-32,796","-24,164","-18,269",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"12,758,000","9,158,000","9,158,000","9,039,750",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"12,758,000","9,158,000","9,158,000","9,039,750",Financials in USD,Fiscal year is September - August
Shares Change (YoY),39.310%,-,1.308%,-,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.004,-0.004,-0.003,-,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.004,-0.004,-0.003,-,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-1,467","-1,825","-21,966",11,Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.000,-0.000,-0.002,0.000,Financials in USD,Fiscal year is September - August
EBIT,"-44,300","-25,200","-20,855","-12,750",Financials in USD,Fiscal year is September - August
