Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Operating Revenue,"39,623,000","38,998,000","45,301,000","52,799,000","56,502,000","58,115,000","55,879,000","57,210,000","61,124,000","61,045,000","56,599,000","57,817,000","47,872,000","43,937,000","35,863,000","31,476,000","31,712,000","27,042,000","24,121,000","20,735,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"1,000",-,-,"-1,000",-,-,"84,000","279,000","295,000","306,000","280,000","280,000","280,000","280,000","2,530,000","30,000","30,000","30,000","104,000","330,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"39,624,000","38,998,000","45,301,000","52,798,000","56,502,000","58,115,000","55,963,000","57,489,000","61,419,000","61,351,000","56,879,000","58,097,000","48,152,000","44,217,000","38,393,000","31,506,000","31,742,000","27,072,000","24,225,000","21,065,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-29.872%,-32.895%,-19.052%,-8.160%,-8.006%,-5.275%,-1.610%,-1.047%,27.552%,38.750%,48.149%,84.400%,51.698%,63.331%,58.485%,49.566%,41.693%,52.561%,87.834%,106.905%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"25,710,000","22,076,000","46,798,000","36,134,000","35,228,000","36,993,000","29,378,000","37,094,000","40,193,000","30,737,000","27,369,000","30,516,000","24,348,000","20,342,000","17,772,000","16,988,000","18,267,000","15,861,000","14,271,000","13,248,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"13,914,000","16,922,000","-1,497,000","16,664,000","21,274,000","21,122,000","26,585,000","20,395,000","21,226,000","30,614,000","29,510,000","27,581,000","23,804,000","23,875,000","20,621,000","14,518,000","13,475,000","11,211,000","9,954,000","7,817,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,865,000","20,382,000","19,902,000","20,584,000","22,102,000","20,932,000","23,459,000","36,018,000","25,733,000","22,465,000","23,279,000","43,089,000","19,747,000","16,956,000","19,589,000","48,197,000","33,616,000","41,011,000","63,217,000","59,254,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"20,506,000","22,657,000","21,567,000","19,156,000","23,775,000","22,620,000","25,440,000","28,908,000","29,936,000","27,285,000","29,245,000","27,344,000","27,959,000","28,594,000","26,600,000","49,479,000","35,012,000","42,436,000","65,284,000","61,534,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,592,000","-5,735,000","-23,064,000","-2,492,000","-2,501,000","-1,498,000","1,145,000","-8,513,000","-8,710,000","3,329,000","265,000","237,000","-4,155,000","-4,719,000","-5,979,000","-34,961,000","-21,537,000","-31,225,000","-55,330,000","-53,717,000",Upgrade,Financials in USD,Fiscal year is January - December
