Fiscal Quarter,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016",,
Revenue,"315,819","277,752","310,183","105,797","338,394","290,645","600,199","472,932","313,507",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-6.671%,-4.436%,-48.320%,-77.630%,7.938%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"148,280","150,157","176,581","-74,007","192,935","304,874","487,909","51,564","170,510",Financials in USD,Fiscal year is January - December
Gross Profit,"167,539","127,595","133,602","179,804","145,459","-14,229","112,290","421,368","142,997",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","247,150","340,220","360,483","787,330","255,144","278,435","335,453","510,613","404,130",Financials in USD,Fiscal year is January - December
Operating Expenses,"247,150","340,220","360,483","787,330","255,144","278,435","335,453","510,613","404,130",Financials in USD,Fiscal year is January - December
Operating Income,"-79,611","-212,625","-226,881","-607,526","-109,685","-292,664","-223,163","-89,245","-261,133",Financials in USD,Fiscal year is January - December
Interest Expense,-203,-264,-402,"-1,740",-588,-292,-523,-598,-673,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,629","3,960","2,051","6,469","9,304",136,-,"1,158",46,Financials in USD,Fiscal year is January - December
Pretax Income,"-78,185","-208,929","-225,232","-602,797","-100,969","-292,820","-223,686","-88,685","-261,760",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,417,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-78,185","-208,929","-225,232","-603,214","-100,969","-292,820","-223,686","-88,685","-261,760",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"25,008","67,797","78,119","395,227","23,473","29,030","80,504","333,078",-,Financials in USD,Fiscal year is January - December
Net Income,"-53,177","-141,132","-147,113","-207,987","-77,496","-263,790","-143,182","244,393","-261,760",Financials in USD,Fiscal year is January - December
Net Income to Common,"-53,177","-141,132","-147,113","-207,987","-77,496","-263,790","-143,182","244,393","-261,760",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"163,329,385","163,329,385","163,329,385","163,329,385","10,000,000",-,-,"3,329,385",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"163,329,385","163,329,385","163,329,385","163,329,385","10,000,000",-,-,"3,329,385",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1533.294%,-,-,4805.692%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.001,-0.001,-0.001,-0.008,-,-,0.073,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.001,-0.001,-0.001,-0.008,-,-,0.073,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-38,027","-131,488","-108,397","-13,326","-398,955","-156,957","45,520","-146,609",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.001,-0.001,-0.000,-0.040,-,-,-0.044,-,Financials in USD,Fiscal year is January - December
Gross Margin,53.049%,45.938%,43.072%,169.952%,42.985%,-4.896%,18.709%,89.097%,45.612%,Financials in USD,Fiscal year is January - December
Operating Margin,-25.208%,-76.552%,-73.144%,-574.237%,-32.413%,-100.695%,-37.182%,-18.871%,-83.294%,Financials in USD,Fiscal year is January - December
Profit Margin,-16.838%,-50.812%,-47.428%,-196.591%,-22.901%,-90.760%,-23.856%,51.676%,-83.494%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-12.041%,-47.340%,-34.946%,-12.596%,-117.897%,-54.003%,7.584%,-31.000%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-53,910","-194,944","-196,121","-577,275","-79,875","-263,656","-195,020","-36,153","-206,798",Financials in USD,Fiscal year is January - December
EBITDA Margin,-17.070%,-70.186%,-63.228%,-,-23.604%,-90.714%,-32.492%,-7.644%,-65.963%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"25,701","17,681","30,760","30,251","29,810","29,008","28,143","53,092","54,335",Financials in USD,Fiscal year is January - December
EBIT,"-79,611","-212,625","-226,881","-607,526","-109,685","-292,664","-223,163","-89,245","-261,133",Financials in USD,Fiscal year is January - December
EBIT Margin,-25.208%,-76.552%,-73.144%,-,-32.413%,-100.695%,-37.181%,-18.870%,-83.294%,Financials in USD,Fiscal year is January - December
