Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"38,206","60,453","11,133","5,546","24,582","54,759",Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,"591,850",Financials in USD,Fiscal year is January - December
Revenue,"38,206","60,453","11,133","5,546","24,582","646,609",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),44.027%,443.007%,100.739%,-77.439%,-96.198%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"67,610","85,610","7,507","262,620","22,540","902,167",Financials in USD,Fiscal year is January - December
Gross Profit,"-29,404","-25,157","3,626","-257,074","2,042","-255,558",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","555,786","1,165,997","794,987","992,474","958,467","1,578,855",Financials in USD,Fiscal year is January - December
Operating Expenses,"638,258","1,248,469","877,063","2,225,400","6,243,769","1,722,771",Financials in USD,Fiscal year is January - December
Operating Income,"-667,662","-1,273,626","-873,437","-2,482,474","-6,241,727","-1,978,329",Financials in USD,Fiscal year is January - December
Interest Expense,"-60,630","-55,176","-32,507","-33,040","-31,183","-3,033",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-37,753",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-728,292","-1,328,802","-905,944","-2,553,267","-6,272,910","-1,981,362",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-385,989",-,"-35,014",Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"-25,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-3,549","-3,549",-,"143,485",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-731,841","-1,332,351","-905,944","-2,795,771","-6,272,910","-2,041,376",Financials in USD,Fiscal year is January - December
Net Income,"-731,841","-1,332,351","-905,944","-2,795,771","-6,272,910","-2,041,376",Financials in USD,Fiscal year is January - December
Net Income to Common,"-731,841","-1,332,351","-905,944","-2,795,771","-6,272,910","-2,041,376",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,690,640,226","2,690,640,226","2,680,730,333","2,624,071,816","216,636,166","39,315,088",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,690,640,226","2,690,640,226","2,680,730,333","2,624,071,816","216,636,166","39,315,088",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.247%,0.370%,2.159%,1111.281%,451.026%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.000,-0.001,-0.029,-0.052,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.000,-0.001,-0.029,-0.052,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-123,085","-137,801","-531,488","-1,013,663","-1,088,635","-2,532,336",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.005,-0.064,Financials in USD,Fiscal year is January - December
Gross Margin,-76.962%,-41.614%,32.570%,-,8.307%,-39.523%,Financials in USD,Fiscal year is January - December
Operating Margin,-1747.532%,-2106.804%,-7845.477%,-44761.522%,-25391.453%,-305.954%,Financials in USD,Fiscal year is January - December
Profit Margin,-1915.513%,-2203.945%,-8137.465%,-50410.584%,-25518.306%,-315.705%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-322.161%,-227.947%,-4773.987%,-18277.371%,-4428.586%,-391.633%,Financials in USD,Fiscal year is January - December
EBITDA,"-585,190","-1,191,154","-791,361","-2,314,938","-6,121,434","-1,884,413",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-291.430%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"82,472","82,472","82,076","167,536","120,293","93,916",Financials in USD,Fiscal year is January - December
EBIT,"-667,662","-1,273,626","-873,437","-2,482,474","-6,241,727","-1,978,329",Financials in USD,Fiscal year is January - December
Revenue as Reported,"38,206","60,453","11,133","5,546","24,582","646,609",Financials in USD,Fiscal year is January - December
