Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"670,473","768,827",-,-,"236,519",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,"997,839",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue,"670,473","768,827","997,839",-,"236,519",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),183.475%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"169,354","200,936","353,671",-,"115,927",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"501,119","567,891","644,168",-,"120,592",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,816,957","2,447,798","4,095,702",-,"6,329,565","4,507,874","4,169,685","2,653,262","1,787,333","413,325","83,919","1,963,574",Financials in USD,Fiscal year is January - December
Research & Development,"230,604","973,604","3,162,011",-,"3,434,977","1,815,616","1,024,344","753,939","4,383,325","98,565","28,000","509,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,047,561","3,776,602","7,257,713",-,"9,764,542","6,323,490","5,194,029","3,407,201","6,170,658","511,890","111,919","2,660,049",Financials in USD,Fiscal year is January - December
Operating Income,"-1,546,442","-3,208,711","-6,613,545",-,"-9,643,950","-6,323,490","-5,194,029","-3,407,201","-6,170,658","-511,890","-111,919","-2,660,049",Financials in USD,Fiscal year is January - December
Interest Expense,"-330,000","-281,836","-1,146,388",-,-,"-281,655","-92,617",-,-,"-1,525,029","-36,191",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"938,710","491,817",-,-,"527,151",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,430,473",-,-,-,"-989,301",-,-,"-1,000,000",-,"500,000","-500,000",-,Financials in USD,Fiscal year is January - December
