Fiscal Year,TTM,FY 2017,FY 2016,FY 2015,FY 2014,FY 2013,2012 - 2008,Currency,Fiscal_Year_period
Period Ending,"Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013",2012 - 2008,,
Revenue,-,-,"145,000","3,185,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-95.447%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"28,261,000","28,494,000","46,251,000","30,860,000","21,839,000","21,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-28,261,000","-28,494,000","-46,106,000","-27,675,000","-21,839,000","-21,684,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,538,000","7,938,000","11,071,000","7,568,000","6,620,000","6,563,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,538,000","7,938,000","11,071,000","7,568,000","6,620,000","6,563,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-36,799,000","-36,432,000","-57,177,000","-35,243,000","-28,459,000","-28,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-1,049,000","-2,599,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,"-15,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"13,408,000","10,158,000","1,654,000","23,000","-96,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,391,000","-26,274,000","-55,523,000","-35,220,000","-29,604,000","-30,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-600,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,391,000","-26,874,000","-55,523,000","-35,220,000","-29,604,000","-30,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-23,391,000","-26,874,000","-55,523,000","-35,220,000","-29,604,000","-30,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,540,000","2,503,000","10,914,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,931,000","-29,377,000","-66,437,000","-35,220,000","-29,604,000","-30,861,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"14,130,217","10,278,391","5,163,784","4,453,905","2,722,034","2,283,427",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"14,130,217","10,278,391","5,163,784","4,453,905","2,722,034","2,283,427",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),152.230%,99.048%,15.938%,63.624%,19.208%,152.822%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.764,-2.858,-12.866,-7.908,-10.876,-13.515,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.764,-2.858,-12.866,-7.908,-10.876,-13.515,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-31,952,000","-36,900,000","-49,685,000","-30,987,000","-25,601,000","-31,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.261,-3.590,-9.622,-6.957,-9.405,-13.982,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-39432.414%,-1106.531%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-45818.621%,-1105.808%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-34265.517%,-972.904%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-36,402,000","-36,151,000","-56,911,000","-34,958,000","-28,115,000","-27,894,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"397,000","281,000","266,000","285,000","344,000","353,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-36,799,000","-36,432,000","-57,177,000","-35,243,000","-28,459,000","-28,247,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"145,000","3,185,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
