Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
Revenue,"2,209,166","1,884,171","1,487,156","1,008,372",-,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),27.595%,26.696%,47.481%,-,-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"1,885,058","1,712,428","1,240,284","862,706",-,Financials in CAD,Fiscal year is April - March
Gross Profit,"324,108","171,743","246,872","145,666",-,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","3,795,716","5,856,744","4,743,537","5,810,612","75,922",Financials in CAD,Fiscal year is April - March
Research & Development,"10,516","98,349","192,575","1,978,850","6,473",Financials in CAD,Fiscal year is April - March
Other Operating Expenses,-69,-69,-1,-2,-,Financials in CAD,Fiscal year is April - March
Operating Expenses,"4,299,711","7,380,021","7,381,842","10,684,113","3,300,270",Financials in CAD,Fiscal year is April - March
Operating Income,"-3,975,603","-7,208,278","-7,134,970","-10,538,447","-3,300,270",Financials in CAD,Fiscal year is April - March
Interest Expense,"-58,924","-17,910","-4,954","-3,265",-,Financials in CAD,Fiscal year is April - March
Earnings From Equity Investments,"-31,622","17,411","-3,787",-,-,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-31,916","-31,396","10,260",164,-,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-155,190","-222,551","-24,400","-116,413",-,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-4,253,255","-7,462,724","-7,157,851","-10,657,961","-3,300,270",Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,-,-,-,"-77,793,883",-,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,"-3,716,826","-3,716,826","-5,275,374",-,-,Financials in CAD,Fiscal year is April - March
Asset Writedown,"-1,751,358","-1,751,358",-,-,-,Financials in CAD,Fiscal year is April - March
Legal Settlements,"-64,560","-64,560","209,717",-,-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,"-292,118","44,150",-,-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-9,785,999","-13,287,586","-12,179,358","-88,451,844","-3,300,270",Financials in CAD,Fiscal year is April - March
Income Tax Expense,"-145,882","-145,882","-45,267",-,-,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-9,640,117","-13,141,704","-12,134,091","-88,451,844","-3,300,270",Financials in CAD,Fiscal year is April - March
Earnings From Discontinued Operations,-,-,-,"-376,302",-,Financials in CAD,Fiscal year is April - March
Net Income,"-9,640,117","-13,141,704","-12,134,091","-88,828,146","-3,300,270",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-9,640,117","-13,141,704","-12,134,091","-88,828,146","-3,300,270",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"259,912,603","228,420,709","175,243,678","157,639,936","15,519",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"259,912,603","228,420,709","175,243,678","157,639,936","15,519",Financials in CAD,Fiscal year is April - March
Shares Change (YoY),20.884%,30.345%,11.167%,1015686.687%,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.037,-0.058,-0.069,-0.563,-212.660,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.037,-0.058,-0.069,-0.563,-212.660,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-2,646,195","-8,226,282","-4,543,610","-5,078,068","-53,342",Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.010,-0.036,-0.026,-0.032,-3.437,Financials in CAD,Fiscal year is April - March
Gross Margin,14.671%,9.115%,16.600%,14.446%,-,Financials in CAD,Fiscal year is April - March
Operating Margin,-179.959%,-382.570%,-479.773%,-1045.095%,-,Financials in CAD,Fiscal year is April - March
Profit Margin,-436.369%,-697.479%,-815.926%,-8809.065%,-,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-119.783%,-436.600%,-305.523%,-503.591%,-,Financials in CAD,Fiscal year is April - March
EBITDA,"-3,712,649","-6,682,519","-7,124,117","-10,537,726",-,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"262,954","525,759","10,853",721,-,Financials in CAD,Fiscal year is April - March
EBIT,"-3,975,603","-7,208,278","-7,134,970","-10,538,447","-3,300,270",Financials in CAD,Fiscal year is April - March
Advertising Expenses,-,"152,438","252,996","1,847,510",-,Financials in CAD,Fiscal year is April - March
