Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"15,523,000","15,523,000","12,734,000","12,142,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"250,000","250,000","750,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"15,773,000","15,773,000","13,484,000","12,142,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),16.976%,16.976%,11.053%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"24,000","24,000","1,837,000","745,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"15,749,000","15,749,000","11,647,000","11,397,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","25,204,000","25,204,000","29,105,000","23,900,000","20,559,000","17,113,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"62,331,000","62,331,000","75,282,000","64,436,000","41,590,000","51,791,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"87,535,000","87,535,000","104,387,000","88,336,000","62,149,000","68,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-71,786,000","-71,786,000","-92,740,000","-76,939,000","-62,149,000","-68,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,466,000","-5,466,000","-4,132,000","-3,559,000","-3,594,000","-3,406,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,208,000","2,208,000","1,082,000","158,000","704,000","2,073,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"87,000","87,000","137,000","46,487,000","-12,000","-15,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-74,957,000","-74,957,000","-95,653,000","-33,853,000","-65,051,000","-70,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-1,100,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-74,957,000","-74,957,000","-96,753,000","-33,853,000","-65,051,000","-70,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"6,000","6,000","23,000","64,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-74,963,000","-74,963,000","-96,776,000","-33,917,000","-65,051,000","-70,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-74,963,000","-74,963,000","-96,776,000","-33,917,000","-65,051,000","-70,252,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,476,247","1,476,247","1,387,632","1,131,477","938,112","759,520",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,476,247","1,476,247","1,387,632","1,131,477","938,112","759,520",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),6.386%,6.386%,22.639%,20.612%,23.514%,67.122%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-50.779,-50.779,-69.742,-29.976,-69.342,-92.495,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-50.779,-50.779,-69.742,-29.976,-69.342,-92.495,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-74,782,000","-74,782,000","-83,350,000","-71,567,000","-63,443,000","-64,089,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-50.657,-50.657,-60.066,-63.251,-67.628,-84.381,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,99.848%,99.848%,86.376%,93.864%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-455.120%,-455.120%,-687.778%,-633.660%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-475.262%,-475.262%,-717.710%,-279.336%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-474.114%,-474.114%,-618.140%,-589.417%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-71,511,000","-71,511,000","-92,448,000","-76,663,000","-61,982,000","-68,836,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"275,000","275,000","292,000","276,000","167,000","68,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-71,786,000","-71,786,000","-92,740,000","-76,939,000","-62,149,000","-68,904,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"15,773,000","15,773,000","13,484,000","12,142,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
