Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Aug '23 Aug 31, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","Aug '19 Aug 31, 2019",2018,,
Revenue,"2,463,039","2,842,683",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"2,597,253","2,597,253",-,-,"8,563","11,924",Upgrade,Financials in CAD,Fiscal year is December - November
Gross Profit,"-134,214","245,430",-,-,"-8,563","-11,924",Upgrade,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","1,490,443","1,329,954","1,093,313","517,043","535,802","468,714",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Expenses,"1,730,443","1,329,954","1,757,522","1,057,995","1,207,607","468,714",Upgrade,Financials in CAD,Fiscal year is December - November
Operating Income,"-1,864,657","-1,084,524","-1,757,522","-1,057,995","-1,216,170","-480,638",Upgrade,Financials in CAD,Fiscal year is December - November
Interest Expense,"-2,222","-19,992","-211,177","-91,007","-33,663","-81,237",Upgrade,Financials in CAD,Fiscal year is December - November
Interest & Investment Income,"8,573","17,814",-,925,"1,156",-,Upgrade,Financials in CAD,Fiscal year is December - November
Other Non Operating Income (Expenses),"-49,514","-52,507","-41,756","-26,231","-24,689",-,Upgrade,Financials in CAD,Fiscal year is December - November
EBT Excluding Unusual Items,"-1,907,820","-1,139,209","-2,010,455","-1,174,309","-1,273,366","-561,875",Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Investments,-,-,"-335,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Gain (Loss) on Sale of Assets,-,-,"1,353,620",-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Asset Writedown,"-328,868","-328,868","-2,180,950","-3,385,519",-,"-15,000",Upgrade,Financials in CAD,Fiscal year is December - November
Other Unusual Items,-,-,"-83,968","-2,525,498","-2,245,748",-,Upgrade,Financials in CAD,Fiscal year is December - November
Pretax Income,"-2,236,688","-1,468,077","-3,256,753","-7,085,326","-3,519,114","-576,875",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income,"-2,236,688","-1,468,077","-3,256,753","-7,085,326","-3,519,114","-576,875",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Common,"-2,236,688","-1,468,077","-3,256,753","-7,085,326","-3,519,114","-576,875",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"44,873,916","21,030,231","8,350,844","3,633,274","4,815,810","1,000,000",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"44,873,916","21,030,231","8,350,844","3,633,274","4,815,810","1,000,000",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Change (YoY),200.492%,151.834%,129.843%,-24.555%,381.581%,50.926%,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.050,-0.070,-0.390,-1.950,-0.731,-0.577,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.050,-0.070,-0.390,-1.950,-0.731,-0.577,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow,"-790,002","-1,036,887","-855,559","-753,533","-805,504","-865,349",Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,-0.018,-0.049,-0.102,-0.207,-0.167,-0.865,Upgrade,Financials in CAD,Fiscal year is December - November
Gross Margin,-5.449%,8.634%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Operating Margin,-75.706%,-38.151%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Profit Margin,-90.810%,-51.644%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,-32.074%,-36.476%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA,-,-,"-1,642,480",-,"-1,215,354",-,Upgrade,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,-,-,"115,042",-,816,-,Upgrade,Financials in CAD,Fiscal year is December - November
EBIT,"-1,864,657","-1,084,524","-1,757,522","-1,057,995","-1,216,170","-480,638",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT Margin,-75.706%,-38.151%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Advertising Expenses,-,"18,744","251,228",-,"83,950","10,636",Upgrade,Financials in CAD,Fiscal year is December - November
