Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+14 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+14 Quarters,,
Revenue,"572,000","11,086,000","7,016,000","6,796,000","6,865,000","36,629,000","2,611,000","4,240,000","4,417,000","8,486,000","17,964,000","2,379,000","15,134,000","3,220,000","3,497,000","4,298,000","6,909,000","4,141,000","6,197,000","3,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-91.668%,-69.734%,168.709%,60.283%,55.422%,331.640%,-85.465%,78.226%,-70.814%,163.540%,413.697%,-44.649%,119.048%,-22.241%,-43.569%,18.795%,26.840%,-40.910%,32.301%,-46.416%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,402,000","7,405,000","8,796,000","7,624,000","13,413,000","19,042,000","17,590,000","21,973,000","21,365,000","21,497,000","19,337,000","22,881,000","21,127,000","21,368,000","22,298,000","19,622,000","30,414,000","20,631,000","16,573,000","15,249,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-4,830,000","3,681,000","-1,780,000","-828,000","-6,548,000","17,587,000","-14,979,000","-17,733,000","-16,948,000","-13,011,000","-1,373,000","-20,502,000","-5,993,000","-18,148,000","-18,801,000","-15,324,000","-23,505,000","-16,490,000","-10,376,000","-11,631,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,466,000","3,731,000","3,591,000","4,309,000","5,195,000","5,802,000","5,650,000","5,934,000","6,566,000","7,620,000","7,328,000","9,027,000","8,922,000","8,181,000","7,116,000","7,547,000","6,412,000","5,647,000","6,028,000","4,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,466,000","3,731,000","3,591,000","4,309,000","5,195,000","5,802,000","5,650,000","5,934,000","6,566,000","7,620,000","7,328,000","9,027,000","8,922,000","8,181,000","7,116,000","7,547,000","6,412,000","5,647,000","6,028,000","4,509,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,296,000","-50,000","-5,371,000","-5,137,000","-11,743,000","11,785,000","-20,629,000","-23,667,000","-23,514,000","-20,631,000","-8,701,000","-29,529,000","-14,915,000","-26,329,000","-25,917,000","-22,871,000","-29,917,000","-22,137,000","-16,404,000","-16,140,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-38,000","-31,000","-39,000","-31,000","-1,189,000","-1,395,000","-1,351,000","-1,224,000","-1,092,000","-1,050,000","-1,068,000","-1,033,000","-767,000","-501,000","-476,000","-521,000","-360,000","-348,000","-351,000","-353,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"130,000","109,000","178,000","210,000","365,000","455,000","425,000","307,000","186,000","70,000","126,000","175,000","81,000","52,000","103,000","167,000","286,000","472,000","874,000","396,000",Upgrade,Financials in USD,Fiscal year is January - December
