Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Other Revenue,-,-,-,-,-,-,-,"1,000","-1,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue,"26,202,000","16,347,000","10,059,000","21,514,000","79,917,000","29,930,000","21,025,000","53,813,000","21,028,000","17,078,000","5,183,000","4,978,000","16,540,000","6,965,000","6,866,000","5,823,000","7,773,000","53,139,000","5,023,000","4,145,000",Upgrade,Financials in CHF,Fiscal year is January - December
Revenue Growth (YoY),-67.213%,-45.383%,-52.157%,-60.021%,280.050%,75.255%,305.653%,981.016%,27.134%,145.197%,-24.512%,-14.511%,112.788%,-86.893%,36.691%,40.483%,18.527%,710.293%,-23.407%,-89.876%,Upgrade,Financials in CHF,Fiscal year is January - December
Cost of Revenue,"51,737,000","38,910,000","36,340,000","59,550,000","64,376,000","83,086,000","93,693,000","107,955,000","88,527,000","98,236,000","94,879,000","126,587,000","95,859,000","94,310,000","97,452,000","91,485,000","92,914,000","99,910,000","96,767,000","111,686,000",Upgrade,Financials in CHF,Fiscal year is January - December
Gross Profit,"-25,535,000","-22,563,000","-26,281,000","-38,036,000","15,541,000","-53,156,000","-72,668,000","-54,142,000","-67,499,000","-81,158,000","-89,696,000","-121,609,000","-79,319,000","-87,345,000","-90,586,000","-85,662,000","-85,141,000","-46,771,000","-91,744,000","-107,541,000",Upgrade,Financials in CHF,Fiscal year is January - December
"Selling, General & Admin","64,459,000","74,068,000","67,799,000","78,721,000","65,793,000","124,035,000","124,501,000","136,513,000","138,516,000","129,705,000","102,598,000","103,177,000","55,479,000","40,539,000","30,974,000","33,710,000","25,916,000","18,594,000","18,945,000","17,911,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Operating Expenses,"-1,678,000","-2,077,000","-900,000","-711,000","-477,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Expenses,"63,991,000","72,514,000","67,430,000","78,152,000","68,311,000","124,451,000","124,921,000","136,913,000","138,976,000","130,031,000","102,849,000","103,216,000","55,516,000","40,701,000","31,212,000","33,993,000","26,204,000","18,905,000","19,263,000","18,228,000",Upgrade,Financials in CHF,Fiscal year is January - December
Operating Income,"-89,526,000","-95,077,000","-93,711,000","-116,188,000","-52,770,000","-177,607,000","-197,589,000","-191,055,000","-206,475,000","-211,189,000","-192,545,000","-224,825,000","-134,835,000","-128,046,000","-121,798,000","-119,655,000","-111,345,000","-65,676,000","-111,007,000","-125,769,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest Expense,"-8,432,000","-2,521,000","-5,210,000",-,"-9,043,000","-2,838,000","-4,891,000",-,"-4,631,000","-3,417,000","-4,210,000","-23,722,000","-4,877,000","-2,695,000","-2,299,000","-1,775,000","-2,343,000","-2,778,000","-2,253,000","-3,776,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest & Investment Income,-,"1,500,000",-,"11,312,000",-,"900,000",-,"5,251,000",-,-,-,"5,856,000",-,"300,000",-,-,-,"100,000",-,"987,000",Upgrade,Financials in CHF,Fiscal year is January - December
Currency Exchange Gain (Loss),"-900,000","900,000",-,"-14,700,000","13,200,000","-13,200,000",-,"-2,000,000","1,700,000","-1,700,000",-,"7,700,000","-12,400,000","12,400,000",-,"-19,100,000","2,900,000","-2,900,000",-,"-1,619,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,026,000","-11,234,000","4,480,000","-7,047,000","-10,288,000","-1,883,000","-1,928,000","-8,331,000","-1,642,000","409,000","-654,000","-15,611,000","16,686,000","-20,166,000","20,027,000","4,958,000","-5,671,000","-241,000","232,000","-3,261,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBT Excluding Unusual Items,"-100,884,000","-106,432,000","-94,441,000","-126,623,000","-58,901,000","-194,628,000","-204,408,000","-196,135,000","-211,048,000","-215,897,000","-197,409,000","-250,602,000","-135,426,000","-138,207,000","-104,070,000","-135,572,000","-116,459,000","-71,495,000","-113,028,000","-133,438,000",Upgrade,Financials in CHF,Fiscal year is January - December
Merger & Restructuring Charges,-,"-110,000","-661,000","578,000","-11,120,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"19,000","-1,794,000","-206,000","6,637,000","163,000","2,461,000","-6,861,000","5,844,000","-2,144,000","-4,287,000","987,000","-2,369,000","-3,876,000","-400,000","145,000","-5,950,000","-2,975,000","1,987,000","-5,787,000","-2,667,000",Upgrade,Financials in CHF,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"13,000","125,314,000","3,154,000","301,938,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-6,643,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Pretax Income,"-100,865,000","-108,323,000","30,006,000","-116,254,000","225,437,000","-192,167,000","-211,269,000","-190,291,000","-213,192,000","-220,184,000","-196,422,000","-252,971,000","-139,302,000","-138,607,000","-103,925,000","-141,522,000","-119,434,000","-69,508,000","-118,815,000","-136,105,000",Upgrade,Financials in CHF,Fiscal year is January - December
Income Tax Expense,"173,000","251,000","146,000","422,000","1,388,000","944,000","914,000","2,522,000","2,759,000","1,393,000","1,133,000","-1,327,000","285,000","226,000","606,000","-4,560,000","-953,000","-117,000","1,470,000","5,941,000",Upgrade,Financials in CHF,Fiscal year is January - December
Earnings From Continuing Operations,"-101,038,000","-108,574,000","29,860,000","-116,676,000","224,049,000","-193,111,000","-212,183,000","-192,813,000","-215,951,000","-221,577,000","-197,555,000","-251,644,000","-139,587,000","-138,833,000","-104,531,000","-136,962,000","-118,481,000","-69,391,000","-120,285,000","-142,046,000",Upgrade,Financials in CHF,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"76,000","252,000","286,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income,"-101,038,000","-108,574,000","29,860,000","-116,676,000","224,049,000","-193,111,000","-212,183,000","-192,813,000","-215,951,000","-221,577,000","-197,555,000","-251,644,000","-139,587,000","-138,833,000","-104,531,000","-136,962,000","-118,481,000","-69,315,000","-120,033,000","-141,760,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income to Common,"-101,038,000","-108,574,000","29,860,000","-116,676,000","224,049,000","-193,111,000","-212,183,000","-192,813,000","-215,951,000","-221,577,000","-197,555,000","-251,644,000","-139,587,000","-138,833,000","-104,531,000","-136,962,000","-118,481,000","-69,315,000","-120,033,000","-141,760,000",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Basic),"182,383,952","179,936,048","179,123,000","178,363,488","178,375,266","178,264,734","177,984,000","177,547,736","177,527,754","177,511,246","177,149,000","172,941,192","167,340,330","167,105,670","166,605,000","160,905,288","142,655,448","136,420,552","131,255,000","131,236,484",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Diluted),"182,383,952","179,936,048","233,266,000","178,363,488","178,375,266","178,264,734","177,984,000","177,547,736","177,527,754","177,511,246","177,149,000","172,941,192","167,340,330","167,105,670","166,605,000","160,905,288","142,655,448","136,420,552","131,255,000","131,236,484",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Change (YoY),2.247%,0.938%,31.060%,0.459%,0.477%,0.424%,0.471%,2.664%,6.088%,6.227%,6.329%,7.480%,17.304%,22.493%,26.932%,22.607%,8.721%,3.970%,0.129%,0.088%,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Basic),-0.554,-0.603,0.167,-0.654,1.256,-1.083,-1.192,-1.086,-1.216,-1.248,-1.115,-1.455,-0.834,-0.831,-0.627,-0.851,-0.831,-0.508,-0.915,-1.080,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Diluted),-0.556,-0.608,0.130,-0.654,1.256,-1.090,-1.192,-1.090,-1.220,-1.248,-1.120,-1.462,-0.834,-0.831,-0.630,-0.851,-0.834,-0.508,-0.915,-1.080,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-144,180,000","-98,321,000","-118,987,000","-114,182,000","-75,645,000","-194,975,000","-253,625,000","-223,330,000","-199,061,000","-208,759,000","-244,572,000","-204,012,000","-120,829,000","-137,910,000","-152,671,000","-127,090,000","-93,361,000","-45,566,000","-107,916,000","-131,681,000",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-0.791,-0.546,-0.510,-0.640,-0.424,-1.094,-1.425,-1.258,-1.121,-1.176,-1.381,-1.180,-0.722,-0.825,-0.916,-0.790,-0.654,-0.334,-0.822,-1.003,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Margin,-97.454%,-138.025%,-261.269%,-176.797%,19.446%,-177.601%,-,-100.611%,-,-,-,-,-,-,-,-,-,-88.016%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,-341.676%,-581.617%,-931.613%,-540.058%,-66.031%,-593.408%,-939.781%,-355.035%,-981.905%,-1236.614%,-3714.933%,-4516.372%,-815.206%,-1838.421%,-1773.930%,-2054.869%,-1432.459%,-123.593%,-2209.974%,-3034.234%,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,-385.612%,-664.183%,296.849%,-542.326%,280.352%,-645.209%,-1009.194%,-358.302%,-1026.969%,-1297.441%,-3811.596%,-5055.123%,-843.936%,-1993.295%,-1522.444%,-2352.087%,-1524.263%,-130.441%,-2389.668%,-3420.024%,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-550.263%,-601.462%,-1182.891%,-530.733%,-94.654%,-651.437%,-1206.302%,-415.011%,-946.647%,-1222.386%,-4718.734%,-4098.272%,-730.526%,-1980.043%,-2223.580%,-2182.552%,-1201.094%,-85.749%,-2148.437%,-3176.864%,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,"-83,917,000","-90,855,000","-89,870,000","-112,233,000","-45,789,000","-174,074,000","-193,024,000","-185,377,000","-202,036,000","-206,669,000","-187,353,000","-220,948,000","-129,582,000","-123,916,000","-117,501,000","-116,235,000","-106,681,000","-60,903,000","-106,139,000","-121,989,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-57.296%,-,-,-,-,-,-,-,-,-,-,-,-,-114.611%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"5,609,000","4,222,000","3,841,000","3,955,000","6,981,000","3,533,000","4,565,000","5,678,000","4,439,000","4,520,000","5,192,000","3,877,000","5,253,000","4,130,000","4,297,000","3,420,000","4,664,000","4,773,000","4,868,000","3,780,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"-89,526,000","-95,077,000","-93,711,000","-116,188,000","-52,770,000","-177,607,000","-197,589,000","-191,055,000","-206,475,000","-211,189,000","-192,545,000","-224,825,000","-134,835,000","-128,046,000","-121,798,000","-119,655,000","-111,345,000","-65,676,000","-111,007,000","-125,769,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT Margin,-,-,-,-,-66.031%,-,-,-,-,-,-,-,-,-,-,-,-,-123.593%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
