Fiscal Year,TTM,FY 2016,FY 2015,FY 2011,Currency,Fiscal_Year_period
Period Ending,"Jun '17 Jun 30, 2017","Sep '16 Sep 30, 2016","Sep '15 Sep 30, 2015","Sep '11 Sep 30, 2011",,
Revenue,-,-,-,"20,007",Financials in USD,Fiscal year is October - September
Cost of Revenue,-,-,-,"22,918",Financials in USD,Fiscal year is October - September
Gross Profit,-,-,-,"-2,911",Financials in USD,Fiscal year is October - September
"Selling, General & Admin","25,853,984","803,136","120,582",-,Financials in USD,Fiscal year is October - September
Operating Expenses,"25,853,984","803,136","120,582","8,690",Financials in USD,Fiscal year is October - September
Operating Income,"-25,853,984","-803,136","-120,582","-11,601",Financials in USD,Fiscal year is October - September
Interest Expense,"-560,631","-204,475",-,"-7,382",Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-1,185,639","-674,555",-,-,Financials in USD,Fiscal year is October - September
Pretax Income,"-27,718,614","-1,682,166","-120,582","-18,983",Financials in USD,Fiscal year is October - September
Net Income,"-27,718,614","-1,682,166","-120,582","-18,983",Financials in USD,Fiscal year is October - September
Net Income to Common,"-27,718,614","-1,682,166","-120,582","-18,983",Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"27,617,225","27,530,975","25,750,000","2,254,727",Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"27,617,225","27,530,975","25,750,000","2,254,727",Financials in USD,Fiscal year is October - September
Shares Change (YoY),7.251%,6.916%,1042.045%,-,Financials in USD,Fiscal year is October - September
EPS (Basic),-1.004,-0.061,-,-0.008,Financials in USD,Fiscal year is October - September
EPS (Diluted),-1.004,-0.061,-,-0.008,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-801,501","-245,692","110,418","-2,911",Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.029,-0.009,0.004,-0.001,Financials in USD,Fiscal year is October - September
Gross Margin,-,-,-,-14.550%,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-57.985%,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-94.882%,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-,-,-,-14.550%,Financials in USD,Fiscal year is October - September
EBITDA,"-25,848,979","-801,459",-,"-2,911",Financials in USD,Fiscal year is October - September
EBITDA Margin,-,-,-,-14.550%,Financials in USD,Fiscal year is October - September
D&A For EBITDA,"5,005","1,677",-,"8,690",Financials in USD,Fiscal year is October - September
EBIT,"-25,853,984","-803,136","-120,582","-11,601",Financials in USD,Fiscal year is October - September
EBIT Margin,-,-,-,-57.985%,Financials in USD,Fiscal year is October - September
Advertising Expenses,-,583,-,-,Financials in USD,Fiscal year is October - September
