Fiscal Quarter,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q3 2009,Q2 2009,Q1 2009,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009",,
Revenue,-,-,-,-,-,"4,173","8,234","2,007",Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,"1,485","2,600","1,735",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,"2,688","5,634",272,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","44,671",-,-,30,567,-,"6,210",260,Financials in USD,Fiscal year is January - December
Operating Expenses,"48,421","3,750","3,750","3,780","4,317",-,"6,210",260,Financials in USD,Fiscal year is January - December
Operating Income,"-48,421","-3,750","-3,750","-3,780","-4,317","2,688",-576,12,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,3,27,82,565,59,Financials in USD,Fiscal year is January - December
Pretax Income,"-48,421","-3,750","-3,750","-3,777","-4,290","2,770",-11,71,Financials in USD,Fiscal year is January - December
Net Income,"-48,421","-3,750","-3,750","-3,777","-4,290","2,770",-11,71,Financials in USD,Fiscal year is January - December
Net Income to Common,"-48,421","-3,750","-3,750","-3,777","-4,290","2,770",-11,71,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),-,-,-,-,-,"616,737,031",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),-,-,-,-,-,"616,737,031",-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-,-,-,-,-,0.000,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-,-,-,-,-,0.000,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-44,672",-,-,-,-,"7,268","-1,798","9,661",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,-,-,0.000,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,64.414%,68.424%,13.553%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,64.414%,-6.995%,0.598%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,66.379%,-0.134%,3.538%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,174.167%,-21.836%,481.365%,Financials in USD,Fiscal year is January - December
EBITDA,"-44,671",-,-,-30,-567,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,750","3,750","3,750","3,750","3,750",-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-48,421","-3,750","-3,750","-3,780","-4,317","2,688",-576,12,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,64.414%,-6.995%,0.598%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"4,173","8,234",-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,218,-,Financials in USD,Fiscal year is January - December
