Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q1 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","May '13 May 31, 2013",,
"Selling, General & Admin","218,108","241,507","212,783","621,002","43,196",920,"1,673","7,487","8,473",416,Financials in USD,Fiscal year is January - December
Operating Expenses,"218,108","241,507","212,783","621,002","43,196",920,"1,673","7,487","8,473",416,Financials in USD,Fiscal year is January - December
Operating Income,"-218,108","-241,507","-212,783","-621,002","-43,196",-920,"-1,673","-7,487","-8,473",-416,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-123,822","-121,150","-124,269","-7,517",-,-,-,-,-,"-1,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-341,930","-362,657","-337,052","-628,519","-43,196",-920,"-1,673","-7,487","-8,473","-1,416",Financials in USD,Fiscal year is January - December
Net Income,"-341,930","-362,657","-337,052","-628,519","-43,196",-920,"-1,673","-7,487","-8,473","-1,416",Financials in USD,Fiscal year is January - December
Net Income to Common,"-341,930","-362,657","-337,052","-628,519","-43,196",-920,"-1,673","-7,487","-8,473","-1,416",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,319,302","21,319,302","19,506,802","19,746,747","15,768,949","14,918,329","14,918,329","14,918,329","14,918,329","250,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,319,302","21,319,302","19,506,802","19,746,747","15,768,949","14,918,329","14,918,329","14,918,329","14,918,329","250,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),35.198%,42.907%,30.757%,32.366%,5.702%,5867.332%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.016,-0.017,-0.017,-0.032,-0.003,-0.000,-0.000,-0.001,-0.001,-0.006,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.016,-0.017,-0.017,-0.032,-0.003,-0.000,-0.000,-0.001,-0.001,-0.006,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,527","-29,158","-39,652","-46,837","-24,207",-876,-330,-209,-,-416,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.001,-0.002,-0.002,-0.002,-0.000,-0.000,-0.000,-,-0.002,Financials in USD,Fiscal year is January - December
EBIT,"-218,108","-241,507","-212,783","-621,002","-43,196",-920,"-1,673","-7,487","-8,473",-416,Financials in USD,Fiscal year is January - December
