Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","68,890,000","67,809,000","38,207,000","14,541,000","4,149,600",Financials in USD,Fiscal year is January - December
Research & Development,"37,669,000","57,544,000","157,363,000","120,328,000","54,259,200",Financials in USD,Fiscal year is January - December
Operating Expenses,"106,559,000","125,353,000","195,570,000","134,869,000","58,408,800",Financials in USD,Fiscal year is January - December
Operating Income,"-106,559,000","-125,353,000","-195,570,000","-134,869,000","-58,408,800",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-4,854,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,343,000","2,714,000","220,000",-,"26,400",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,502,000","10,409,000","-455,000","123,000","-2,400",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-88,714,000","-112,230,000","-195,805,000","-139,600,000","-58,384,800",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,607,000","1,607,000","23,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-87,107,000","-110,623,000","-195,782,000","-139,600,000","-58,384,800",Financials in USD,Fiscal year is January - December
Income Tax Expense,"874,000","-333,000","518,000","4,000","9,600",Financials in USD,Fiscal year is January - December
Net Income,"-87,981,000","-110,290,000","-196,300,000","-139,604,000","-58,394,400",Financials in USD,Fiscal year is January - December
Net Income to Common,"-87,981,000","-110,290,000","-196,300,000","-139,604,000","-58,394,400",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"107,405,910","107,923,296","34,394,622","12,051,433","4,872,445",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"107,405,910","107,923,296","34,394,622","12,051,433","4,872,445",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.542%,213.780%,185.399%,147.339%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.819,-1.022,-5.707,-11.584,-11.985,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.819,-1.022,-5.707,-11.584,-11.985,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-83,991,000","-101,030,000","-164,900,000","-99,028,000","-28,080,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.782,-0.936,-4.794,-8.217,-5.763,Financials in USD,Fiscal year is January - December
EBITDA,"-105,259,000","-124,347,000","-195,045,000","-134,793,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,300,000","1,006,000","525,000","76,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-106,559,000","-125,353,000","-195,570,000","-134,869,000","-58,408,800",Financials in USD,Fiscal year is January - December
