Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
Operating Revenue,"8,591,000","6,033,000","6,081,000","3,321,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Other Revenue,"7,000",-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue,"8,598,000","6,033,000","6,081,000","3,321,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue Growth (YoY),45.040%,-0.789%,83.107%,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Cost of Revenue,"2,703,000","1,920,000","1,250,000","750,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Profit,"5,895,000","4,113,000","4,831,000","2,571,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
"Selling, General & Admin","14,165,000","19,429,000","24,052,000","15,136,000","5,465,000","915,000",Upgrade,Financials in CHF,Fiscal year is January - December
Research & Development,"1,128,000","1,328,000","12,393,000","19,024,000","13,672,000",-,Upgrade,Financials in CHF,Fiscal year is January - December
Other Operating Expenses,"-122,000","-122,000","-513,000","611,000","226,000","31,000",Upgrade,Financials in CHF,Fiscal year is January - December
Operating Expenses,"18,223,000","23,953,000","39,792,000","36,807,000","19,363,000","947,000",Upgrade,Financials in CHF,Fiscal year is January - December
Operating Income,"-12,328,000","-19,840,000","-34,961,000","-34,236,000","-19,363,000","-947,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest Expense,-,"-27,000","-126,000","-194,000","-100,000","-134,000",Upgrade,Financials in CHF,Fiscal year is January - December
Interest & Investment Income,"637,000","93,000","18,000","40,000","7,000",-,Upgrade,Financials in CHF,Fiscal year is January - December
Currency Exchange Gain (Loss),"-65,000","-65,000","-374,000","57,000","-396,000","38,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Non Operating Income (Expenses),"-4,619,000","-857,000","-1,794,000","-1,097,000","-46,000","-4,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,375,000","-20,696,000","-37,237,000","-35,430,000","-19,898,000","-1,047,000",Upgrade,Financials in CHF,Fiscal year is January - December
