Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+20 Quarters,,
Revenue,-,-,-,-,-,-,-,-,"3,000",-,-,-,"33,000","13,000","6,000","8,000","33,000","6,000","17,000","27,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-90.909%,-,-,-,0%,116.667%,-64.706%,-70.370%,0%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,144,000","5,458,000","6,048,000","6,631,000","7,479,000","5,635,000","5,219,000","4,744,000","6,137,000","4,911,000","3,798,000","5,079,000","5,519,000","5,652,000","3,803,000","4,013,000","4,468,000","3,897,000","2,605,000","1,882,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-5,144,000","-5,458,000","-6,048,000","-6,631,000","-7,479,000","-5,635,000","-5,219,000","-4,744,000","-6,134,000","-4,911,000","-3,798,000","-5,079,000","-5,486,000","-5,639,000","-3,797,000","-4,005,000","-4,435,000","-3,891,000","-2,588,000","-1,855,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,428,000","3,948,000","4,620,000","3,990,000","4,876,000","4,560,000","3,416,000","3,161,000","4,117,000","2,777,000","2,200,000","2,257,000","3,362,000","2,635,000","2,184,000","1,960,000","2,962,000","2,349,000","2,640,000","1,290,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"1,443,000","-376,000","-689,000","-378,000","2,875,000","-476,000","-1,169,000","-1,234,000","2,697,000","-1,264,000","-1,015,000","-415,000","-339,000","-606,000","-1,142,000","-346,000","-194,000","-404,000","-189,000","-275,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,871,000","3,572,000","3,931,000","3,612,000","7,751,000","4,084,000","2,247,000","1,927,000","6,814,000","1,513,000","1,185,000","1,842,000","3,023,000","2,029,000","1,042,000","1,614,000","2,768,000","1,945,000","2,451,000","1,015,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-11,015,000","-9,030,000","-9,979,000","-10,243,000","-15,230,000","-9,719,000","-7,466,000","-6,671,000","-12,948,000","-6,424,000","-4,983,000","-6,921,000","-8,509,000","-7,668,000","-4,839,000","-5,619,000","-7,203,000","-5,836,000","-5,039,000","-2,870,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-304,000","-471,000","-61,000","-15,000","-355,000",-,-,"-305,000","-322,000","-70,000","-379,000","-392,000","-398,000","-579,000","-270,000","-269,000","-266,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"153,000","118,000","34,000","24,000","35,000","41,000","42,000","69,000","566,000","66,000","40,000","51,000","104,000","151,000","180,000","74,000","101,000","119,000","112,000","69,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-191,000","629,000","38,000",-,-,-,-,-,-,"106,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,053,000","-8,283,000","-9,907,000","-10,523,000","-15,666,000","-9,739,000","-7,439,000","-6,957,000","-12,382,000","-6,252,000","-5,248,000","-7,192,000","-8,475,000","-7,896,000","-5,051,000","-5,943,000","-7,681,000","-5,987,000","-5,196,000","-3,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"650,000","-650,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,775,000",-,-,-,"3,930,000","-700,000",-,-,"4,991,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,628,000","-8,933,000","-9,907,000","-10,523,000","-11,736,000","-10,439,000","-7,439,000","-6,957,000","-7,391,000","-6,252,000","-5,248,000","-7,192,000","-8,475,000","-7,896,000","-5,051,000","-5,943,000","-7,681,000","-5,987,000","-5,196,000","-3,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,628,000","-8,933,000","-9,907,000","-10,523,000","-11,736,000","-10,439,000","-7,439,000","-6,957,000","-7,391,000","-6,252,000","-5,248,000","-7,192,000","-8,475,000","-7,896,000","-5,051,000","-5,943,000","-7,681,000","-5,987,000","-5,196,000","-3,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,628,000","-8,933,000","-9,907,000","-10,523,000","-11,736,000","-10,439,000","-7,439,000","-6,957,000","-7,391,000","-6,252,000","-5,248,000","-7,192,000","-8,475,000","-7,896,000","-5,051,000","-5,943,000","-7,681,000","-5,987,000","-5,196,000","-3,067,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,690,534","8,235,795","8,226,521","8,220,805","8,223,235","7,917,575","6,778,194","6,747,515","6,714,307","6,597,027","5,730,090","5,071,949","5,064,163","5,061,549","5,060,187","4,671,244","4,503,982","4,492,301","4,300,162","4,159,487",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,690,534","8,235,795","8,226,521","8,220,805","8,223,235","7,917,575","6,778,194","6,747,515","6,714,307","6,597,027","5,730,090","5,071,949","5,064,163","5,061,549","5,060,187","4,671,244","4,503,982","4,492,301","4,300,162","4,159,487",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.683%,4.019%,21.367%,21.835%,22.473%,20.017%,18.291%,33.036%,32.585%,30.336%,13.239%,8.578%,12.437%,12.672%,17.674%,12.303%,12.385%,12.584%,14.192%,12.543%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.993,-1.085,-1.204,-1.280,-1.427,-1.318,-1.097,-1.031,-1.101,-0.948,-0.916,-1.418,-1.674,-1.560,-0.998,-1.272,-1.705,-1.333,-1.208,-0.737,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.993,-1.085,-1.204,-1.280,-1.427,-1.318,-1.097,-1.031,-1.101,-0.948,-0.916,-1.418,-1.674,-1.560,-0.998,-1.272,-1.705,-1.333,-1.208,-0.737,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,508,000","-10,441,000","-7,524,000","-9,997,000","-8,062,000","-9,983,000","-7,448,000","-7,954,000","-3,056,000","-5,026,000","-10,455,000","-5,327,000","-7,375,000","-5,486,000","-6,585,000","-8,318,000","-5,729,000","-5,819,000","-3,749,000","-4,111,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.749,-1.268,-0.915,-1.216,-0.980,-1.261,-1.099,-1.179,-0.455,-0.762,-1.825,-1.050,-1.456,-1.084,-1.301,-1.781,-1.272,-1.295,-0.872,-0.988,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-431600.000%,-,-,-,-25784.848%,-58984.615%,-80650.000%,-70237.500%,-21827.273%,-97266.667%,-29641.176%,-10629.630%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-246366.667%,-,-,-,-25681.818%,-60738.462%,-84183.333%,-74287.500%,-23275.758%,-99783.333%,-30564.706%,-11359.259%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-101866.667%,-,-,-,-22348.485%,-42200.000%,-109750.000%,-103975.000%,-17360.606%,-96983.333%,-22052.941%,-15225.926%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,012,000","-8,742,000","-9,761,000","-10,069,000","-15,149,000","-9,597,000","-7,356,000","-6,572,000","-12,882,750","-6,324,000","-4,891,000","-6,831,000","-8,505,000","-7,519,000","-4,721,000","-5,512,000","-7,177,000","-5,730,000","-4,982,000","-2,828,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,000","288,000","218,000","174,000","81,000","122,000","110,000","99,000","65,250","100,000","92,000","90,000","4,000","149,000","118,000","107,000","26,000","106,000","57,000","42,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-11,015,000","-9,030,000","-9,979,000","-10,243,000","-15,230,000","-9,719,000","-7,466,000","-6,671,000","-12,948,000","-6,424,000","-4,983,000","-6,921,000","-8,509,000","-7,668,000","-4,839,000","-5,619,000","-7,203,000","-5,836,000","-5,039,000","-2,870,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,"225,000",-,-,-,"137,000","164,000","186,000","82,000","134,000","125,000","129,000","96,000",Upgrade,Financials in USD,Fiscal year is January - December
