Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020","Sep '19 Sep 30, 2019",2018 - 2016,,
Rental Revenue,-,-,-,"20,937,000","13,974,000","2,451,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Revenue,-,-,-,"-234,000","-253,000","-347,000",Upgrade,Financials in USD,Fiscal year is October - September
Total Revenue,-,-,-,"20,703,000","13,721,000","2,104,000",Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY,-,-,-,50.886%,552.139%,62.346%,Upgrade,Financials in USD,Fiscal year is October - September
Property Expenses,-,-,-,"14,387,000","10,306,000","2,117,000",Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Administrative","3,747,000","3,747,000","6,692,000","17,928,000","13,334,000","19,106,000",Upgrade,Financials in USD,Fiscal year is October - September
Total Operating Expenses,"3,747,000","3,747,000","6,692,000","32,315,000","23,640,000","21,223,000",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-3,747,000","-3,747,000","-6,692,000","-11,612,000","-9,919,000","-19,119,000",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-1,238,000","-1,238,000","-650,000","-1,953,000","-2,434,000","-2,591,000",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),"-46,000","-46,000",-,"91,000","-15,000","36,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Non-Operating Income,"-139,000","-139,000","4,263,000","5,199,000","874,000","2,220,000",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-5,170,000","-5,170,000","-3,079,000","-8,275,000","-11,494,000","-19,454,000",Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Investments,-,-,"-288,000","-2,235,000",-,"-6,200,000",Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,"-250,000",-,-,"-2,132,000",Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,"803,000",-,-,"-1,199,000",Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-5,170,000","-5,170,000","-2,814,000","-10,510,000","-11,494,000","-28,985,000",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-5,170,000","-5,170,000","-2,814,000","-10,510,000","-11,494,000","-28,985,000",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Discontinued Operations,"-14,239,000","-14,239,000","-14,716,000","-54,096,000",-,-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Company,"-19,409,000","-19,409,000","-17,530,000","-64,606,000","-11,494,000","-28,985,000",Upgrade,Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,"391,000","391,000","162,000","242,000","492,000","391,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-19,018,000","-19,018,000","-17,368,000","-64,364,000","-11,002,000","-28,594,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-19,018,000","-19,018,000","-17,368,000","-64,364,000","-11,002,000","-28,594,000",Upgrade,Financials in USD,Fiscal year is October - September
Basic Shares Outstanding,"2,531,668","2,531,668","2,261,682","1,593,054","601,431","282,453",Upgrade,Financials in USD,Fiscal year is October - September
Diluted Shares Outstanding,"2,531,668","2,531,668","2,261,682","1,593,054","601,431","282,453",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),11.937%,11.937%,41.971%,164.877%,112.931%,240.084%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-7.512,-7.512,-7.679,-40.403,-18.293,-101.235,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-7.512,-7.512,-7.679,-40.403,-18.293,-101.235,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-,-,-,-56.088%,-72.291%,-908.698%,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-,-,-,-310.892%,-80.184%,-1359.030%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,-,-,-,-44.820%,-36.645%,-311.264%,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,"-1,947,000","-1,947,000","-4,199,000","-9,372,000","-7,553,000","-18,591,000",Upgrade,Financials in USD,Fiscal year is October - September
EBITDA Margin,-,-,-,-45.269%,-55.047%,-,Upgrade,Financials in USD,Fiscal year is October - September
D&A For Ebitda,"1,800,000","1,800,000","2,493,000","2,240,000","2,366,000","528,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-3,747,000","-3,747,000","-6,692,000","-11,612,000","-9,919,000","-19,119,000",Upgrade,Financials in USD,Fiscal year is October - September
EBIT Margin,-,-,-,-56.088%,-72.291%,-,Upgrade,Financials in USD,Fiscal year is October - September
