Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Asset Writedown,"-8,000,000","-33,000,000","-79,000,000","-19,000,000","-32,000,000","-37,000,000","-1,573,000,000","-9,000,000","-6,000,000","-323,000,000","-3,031,000,000","-11,000,000","-45,000,000","-4,000,000","-16,000,000","-20,000,000","-16,000,000","-2,000,000","-23,000,000","-32,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Other Unusual Items,-,"-1,000,000",-,"-1,000,000","2,000,000","-1,000,000","-2,000,000","1,000,000","1,000,000","-1,000,000","-762,000,000",-,-,-,"2,000,000","-1,000,000",-,"-5,000,000","312,000,000","-312,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Pretax Income,"16,864,000,000","2,371,000,000","575,000,000","3,562,000,000","2,208,000,000","3,450,000,000","-5,824,000,000","4,412,000,000","4,222,000,000","4,007,000,000","-572,000,000","5,022,000,000","4,781,000,000","4,654,000,000","2,975,000,000","5,318,000,000","4,880,000,000","5,484,000,000","4,411,000,000","8,559,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Income Tax Expense,"4,332,000,000","617,000,000","-775,000,000","955,000,000","650,000,000","940,000,000","-2,115,000,000","1,227,000,000","1,165,000,000","1,100,000,000","125,000,000","1,497,000,000","1,422,000,000","1,292,000,000","504,000,000","1,610,000,000","1,474,000,000","1,664,000,000","595,000,000","2,552,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Net Income,"12,532,000,000","1,754,000,000","1,350,000,000","2,607,000,000","1,558,000,000","2,510,000,000","-3,709,000,000","3,185,000,000","3,057,000,000","2,907,000,000","-697,000,000","3,525,000,000","3,359,000,000","3,362,000,000","2,471,000,000","3,708,000,000","3,406,000,000","3,820,000,000","3,816,000,000","6,007,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Net Income to Common,"12,532,000,000","1,754,000,000","1,350,000,000","2,607,000,000","1,558,000,000","2,510,000,000","-3,709,000,000","3,185,000,000","3,057,000,000","2,907,000,000","-697,000,000","3,525,000,000","3,359,000,000","3,362,000,000","2,471,000,000","3,708,000,000","3,406,000,000","3,820,000,000","3,816,000,000","6,007,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
Net Income Growth,704.365%,-30.120%,-,-18.148%,-49.035%,-13.657%,-,-9.645%,-8.991%,-13.534%,-,-4.935%,-1.380%,-11.990%,-35.246%,-38.272%,-27.854%,-20.845%,8.163%,11.097%,Upgrade,Financials in JPY,Fiscal year is April - March
Shares Outstanding (Basic),"37,872,273","37,869,727","37,869,000","37,869,000","37,738,000","37,472,000","37,475,000","37,473,000","37,528,000","37,808,000","37,819,000","37,817,000","37,968,000","38,308,000","38,326,000","38,392,000","38,725,000","38,917,000","38,921,000","38,915,000",Upgrade,Financials in JPY,Fiscal year is April - March
Shares Outstanding (Diluted),"37,872,273","37,869,727","37,869,000","37,869,000","37,738,000","37,472,000","37,475,000","37,473,000","37,528,000","37,808,000","37,819,000","37,817,000","37,968,000","38,308,000","38,326,000","38,392,000","38,725,000","38,917,000","38,921,000","38,915,000",Upgrade,Financials in JPY,Fiscal year is April - March
Shares Change (YoY),0.356%,1.061%,1.051%,1.057%,0.560%,-0.889%,-0.910%,-0.910%,-1.159%,-1.305%,-1.323%,-1.498%,-1.955%,-1.565%,-1.529%,-1.344%,-0.827%,-1.913%,-2.007%,-2.022%,Upgrade,Financials in JPY,Fiscal year is April - March
EPS (Basic),330.902,46.317,35.649,68.843,41.285,66.983,-98.973,84.995,81.459,76.888,-18.430,93.212,88.469,87.762,64.473,96.583,87.954,98.158,98.045,154.362,Upgrade,Financials in JPY,Fiscal year is April - March
EPS (Diluted),330.902,46.317,35.649,68.843,41.285,66.983,-98.973,84.995,81.459,76.888,-18.430,93.212,88.469,87.762,64.473,96.583,87.954,98.158,98.045,154.362,Upgrade,Financials in JPY,Fiscal year is April - March
EPS Growth,701.513%,-30.853%,-,-19.004%,-49.319%,-12.882%,-,-8.816%,-7.924%,-12.390%,-,-3.490%,0.586%,-10.590%,-34.241%,-37.431%,-27.253%,-19.302%,10.378%,13.389%,Upgrade,Financials in JPY,Fiscal year is April - March
Dividend Per Share,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,75.000,-,Upgrade,Financials in JPY,Fiscal year is April - March
Gross Margin,72.622%,55.067%,49.997%,54.764%,53.632%,55.405%,51.651%,54.260%,55.563%,55.174%,52.150%,54.766%,56.044%,55.687%,50.869%,53.772%,56.103%,57.488%,53.296%,57.722%,Upgrade,Financials in JPY,Fiscal year is April - March
Operating Margin,50.815%,15.071%,3.687%,18.148%,12.319%,18.149%,-25.243%,22.321%,22.296%,22.295%,17.325%,24.120%,24.118%,23.964%,15.863%,25.457%,25.381%,27.847%,21.408%,34.745%,Upgrade,Financials in JPY,Fiscal year is April - March
Profit Margin,37.840%,9.609%,7.777%,14.081%,8.645%,13.829%,-21.303%,16.983%,16.416%,15.975%,-3.803%,17.520%,17.554%,18.219%,13.807%,18.272%,18.195%,21.140%,20.027%,24.020%,Upgrade,Financials in JPY,Fiscal year is April - March
EBITDA,"17,481,000,000","3,439,250,000","1,328,250,000","4,002,000,000","2,924,000,000","3,936,000,000","-3,753,000,000","4,807,500,000","4,774,000,000","4,678,500,000","3,796,500,000","5,432,500,000","5,230,000,000","5,001,500,000","3,418,500,000","5,856,250,000","5,316,000,000","5,722,250,000","4,769,250,000","9,338,750,000",Upgrade,Financials in JPY,Fiscal year is April - March
EBITDA Margin,52.784%,18.841%,7.652%,21.616%,16.226%,21.686%,-21.555%,25.634%,25.636%,25.710%,20.716%,27.000%,27.332%,27.104%,19.101%,28.858%,28.399%,31.667%,25.030%,37.343%,Upgrade,Financials in JPY,Fiscal year is April - March
D&A For EBITDA,"652,000,000","688,250,000","688,250,000","642,000,000","704,000,000","642,000,000","642,000,000","621,500,000","622,000,000","621,500,000","621,500,000","579,500,000","615,000,000","579,500,000","579,500,000","690,250,000","565,000,000","690,250,000","690,250,000","649,750,000",Upgrade,Financials in JPY,Fiscal year is April - March
EBIT,"16,829,000,000","2,751,000,000","640,000,000","3,360,000,000","2,220,000,000","3,294,000,000","-4,395,000,000","4,186,000,000","4,152,000,000","4,057,000,000","3,175,000,000","4,853,000,000","4,615,000,000","4,422,000,000","2,839,000,000","5,166,000,000","4,751,000,000","5,032,000,000","4,079,000,000","8,689,000,000",Upgrade,Financials in JPY,Fiscal year is April - March
EBIT Margin,50.815%,15.071%,3.687%,18.148%,12.319%,18.149%,-25.243%,22.320%,22.296%,22.295%,17.325%,24.120%,24.118%,23.963%,15.863%,25.457%,25.381%,27.847%,21.407%,34.745%,Upgrade,Financials in JPY,Fiscal year is April - March
Effective Tax Rate,25.688%,26.023%,-,26.811%,29.438%,27.246%,-,27.810%,27.593%,27.452%,-,29.809%,29.743%,27.761%,16.941%,30.274%,30.205%,30.343%,13.489%,29.817%,Upgrade,Financials in JPY,Fiscal year is April - March
