Fiscal Year,TTM,FY 2014,FY 2014,FY 2013,FY 2013,FY 2012,Currency,Fiscal_Year_period
Period Ending,"Sep '15 Sep 30, 2015","Dec '14 Dec 31, 2014","Feb '14 Feb 28, 2014","Dec '13 Dec 31, 2013","Feb '13 Feb 28, 2013","Feb '12 Feb 28, 2012",,
"Selling, General & Admin","1,293,400","664,645","16,174","18,911","1,842","10,734",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,293,400","664,645","16,174","18,911","1,842","10,734",Financials in USD,Fiscal year is January - December
Operating Income,"-1,293,400","-664,645","-16,174","-18,911","-1,842","-10,734",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-376,759","-7,517","-4,017",-,"-4,033","-4,008",Financials in USD,Fiscal year is January - December
Pretax Income,"-1,670,159","-672,162","-20,191","-18,911","-5,875","-14,742",Financials in USD,Fiscal year is January - December
Net Income,"-1,670,159","-672,162","-20,191","-18,911","-5,875","-14,742",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,670,159","-672,162","-20,191","-18,911","-5,875","-14,742",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,926,163","16,338,870","250,000","14,918,329","250,000","250,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,926,163","16,338,870","250,000","14,918,329","250,000","250,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),38.293%,6435.548%,-98.324%,5867.332%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.080,-0.041,-0.081,-0.001,-0.024,-0.059,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.080,-0.041,-0.081,-0.001,-0.024,-0.059,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-131,174","-72,250","-4,567",-209,"-6,907","-5,710",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.006,-0.004,-0.018,-0.000,-0.028,-0.023,Financials in USD,Fiscal year is January - December
EBIT,"-1,293,400","-664,645","-16,174","-18,911","-1,842","-10,734",Financials in USD,Fiscal year is January - December
