Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters,,
Operating Revenue,"1,457,000","2,238,000","1,485,000","1,485,000","1,550,000","1,532,000","2,981,500","2,981,500","2,261,000","12,642,000","3,086,000","3,086,000","2,146,000","2,145,500","2,164,500","2,164,500","2,271,000","1,836,500","3,594,000","1,297,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"1,457,000","2,238,000","1,485,000","1,485,000","1,550,000","1,532,000","2,981,500","2,981,500","2,261,000","12,642,000","3,086,000","3,086,000","2,146,000","2,145,500","2,164,500","2,164,500","2,271,000","1,836,500","3,594,000","1,297,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-6.000%,46.084%,-50.193%,-50.193%,-31.446%,-87.882%,-3.386%,-3.386%,5.359%,489.233%,42.573%,42.573%,-5.504%,16.825%,-39.775%,66.885%,-35.829%,-11.749%,125.896%,-27.542%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"333,000","386,500","360,500","360,500","444,000","461,000","584,000","584,000","555,000","407,500","363,500","363,500","349,000","316,500","646,000","646,000",-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"1,124,000","1,851,500","1,124,500","1,124,500","1,106,000","1,071,000","2,397,500","2,397,500","1,706,000","12,234,500","2,722,500","2,722,500","1,797,000","1,829,000","1,518,500","1,518,500","2,271,000","1,836,500","3,594,000","1,297,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","2,091,000","2,031,500","2,498,000","2,498,000","2,324,000","2,170,000","1,849,000","1,849,000","1,825,000","3,093,500","1,902,000","1,902,000","1,547,000","1,517,000","1,996,000","1,996,000","2,969,000","2,282,500","1,965,000","1,743,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"3,132,000","3,143,000","3,179,500","3,179,500","2,901,000","2,593,000","2,221,500","2,221,500","1,640,000","1,828,000","2,476,500","2,476,500","2,768,000","3,157,000","5,294,500","5,294,500","5,313,000","5,836,500","6,159,000","5,540,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-2,000","-3,000","-165,000","-165,000","-2,000","-5,500","-195,000","-195,000","-26,000","-18,000","-256,500","-256,500","-164,000","-85,500","1,544,500","1,544,500","-1,000","-1,000","-94,000","-6,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"5,221,000","5,171,500","5,512,500","5,512,500","5,223,000","4,757,500","3,875,500","3,875,500","3,439,000","4,903,500","4,122,000","4,122,000","4,151,000","4,588,500","8,835,000","8,835,000","8,281,000","8,118,000","8,030,000","7,277,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-4,097,000","-3,320,000","-4,388,000","-4,388,000","-4,117,000","-3,686,500","-1,478,000","-1,478,000","-1,733,000","7,331,000","-1,399,500","-1,399,500","-2,354,000","-2,759,500","-7,316,500","-7,316,500","-6,010,000","-6,281,500","-4,436,000","-5,980,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,-,-,"-272,000","-272,000",-,-,"-245,500","-245,500","-69,000","-71,500","-85,000","-85,000","-85,000","-87,000","-96,000","-96,000","-102,000","-103,500","-444,000","-90,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"110,000","55,500","66,000","66,000","3,000","1,500","14,500","14,500",-,-,"9,500","9,500",-,-,"12,500","12,500","35,000","19,000",-,"201,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-88,000","-93,500","136,000","136,000","-144,000","-151,000","15,500","15,500","-38,000","-24,000","-6,000","-6,000",-,"-1,000","29,500","29,500","15,000","-4,500","10,000","-15,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-6,000","-5,000","11,500","11,500","3,000","-13,500","-12,500","-12,500",-,-,"-15,000","-15,000",-,"15,000",-500,-500,-,-,"-438,000","181,000",Upgrade,Financials in EUR,Fiscal year is January - December
