Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2015,,
"Selling, General & Admin","3,386,014","4,912,867","4,966,415","2,576,414","2,043,633","1,589,407",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"4,033,471","5,558,548","5,530,487","2,702,754","2,150,386","1,684,133",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-4,033,471","-5,558,548","-5,530,487","-2,702,754","-2,150,386","-1,684,133",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,"-295,744","-315,991",-33,"-1,386,797","-33,239","-31,328",Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"47,980","85,344","10,599","17,958","3,365","14,191",Upgrade,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),"-907,298","-907,298","1,532,939",-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"99,943","85,237","213,126",Upgrade,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,188,533","-6,696,493","-3,986,982","-3,971,650","-2,095,023","-1,488,144",Upgrade,Financials in GBP,Fiscal year is January - December
Other Unusual Items,-,-,-,"-1,136,660",-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"-5,188,533","-6,696,493","-3,986,982","-5,108,310","-2,095,023","-1,488,144",Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-35,000",Upgrade,Financials in GBP,Fiscal year is January - December
Earnings From Continuing Operations,"-5,188,533","-6,696,493","-3,986,982","-5,108,310","-2,095,023","-1,453,144",Upgrade,Financials in GBP,Fiscal year is January - December
Minority Interest in Earnings,"6,126","5,815","7,668","9,082","12,803","2,517",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"-5,182,407","-6,690,678","-3,979,314","-5,099,228","-2,082,220","-1,450,627",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"-5,182,407","-6,690,678","-3,979,314","-5,099,228","-2,082,220","-1,450,627",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"3,052,814","2,822,842","2,449,373","1,934,880","1,037,083","901,799",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"3,052,814","2,822,842","2,449,373","1,934,880","1,037,083","901,799",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),20.744%,15.248%,26.590%,86.569%,15.002%,0.165%,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Basic),-1.698,-2.370,-1.625,-2.635,-2.008,-1.609,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-1.698,-2.370,-1.625,-2.635,-2.008,-1.609,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-5,018,139","-6,222,855","-3,339,549","-3,263,553","-1,971,451","-1,211,791",Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-1.644,-2.204,-1.363,-1.687,-1.901,-1.344,Upgrade,Financials in GBP,Fiscal year is January - December
EBITDA,"-3,801,035","-5,333,147","-5,440,520","-2,612,787","-2,080,527","-1,627,385",Upgrade,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"232,436","225,401","89,967","89,967","69,859","56,748",Upgrade,Financials in GBP,Fiscal year is January - December
EBIT,"-4,033,471","-5,558,548","-5,530,487","-2,702,754","-2,150,386","-1,684,133",Upgrade,Financials in GBP,Fiscal year is January - December
