Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",,
Other Revenue,"7,457,658","7,457,658","4,505,729","2,617,122",-,-,Financials in AUD,Fiscal year is July - June
Revenue,"7,457,658","7,457,658","4,505,729","2,617,122",-,-,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),65.515%,65.515%,72.164%,-,-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"7,457,658","7,457,658","4,505,729","2,617,122",-,-,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","8,999,368","8,999,368","11,733,007","7,904,654","8,965,981","153,619",Financials in AUD,Fiscal year is July - June
Research & Development,"11,148,002","11,148,002","14,432,338","6,115,990","3,778,382",-,Financials in AUD,Fiscal year is July - June
Operating Expenses,"20,719,196","20,719,196","29,487,199","17,189,699","14,846,690","153,619",Financials in AUD,Fiscal year is July - June
Operating Income,"-13,261,538","-13,261,538","-24,981,470","-14,572,577","-14,846,690","-153,619",Financials in AUD,Fiscal year is July - June
Interest Expense,"-331,811","-331,811","-773,845","-640,127","-9,581",-,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"121,315","121,315","27,565","12,977","2,646",-,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"55,674","55,674","-93,872","-532,888","-263,790",-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,"3,704",-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-13,416,360","-13,416,360","-25,821,622","-15,732,615","-15,113,711","-153,619",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,-994,-994,"-2,448","-2,065",-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"897,182","897,182",-,-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-12,520,172","-12,520,172","-25,824,070","-15,734,680","-15,113,711","-153,619",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"9,677","9,677","92,820","163,720",-,-,Financials in AUD,Fiscal year is July - June
Net Income,"-12,529,849","-12,529,849","-25,916,890","-15,898,400","-15,113,711","-153,619",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-12,529,849","-12,529,849","-25,916,890","-15,898,400","-15,113,711","-153,619",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"695,639,524","695,639,524","433,244,540","359,932,442","181,895,621",-,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"695,639,524","695,639,524","433,244,540","359,932,442","181,895,621",-,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),60.565%,60.565%,20.368%,97.879%,-,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.018,-0.018,-0.060,-0.044,-0.083,-,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.018,-0.018,-0.060,-0.044,-0.083,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-7,537,724","-7,537,724","-16,305,753","-13,165,180","-8,848,989","-81,617",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.011,-0.011,-0.038,-0.037,-0.049,-,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,Financials in AUD,Fiscal year is July - June
Operating Margin,-177.824%,-177.824%,-554.438%,-556.817%,-,-,Financials in AUD,Fiscal year is July - June
Profit Margin,-168.013%,-168.013%,-575.199%,-607.476%,-,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-101.074%,-101.074%,-361.889%,-503.040%,-,-,Financials in AUD,Fiscal year is July - June
EBITDA,"-12,179,475","-12,179,475","-24,016,119","-13,622,815","-13,999,730",-,Financials in AUD,Fiscal year is July - June
EBITDA Margin,-163.315%,-163.315%,-,-,-,-,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,082,063","1,082,063","965,351","949,762","846,960",-,Financials in AUD,Fiscal year is July - June
EBIT,"-13,261,538","-13,261,538","-24,981,470","-14,572,577","-14,846,690","-153,619",Financials in AUD,Fiscal year is July - June
EBIT Margin,-177.824%,-177.824%,-,-,-,-,Financials in AUD,Fiscal year is July - June
