Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017",+19 Quarters,,
Revenue,"142,394","258,628","561,321","536,261","442,178","16,880","34,930","62,681","53,195","82,958","81,819","142,315","229,371","208,580","114,810","114,414","90,276","28,435","19,010","6,880",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-67.797%,1432.156%,1506.988%,755.540%,731.240%,-79.652%,-57.308%,-55.956%,-76.808%,-60.227%,-28.735%,24.386%,154.077%,633.533%,503.945%,1562.994%,2984.250%,155.481%,222.586%,-21.182%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"58,200","38,599","510,262","466,399","378,491","3,301","25,180","48,741","37,170","39,187","34,205","88,697","90,843","29,139","39,878","38,203","28,437","4,164","10,446",195,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"84,194","220,029","51,059","69,862","63,687","13,579","9,750","13,940","16,025","43,771","47,614","53,618","138,528","179,441","74,932","76,211","61,839","24,271","8,564","6,685",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","916,853","931,079","826,803","937,656","950,261","899,439","771,376","659,875","482,763","380,972","432,025","2,366,328","761,455","1,082,015","886,991","2,093,119","728,254","861,886","301,479","2,220,810",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,245",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"976,961","1,143,188","886,853","1,552,292","1,483,351","1,039,701","792,667","3,010,227","607,137","919,006","439,771","3,686,040","763,151","1,479,110","989,037","2,089,773","729,778","863,411","302,872","2,221,984",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-892,767","-923,159","-835,794","-1,482,430","-1,419,664","-1,026,122","-782,917","-2,996,287","-591,112","-875,235","-392,157","-3,632,422","-624,623","-1,299,669","-914,105","-2,013,562","-667,939","-839,140","-294,308","-2,215,299",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-761,060","-1,370,366","-1,246,155","-1,760,185","-549,363","-891,783","-1,100,962","-539,106","-688,090","-881,945","-890,151","-1,680,275","-1,559,720","-1,005,970","-436,282","-3,325,329","-1,422,231","-1,350,633","-730,746","-3,013,187",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-2,009,254",-,-,"-735,178",-,"-394,194",-,-,"240,198","-7,048","-126,845","94,119","122,864","-171,284","-59,541","65,839","-107,982","-11,043","-37,673","313,702",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"735,178","-340,984",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-126,136","1,515,909","-1,026,929","455,531","1,177,610","696,729","-2,326,018","-4,385,441","-1,454,903","1,572,964","-430,692","24,692","-1,668,112","2,207,299","-2,687,449","-3,214,825","3,072,345","-3,470,957","5,056,686","-3,496,239",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,789,217","-777,616","-3,108,878","-2,787,084","-1,132,401","-1,615,370","-4,209,897","-7,920,834","-2,493,907","-191,264","-1,839,845","-5,193,886","-3,729,591","-269,624","-4,097,377","-8,487,877","874,193","-5,671,773","3,993,959","-8,411,023",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-2,020,982",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"6,086",-,"-543,200","-115,997","620,134","262,149","238,296","4,445","-281,947","-948,870","-387,323","-150,000","-135,000","-1,251,434","1,175,000","-296,761",-,"-2,292,500",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,"-1,497,674",-,-,"-6,000",-,"-1,676,870",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-148,324",-,"-187,500","-153,668","-88,990","-96,750","-68,227","-309,306","383,440",-,"3,490","-3,158,940","-612,034",-,-,-,"94,933",-,"156,839","347,221",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,937,541","-2,798,598","-3,290,292","-2,940,752","-1,764,591","-1,828,117","-3,657,990","-7,967,991","-1,872,171","-186,819","-2,118,302","-9,301,696","-6,226,622","-419,624","-4,232,377","-9,745,311","2,144,126","-7,645,404","4,150,798","-10,356,302",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,937,541","-2,798,598","-3,290,292","-2,940,752","-1,764,591","-1,828,117","-3,657,990","-7,967,991","-1,872,171","-186,819","-2,118,302","-9,301,696","-6,226,622","-419,624","-4,232,377","-9,745,311","2,144,126","-7,645,404","4,150,798","-10,356,302",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,937,541","-2,798,598","-3,290,292","-2,940,752","-1,764,591","-1,828,117","-3,657,990","-7,967,991","-1,872,171","-186,819","-2,118,302","-9,301,696","-6,226,622","-419,624","-4,232,377","-9,745,311","2,144,126","-7,645,404","4,150,798","-10,356,302",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"12,698,727,773","10,157,215,172","8,162,150,740","6,389,703,068","5,266,505,915","4,837,346,227","4,028,293,332","2,293,332,851","1,178,860,134","245,000,528","94,235,680","69,500,015","49,686,994","46,170,199","38,779,190","41,025,584","38,150,788","37,054,791","35,368,399","34,480,376",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"12,698,727,773","10,157,215,172","8,162,150,740","6,389,703,068","5,266,505,915","4,837,346,227","4,028,293,332","2,293,332,851","1,178,860,134","245,000,528","94,235,680","69,500,015","49,686,994","46,170,199","38,779,190","41,025,584","38,150,788","37,054,791","35,368,399","34,480,376",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),141.122%,109.975%,102.621%,178.621%,346.746%,1874.423%,4174.701%,3199.759%,2272.573%,430.646%,143.006%,69.407%,30.238%,24.600%,9.644%,18.982%,15.050%,12.153%,26.549%,33.137%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.003,-0.002,-0.001,-0.022,-0.134,-0.125,-0.009,-0.109,-0.238,0.056,-0.206,0.117,-0.300,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.003,-0.002,-0.001,-0.022,-0.134,-0.125,-0.009,-0.109,-0.238,0.056,-0.206,0.117,-0.300,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-121,611","-958,483","-679,807","-1,295,178","-865,661","-985,184","-964,390","-466,337","-593,353","-71,762","-598,514","-931,956","-453,415","-1,223,862","-209,430","-2,049,965","24,353","-540,540","-501,452","-370,331",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.006,-0.013,-0.009,-0.027,-0.005,-0.050,0.001,-0.015,-0.014,-0.011,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,59.127%,85.075%,9.096%,13.028%,14.403%,80.444%,27.913%,22.239%,30.125%,52.763%,58.194%,37.675%,60.395%,86.030%,65.266%,66.610%,68.500%,85.356%,45.050%,97.166%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-626.970%,-356.945%,-148.898%,-276.438%,-321.062%,-6078.922%,-2241.388%,-4780.216%,-1111.217%,-1055.034%,-479.298%,-2552.382%,-272.320%,-623.103%,-796.189%,-1759.891%,-739.885%,-2951.081%,-1548.175%,-32199.113%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2765.244%,-1082.094%,-586.169%,-548.381%,-399.068%,-10830.077%,-10472.345%,-12711.972%,-3519.449%,-225.197%,-2589.010%,-6535.991%,-2714.651%,-201.181%,-3686.418%,-8517.586%,2375.079%,-26887.301%,21834.813%,-150527.645%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-85.405%,-370.603%,-121.108%,-241.520%,-195.772%,-5836.398%,-2760.922%,-743.985%,-1115.430%,-86.504%,-731.510%,-654.854%,-197.678%,-586.759%,-182.414%,-1791.708%,26.976%,-1900.967%,-2637.833%,-5382.718%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-841,659","-872,050","-784,744","-1,386,849","-1,416,564","-1,024,860","-781,526","-2,995,056","-589,738","-873,653","-390,411","-3,630,210","-622,927","-1,297,974","-912,409","-2,012,663","-666,415","-837,615","-292,915","-2,214,125",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-139.803%,-258.615%,-,-,-,-,-,-,-,-,-271.580%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"51,108","51,109","51,050","95,581","3,100","1,262","1,391","1,231","1,374","1,582","1,746","2,212","1,696","1,695","1,696",899,"1,524","1,525","1,393","1,174",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-892,767","-923,159","-835,794","-1,482,430","-1,419,664","-1,026,122","-782,917","-2,996,287","-591,112","-875,235","-392,157","-3,632,422","-624,623","-1,299,669","-914,105","-2,013,562","-667,939","-839,140","-294,308","-2,215,299",Upgrade,Financials in USD,Fiscal year is January - December
