Fiscal Quarter,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 30, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Sep '07 Sep 30, 2007","Jun '07 Jun 30, 2007","Mar '07 Mar 31, 2007","Dec '06 Dec 31, 2006",+20 Quarters,,
"Selling, General & Admin","2,861,000","3,396,000","2,899,000","4,681,000","5,060,000","3,888,000","4,799,000","5,168,000","4,205,500","3,777,000","3,393,500","5,621,000","3,383,000","3,723,000","4,183,000","4,856,000","2,806,000","3,378,000","2,400,000","2,803,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"287,000","442,000","333,000","-1,183,000","891,000","2,088,000","4,891,000","5,795,000","6,125,000","5,311,000","6,744,500","7,736,000","9,024,000","9,151,000","6,336,000","5,656,000","5,050,000","5,812,000","5,500,000","3,263,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,148,000","3,838,000","3,232,000","3,498,000","5,951,000","5,976,000","9,690,000","10,963,000","10,330,500","9,088,000","10,138,000","13,357,000","12,407,000","12,874,000","10,519,000","10,512,000","7,856,000","9,190,000","7,900,000","6,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,148,000","-3,838,000","-3,232,000","-3,498,000","-5,951,000","-5,976,000","-9,690,000","-10,963,000","-10,330,500","-9,088,000","-10,138,000","-13,357,000","-12,407,000","-12,874,000","-10,519,000","-10,512,000","-7,856,000","-9,190,000","-7,900,000","-6,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-23,000","-23,000","-24,000","-466,000","-516,000","-594,000","-634,000","-730,000","-1,571,500","-796,000",-,"-876,000","-329,000","-331,000",-,"-3,062,000","-422,000","-444,000","-466,000","-336,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"3,000","2,000","14,000","18,000","24,000","61,000","10,000","203,000","164,000",-,"291,000","499,000","674,000",-,"1,332,000","1,319,000","1,106,000","637,000","684,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,"669,000",-,"-669,000",-,-,-,"664,000","2,571,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,171,000","-3,858,000","-3,254,000","-3,950,000","-6,449,000","-6,546,000","-10,263,000","-11,683,000","-11,030,000","-9,720,000","-10,807,000","-13,942,000","-12,237,000","-12,531,000","-9,855,000","-9,671,000","-6,959,000","-8,528,000","-7,729,000","-5,718,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-1,626,000","588,000","294,000",-,"-528,000",-,-,-,-,-,-,-,-,"-403,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"8,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"105,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-2,073,000","-1,036,500",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,"-600,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-1,217,000",-,-,-,-,"250,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,771,000","-3,858,000","-3,246,000","-5,167,000","-6,449,000","-6,546,000","-11,889,000","-13,168,000","-11,522,500","-9,720,000","-11,335,000","-13,942,000","-12,237,000","-12,531,000","-9,855,000","-9,566,000","-6,959,000","-8,528,000","-7,729,000","-6,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,771,000","-3,858,000","-3,246,000","-5,167,000","-6,449,000","-6,546,000","-11,889,000","-13,168,000","-11,522,500","-9,720,000","-11,335,000","-13,942,000","-12,237,000","-12,531,000","-9,855,000","-9,566,000","-6,959,000","-8,528,000","-7,729,000","-6,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,771,000","-3,858,000","-3,246,000","-5,167,000","-6,449,000","-6,546,000","-11,889,000","-13,168,000","-11,522,500","-9,720,000","-11,335,000","-13,942,000","-12,237,000","-12,531,000","-9,855,000","-9,566,000","-6,959,000","-8,528,000","-7,729,000","-6,121,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"48,000","48,000","48,000","48,000","48,000","48,000","592,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000","125,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,819,000","-3,906,000","-3,294,000","-5,215,000","-6,497,000","-6,594,000","-12,481,000","-13,293,000","-11,647,500","-9,845,000","-11,460,000","-14,067,000","-12,362,000","-12,656,000","-9,980,000","-9,691,000","-7,084,000","-8,653,000","-7,854,000","-6,246,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,498,350","1,488,700","1,352,200","1,208,775","1,205,925","1,188,125","1,081,350","922,475","1,741,913","867,800","21,687","867,200","867,200","867,200","867,025","866,500","866,425","768,775","570,200","570,200",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,498,350","1,488,700","1,352,200","1,208,775","1,205,925","1,188,125","1,081,350","922,475","1,741,913","867,800","21,687","867,200","867,200","867,200","867,025","866,500","866,425","768,775","570,200","570,200",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.249%,25.298%,25.047%,31.036%,-30.770%,36.912%,4886.167%,6.374%,100.866%,0.069%,-97.499%,0.081%,0.089%,12.803%,52.056%,51.964%,51.971%,71.563%,298.672%,298.878%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.549,-2.624,-2.436,-4.314,-5.388,-5.550,-11.542,-14.410,-6.687,-11.345,-528.427,-16.221,-14.255,-14.594,-11.511,-11.184,-8.176,-11.256,-13.774,-10.954,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.549,-2.624,-2.436,-4.314,-5.388,-5.600,-11.600,-14.410,-6.687,-11.345,-528.427,-16.221,-14.255,-14.594,-11.511,-11.184,-8.176,-11.256,-13.774,-10.954,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,708,000","-1,684,000","-2,028,000","-5,046,000","-3,878,000","-7,015,000","-8,344,000","-8,485,000",-,"-7,746,000",-,"-9,295,000","-9,191,000","-8,206,000","-7,186,000","-6,421,000","-5,584,000","-6,435,000","-6,986,000","-4,796,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.140,-1.131,-1.500,-4.174,-3.216,-5.904,-7.716,-9.198,-,-8.926,-,-10.718,-10.598,-9.463,-8.288,-7.410,-6.445,-8.370,-12.252,-8.411,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,837,000","-3,521,000","-2,909,000","-3,174,000","-5,624,000","-5,648,000","-9,356,000","-10,619,000",-,"-8,723,000",-,"-12,947,000","-12,004,000","-12,477,000","-10,126,000","-10,116,000","-7,458,000","-8,815,000","-7,543,000","-5,710,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"311,000","317,000","323,000","324,000","327,000","328,000","334,000","344,000",-,"365,000",-,"410,000","403,000","397,000","393,000","396,000","398,000","375,000","357,000","356,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,148,000","-3,838,000","-3,232,000","-3,498,000","-5,951,000","-5,976,000","-9,690,000","-10,963,000","-10,330,500","-9,088,000","-10,138,000","-13,357,000","-12,407,000","-12,874,000","-10,519,000","-10,512,000","-7,856,000","-9,190,000","-7,900,000","-6,066,000",Upgrade,Financials in USD,Fiscal year is January - December
