Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,"675,000","867,000","2,011,000",-,"311,000","427,000","692,000",-,"42,000","574,000","15,055,000","26,329,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,117.042%,103.044%,190.607%,-,640.476%,-25.610%,-95.404%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,306,000","6,074,000","5,355,000","4,881,000","6,609,000","6,650,000","6,632,000","6,919,000","3,112,000","6,394,000","5,022,000","4,072,000","4,468,000","4,601,000","6,780,000","4,826,000","5,625,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-5,306,000","-6,074,000","-5,355,000","-4,881,000","-6,609,000","-5,975,000","-5,765,000","-4,908,000","-3,112,000","-6,083,000","-4,595,000","-3,380,000","-4,468,000","-4,559,000","-6,206,000","10,229,000","20,704,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,090,000","2,524,000","2,500,000","2,974,000","2,927,000","2,748,000","3,486,000","2,973,000","3,436,000","6,319,000","4,119,000","1,664,000","1,269,000","1,060,000","1,063,000","1,125,000","1,101,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,090,000","2,524,000","2,500,000","2,974,000","2,927,000","2,748,000","3,486,000","2,973,000","3,436,000","6,319,000","4,119,000","1,664,000","1,269,000","1,060,000","1,063,000","1,125,000","1,101,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,396,000","-8,598,000","-7,855,000","-7,855,000","-9,536,000","-8,723,000","-9,251,000","-7,881,000","-6,548,000","-12,402,000","-8,714,000","-5,044,000","-5,737,000","-5,619,000","-7,269,000","9,104,000","19,603,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-749,000","-758,000","-750,000","-722,000","-689,000","-697,000","-570,000","-505,000","-478,000","-490,000","-488,000","-480,000","-306,000","-314,000","-342,000","-339,000","-338,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"323,000","223,000","296,000","227,000","226,000","209,000","142,000","64,000","24,000","4,000","1,000","1,000","1,000","2,000","3,000","15,000","47,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-12,000","3,000",-,"-14,000","-15,000","-49,000","38,000","123,000","-686,000","817,000","290,000","-25,000","-540,000","77,000","4,000","-61,000","-11,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,834,000","-9,130,000","-8,309,000","-8,364,000","-10,014,000","-9,260,000","-9,641,000","-8,199,000","-7,688,000","-12,071,000","-8,911,000","-5,548,000","-6,582,000","-5,854,000","-7,604,000","8,719,000","19,301,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"6,000",-,-,-,"82,000","1,284,000","10,757,000","31,120,000","17,790,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,834,000","-9,130,000","-8,303,000","-8,364,000","-10,014,000","-9,260,000","-9,559,000","-6,915,000","3,069,000","19,049,000","8,879,000","-5,548,000","-6,582,000","-5,854,000","-7,604,000","8,719,000","19,301,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,000","126,000","220,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-8,834,000","-9,130,000","-8,303,000","-8,364,000","-10,014,000","-9,260,000","-9,559,000","-6,915,000","3,069,000","19,049,000","8,879,000","-5,548,000","-6,582,000","-5,854,000","-7,609,000","8,593,000","19,081,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,"-14,045,000",-,"18,345,000","-18,345,000",Financials in USD,Fiscal year is January - December
Net Income,"-8,834,000","-9,130,000","-8,303,000","-8,364,000","-10,014,000","-9,260,000","-9,559,000","-6,915,000","3,069,000","19,049,000","8,879,000","-5,548,000","-6,582,000","-19,899,000","-7,609,000","26,938,000","736,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"-19,502,000",-,"19,502,000",-,Financials in USD,Fiscal year is January - December
