Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"9,798,000","10,350,000","9,771,000","9,131,000","8,505,000","9,583,000","5,843,000","5,616,000","7,262,000","4,362,000","4,877,000","5,743,000","5,401,000","5,072,000","5,495,000","6,058,000","4,947,000","13,918,000","11,089,000","32,444,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),15.203%,8.004%,67.226%,62.589%,17.116%,119.693%,19.807%,-2.211%,34.457%,-13.998%,-11.247%,-5.200%,9.177%,-63.558%,-50.446%,-81.328%,-88.598%,-55.777%,-49.481%,218.141%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"6,691,000","6,816,000","6,557,000","4,491,000","6,208,000","8,765,000","5,111,000","5,492,000","8,452,000","4,938,000","5,344,000","9,233,000","7,315,000","12,296,000","6,263,000","24,838,000","15,590,000","11,919,000","22,529,000","23,290,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"3,107,000","3,534,000","3,214,000","4,640,000","2,297,000","818,000","732,000","124,000","-1,190,000","-576,000","-467,000","-3,490,000","-1,914,000","-7,224,000","-768,000","-18,780,000","-10,643,000","1,999,000","-11,440,000","9,154,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","5,455,000","5,862,000","5,905,000","2,328,000","6,255,000","8,014,000","3,592,000","5,184,000","5,194,000","6,807,000","7,016,000","12,456,000","5,820,000","6,788,000","6,000,000","3,790,000","6,482,000","9,044,000","8,494,000","11,058,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"134,000","50,000","72,000","136,000","61,000","53,000","36,000","204,000","250,000","337,000","339,000","581,000","314,000","181,000","423,000","616,000","206,000","341,000","1,050,000","447,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Operating Expenses,"247,000","42,000","-186,000","-1,272,000","672,000","205,000","11,000","-1,348,000","-552,000","16,000","18,000","-3,243,000","637,000","-3,882,000","92,000","3,777,000","-833,000","-1,805,000","836,000","-742,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"5,836,000","5,954,000","5,793,000","1,192,000","6,988,000","8,272,000","3,639,000","4,040,000","5,053,000","7,159,000","7,374,000","9,794,000","6,772,000","2,922,000","6,515,000","8,183,000","5,855,000","7,580,000","10,380,000","10,764,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-2,729,000","-2,420,000","-2,579,000","3,448,000","-4,691,000","-7,454,000","-2,907,000","-3,916,000","-6,243,000","-7,735,000","-7,841,000","-13,284,000","-8,686,000","-10,146,000","-7,283,000","-26,963,000","-16,498,000","-5,581,000","-21,820,000","-1,610,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-235,000","-210,000","-110,000","-101,000","-149,000","-110,000","-5,000","-10,000","-16,000","-3,000","-2,000",-,"-236,000","-564,000","-9,729,000","-4,678,000","-2,380,000","-587,000","-230,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"169,000","200,000","224,000","227,000","174,000","189,000","250,000","215,000","132,000","84,000","48,000","100,000","52,000","39,000","57,000","47,000","56,000","34,000","136,000","338,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"21,000","9,000","-19,000","-1,028,000","358,000","-175,000","-39,000","-1,433,000","-327,000","-1,334,000","316,000","-3,300,000","334,000","-668,000","-632,000","1,918,000","-249,000","1,074,000","-115,000","-413,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"1,000","1,000","306,000","154,000","329,000","3,720,000","3,144,000","3,649,000","1,285,000",-,"-237,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,774,000","-2,421,000","-2,484,000","2,546,000","-4,308,000","-7,550,000","-2,701,000","-5,144,000","-6,454,000","-8,987,000","-7,478,000","-16,178,000","-8,382,000","-11,010,000","-13,867,000","-26,532,000","-15,422,000","-3,775,000","-22,029,000","-1,922,000",Upgrade,Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-162,000","-1,127,000","-5,306,000",-,-,"-387,000","-1,037,000",-,-,-,-,-,-,-,"-1,253,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-77,000",-,-,-,"-913,000",-,-,-,-,-,-,-,-,-,-,-,"-480,000",Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-223,000","-22,000",-,-,"1,476,000","-1,476,000",-,-,"-5,723,000",-,"-566,000",-,"-7,598,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-178,000",-,"4,669,000",-,"3,000",-,-,"21,000","142,000","896,000",-,-,"4,507,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-2,774,000","-2,583,000","-3,611,000","-3,238,000","-4,330,000","-2,881,000","-3,088,000","-5,615,000","-7,930,000","-8,987,000","-7,457,000","-21,759,000","-7,486,000","-11,576,000","-13,867,000","-30,876,000","-15,422,000","-3,775,000","-22,029,000","-2,402,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-273,000","-3,000",-,-,"-6,000",-,-,-,"7,000","-130,000","236,000",-,"75,000","-114,000","-285,000","-4,666,000","1,136,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,774,000","-2,583,000","-3,611,000","-2,965,000","-4,327,000","-2,881,000","-3,088,000","-5,609,000","-7,930,000","-8,987,000","-7,457,000","-21,766,000","-7,356,000","-11,812,000","-13,867,000","-30,951,000","-15,308,000","-3,490,000","-17,363,000","-3,538,000",Upgrade,Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"346,000","136,000","275,000","318,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-2,774,000","-2,583,000","-3,611,000","-2,965,000","-4,327,000","-2,881,000","-3,088,000","-5,609,000","-7,930,000","-8,987,000","-7,457,000","-21,766,000","-7,356,000","-11,812,000","-13,867,000","-30,951,000","-14,962,000","-3,354,000","-17,088,000","-3,220,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-2,774,000","-2,583,000","-3,611,000","-2,965,000","-4,327,000","-2,881,000","-3,088,000","-5,609,000","-7,930,000","-8,987,000","-7,457,000","-21,766,000","-7,356,000","-11,812,000","-13,867,000","-30,951,000","-14,962,000","-3,354,000","-17,088,000","-3,220,000",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"411,070,282","404,780,792","403,684,925","441,495,810","398,523,941","388,229,366","276,861,109","294,977,770","264,333,333","299,566,666","248,566,666","291,734,361","245,200,000","236,240,000","198,100,000","145,712,442","136,018,181","167,700,000","131,446,153","115,131,768",Upgrade,Financials in CAD,Fiscal year is January - December
