Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"76,760","76,761","76,761","76,761","76,762","69,667",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-0.001%,0%,0%,-0.001%,10.184%,22.974%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"6,638","4,921","65,107","81,043",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"76,760","76,761","70,123","71,840","11,655","-11,376",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,439,822","1,478,752","1,398,634","1,366,383","1,273,536","1,311,993",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,439,822","1,478,752","1,398,634","1,366,383","1,273,536","1,311,993",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,363,062","-1,401,991","-1,328,511","-1,294,543","-1,261,881","-1,323,369",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-325,647","-325,647","-324,878","-232,631","-153,410","-87,280",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,119,183,234,"3,806","11,044",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-582,904",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,688,590","-1,727,455","-1,653,155","-1,523,368","-1,404,247","-1,993,553",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"55,400",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,688,590","-1,727,455","-1,597,755","-1,523,368","-1,404,247","-1,993,553",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,688,590","-1,727,455","-1,597,755","-1,523,368","-1,404,247","-1,993,553",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"82,566",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,688,590","-1,727,455","-1,597,755","-1,523,368","-1,486,813","-1,993,553",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,435,497","1,435,497","1,385,927","1,333,572","1,309,708","1,207,163",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,435,497","1,435,497","1,385,927","1,333,572","1,309,708","1,207,163",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.736%,3.577%,3.926%,1.822%,8.495%,-0.176%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.176,-1.203,-1.153,-1.142,-1.135,-1.651,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.176,-1.203,-1.153,-1.142,-1.135,-2.000,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-823,747","-940,718","-990,296","-1,006,929","-1,137,970","-888,294",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.574,-0.655,-0.715,-0.755,-0.869,-0.736,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,91.352%,93.589%,15.183%,-16.329%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1775.745%,-1826.437%,-1730.711%,-1686.459%,-1643.888%,-1899.564%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2199.831%,-2250.433%,-2081.467%,-1984.560%,-1936.913%,-2861.546%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1073.146%,-1225.516%,-1290.103%,-1311.772%,-1482.465%,-1275.057%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-1,293,125","-1,260,463","-1,320,616",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"1,418","1,418","2,753",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,363,062","-1,401,991","-1,328,511","-1,294,543","-1,261,881","-1,323,369",Upgrade,Financials in USD,Fiscal year is January - December
