Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Operating Revenue,"456,533,000","463,842,000","481,363,000","243,718,000","1,038,832,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Revenue,"456,533,000","463,842,000","481,363,000","243,718,000","1,038,832,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-5.101%,-3.640%,97.508%,-76.539%,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"133,646,000","159,547,000","202,985,000","106,832,000","241,421,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"322,887,000","304,295,000","278,378,000","136,886,000","797,411,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","270,870,000","382,063,000","576,363,000","661,384,000","484,658,000","341,476,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"407,277,000","527,799,000","614,162,000","1,304,945,000","1,404,684,000","1,395,624,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"678,147,000","909,862,000","1,190,525,000","1,966,329,000","1,889,342,000","1,737,100,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-355,260,000","-605,567,000","-912,147,000","-1,829,443,000","-1,091,931,000","-1,737,100,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-14,294,000","-11,819,000","-8,477,000","-2,242,000","-1,320,000","-303,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"16,938,000","24,886,000","9,672,000","9,803,000","24,161,000","67,287,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,018,000","20,360,000","61,492,000","-69,130,000","-181,836,000","110,723,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"22,549,000","25,714,000","8,711,000","36,017,000","27,510,000","-757,427,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-331,085,000","-546,426,000","-840,749,000","-1,854,995,000","-1,223,416,000","-2,316,820,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,545,000","301,000","-61,929,000","-64,204,000","2,417,000","8,480,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"179,231,000","178,891,000",-,"-901,000",-,"-104,000",Upgrade,Financials in CNY,Fiscal year is January - December
