Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"2,496,200,000","2,324,600,000","1,829,500,000","770,441,000","239,946,000","126,769,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Revenue,"8,000,000","13,700,000","13,900,000","2,767,000","349,000","105,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue,"2,504,200,000","2,338,300,000","1,843,400,000","773,208,000","240,295,000","126,874,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),13.399%,26.847%,138.409%,221.774%,89.397%,27.654%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"1,055,300,000","1,037,300,000","778,100,000","341,274,000","92,936,000","33,823,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"1,448,900,000","1,301,000,000","1,065,300,000","431,934,000","147,359,000","93,051,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","898,200,000","802,500,000","639,700,000","258,931,000","87,392,000","53,520,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"2,900,000","2,700,000","9,000,000",-,-,"-541,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"1,214,400,000","1,115,000,000","917,800,000","331,754,000","100,847,000","56,131,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"234,500,000","186,000,000","147,500,000","100,180,000","46,512,000","36,920,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,"-89,600,000","-93,400,000","-40,600,000","-9,009,000","-1,696,000","-224,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"5,400,000","1,800,000","300,000",-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Earnings From Equity Investments,"-600,000","100,000","-200,000",-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,800,000","-1,800,000","11,500,000","9,144,000","-5,091,000",-,Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,200,000","-1,400,000","-2,500,000",-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"146,700,000","91,300,000","116,000,000","100,315,000","39,725,000","36,696,000",Upgrade,Financials in SEK,Fiscal year is January - December
Merger & Restructuring Charges,"-9,700,000","-500,000","-35,800,000","-43,295,000",-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Asset Writedown,-,-,"-100,000","-119,000","-6,000","-6,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Unusual Items,-,"-9,700,000",-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Pretax Income,"137,000,000","81,100,000","80,100,000","56,901,000","39,719,000","36,690,000",Upgrade,Financials in SEK,Fiscal year is January - December
Income Tax Expense,"74,900,000","22,500,000","-14,400,000","2,279,000","6,365,000","6,777,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income,"62,100,000","58,600,000","94,500,000","54,622,000","33,354,000","29,913,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income to Common,"62,100,000","58,600,000","94,500,000","54,622,000","33,354,000","29,913,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income Growth,-28.947%,-37.989%,73.007%,63.764%,11.503%,28.272%,Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Basic),"158,731,900","158,731,900","155,346,212","111,951,297","86,791,515","78,892,310",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Diluted),"158,731,900","158,731,900","155,346,212","111,951,297","86,791,515","78,892,310",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Change (YoY),0.027%,2.179%,38.762%,28.989%,10.013%,0.050%,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Basic),0.391,0.369,0.608,0.488,0.384,0.379,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Diluted),0.390,0.369,0.608,0.488,0.384,0.379,Upgrade,Financials in SEK,Fiscal year is January - December
EPS Growth,-29.189%,-39.312%,24.679%,26.960%,1.355%,28.208%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow,"366,200,000","410,100,000","185,500,000","100,258,000","35,525,000","28,015,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,2.307,2.584,1.194,0.896,0.409,0.355,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Per Share,0.230,0.230,0.220,0.200,0.160,0.140,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Growth,4.545%,4.545%,10.000%,25.000%,14.286%,-,Upgrade,Financials in SEK,Fiscal year is January - December
Gross Margin,57.859%,55.639%,57.790%,55.862%,61.324%,73.341%,Upgrade,Financials in SEK,Fiscal year is January - December
Operating Margin,9.364%,7.954%,8.002%,12.956%,19.356%,29.100%,Upgrade,Financials in SEK,Fiscal year is January - December
Profit Margin,2.480%,2.506%,5.126%,7.064%,13.880%,23.577%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Margin,14.623%,17.538%,10.063%,12.966%,14.784%,22.081%,Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA,"508,600,000","456,900,000","383,800,000","162,708,000","56,665,000","40,072,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA Margin,20.310%,19.540%,20.820%,21.043%,23.581%,31.584%,Upgrade,Financials in SEK,Fiscal year is January - December
D&A For EBITDA,"274,100,000","270,900,000","236,300,000","62,528,000","10,153,000","3,152,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT,"234,500,000","186,000,000","147,500,000","100,180,000","46,512,000","36,920,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT Margin,9.364%,7.954%,8.002%,12.956%,19.356%,29.100%,Upgrade,Financials in SEK,Fiscal year is January - December
Effective Tax Rate,54.672%,27.743%,-,4.005%,16.025%,18.471%,Upgrade,Financials in SEK,Fiscal year is January - December
Revenue as Reported,"2,504,200,000","2,338,300,000","1,843,400,000","773,208,000","240,295,000","126,874,000",Upgrade,Financials in SEK,Fiscal year is January - December
