Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2016,,
Revenue,"10,090,000","56,596,000","54,090,000","76,876,000","35,001,000","173,443,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),-83.824%,4.633%,-29.640%,119.639%,-79.820%,4.280%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"22,720,000","30,606,000","78,782,000","37,703,000","73,813,000","49,160,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"-12,630,000","25,990,000","-24,692,000","39,173,000","-38,812,000","124,283,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","130,684,000","116,020,000","52,184,000","50,819,000","69,201,000","149,462,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"256,905,000","216,781,000","267,102,000","213,320,000","109,099,000","125,962,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"1,832,000","2,135,000","4,639,000","5,503,000","31,809,000","58,328,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"389,421,000","334,936,000","323,925,000","269,642,000","210,109,000","333,752,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-402,051,000","-308,946,000","-348,617,000","-230,469,000","-248,921,000","-209,469,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-186,000","-144,000","-157,000","-125,000","-135,000","-182,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"107,056,000","107,665,000","47,484,000","24,990,000","40,916,000","72,239,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Equity Investments,"-18,249,000","-20,275,000","-22,894,000","-17,875,000","-13,753,000","-11,523,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"-5,828,000","9,699,000","60,182,000","-16,439,000","-30,425,000","4,485,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,566,000","6,699,000","4,350,000","40,901,000","48,940,000","49,869,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-304,692,000","-205,302,000","-259,652,000","-199,017,000","-203,378,000","-94,581,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"46,218,000","60,587,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-92,000","-1,388,000",Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,-,-,"-55,191,000",-,"-5,771,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"-258,474,000","-144,715,000","-314,843,000","-199,017,000","-209,241,000","-95,969,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-258,474,000","-144,715,000","-314,843,000","-199,017,000","-209,241,000","-95,969,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-258,474,000","-144,715,000","-314,843,000","-199,017,000","-209,241,000","-95,969,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-258,474,000","-144,715,000","-314,843,000","-199,017,000","-209,241,000","-95,969,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"1,038,847,460","1,074,103,460","1,087,029,890","1,097,608,054","1,040,055,731","1,054,545,974",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"1,038,847,460","1,074,103,460","1,087,029,890","1,097,608,054","1,040,055,731","1,054,545,974",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-4.432%,-1.189%,-0.964%,5.534%,-1.374%,21.345%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.249,-0.135,-0.290,-0.181,-0.201,-0.091,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.249,-0.135,-0.290,-0.181,-0.201,-0.091,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-285,831,000","-150,375,000","-209,534,000","-151,898,000","-89,833,000","-93,226,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.275,-0.140,-0.193,-0.138,-0.086,-0.088,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,-125.173%,45.922%,-45.650%,50.956%,-110.888%,71.656%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-3984.648%,-545.880%,-644.513%,-299.793%,-711.183%,-120.771%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-2561.685%,-255.698%,-582.072%,-258.881%,-597.814%,-55.332%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-2832.815%,-265.699%,-387.380%,-197.588%,-256.658%,-53.750%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-387,563,000","-294,894,000","-322,487,000","-204,834,000","-225,361,000","-189,739,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-,-,-,-266.447%,-,-109.395%,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"14,488,000","14,052,000","26,130,000","25,635,000","23,560,000","19,730,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-402,051,000","-308,946,000","-348,617,000","-230,469,000","-248,921,000","-209,469,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,-,-,-,-299.793%,-,-120.771%,Upgrade,Financials in CNY,Fiscal year is January - December
