Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+1 Quarters,,
"Selling, General & Admin","527,207","172,156","133,693","201,277","152,374","141,984","180,056","157,047","93,403","111,181","67,126","47,463","72,417","89,221","231,615","270,411","249,633","370,356","151,342","163,595",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,"3,267","2,000","10,000",-,"3,097",-,"10,000","10,455",-,"4,936","2,307","8,132",-,-,"94,048",-1,"98,984",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"527,207","175,423","135,693","211,277","152,374","145,081","180,056","167,047","103,858","111,181","72,062","49,770","80,549","89,221","231,615","364,459","249,632","469,340","151,342","163,595",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-527,207","-175,423","-135,693","-211,277","-152,374","-145,081","-180,056","-167,047","-103,858","-111,181","-72,062","-49,770","-80,549","-89,221","-231,615","-364,459","-249,632","-469,340","-151,342","-163,595",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-124,474","-9,954",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"56,878","-54,963",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-594,803","-240,340","-135,693","-211,277","-152,374","-145,081","-180,056","-167,047","-103,858","-111,181","-72,062","-49,770","-80,549","-89,221","-231,615","-364,459","-249,632","-469,340","-151,342","-163,595",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"100,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-340,231",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
