Fiscal Quarter,Q2 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+18 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+18 Quarters,,
Operating Revenue,"-609,795","3,803,000","3,209,000","4,393,000","4,118,000","2,696,000","4,024,000","3,341,000","2,673,000","3,360,000","3,039,000","2,097,000","3,646,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,"250,000",-,-,-,"750,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"-609,795","3,803,000","3,209,000","4,643,000","4,118,000","2,696,000","4,024,000","4,091,000","2,673,000","3,360,000","3,039,000","2,097,000","3,646,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,41.061%,-20.253%,13.493%,54.059%,-19.762%,32.412%,95.088%,-26.687%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,906,449","101,000","115,000","-310,000","118,000","345,000","1,231,000","151,000","110,000","104,000","318,000","270,000","53,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-3,516,244","3,702,000","3,094,000","4,953,000","4,000,000","2,351,000","2,793,000","3,940,000","2,563,000","3,256,000","2,721,000","1,827,000","3,593,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,393,612","4,702,000","5,454,000","5,533,000","9,515,000","8,301,000","6,964,000","7,027,000","6,813,000","5,984,000","6,466,000","5,886,000","5,564,000","5,418,000","5,027,000","4,873,000","5,241,000","4,584,000","4,247,000","4,225,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"409,952","11,614,000","14,568,000","19,401,000","16,748,000","18,521,000","22,198,000","16,993,000","17,570,000","18,186,000","18,106,000","14,302,000","13,842,000","12,545,000","9,810,000","9,754,000","9,481,000","11,928,000","14,059,000","12,936,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"256,341",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
