Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Operating Revenue,"172,931,000","173,856,000","145,702,000","30,797,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Revenue,-,-,-,-,-,"5,483,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue,"172,931,000","173,856,000","145,702,000","30,797,000",-,"5,483,000",Upgrade,Financials in CNY,Fiscal year is January - December
Revenue Growth (YoY),3.282%,19.323%,373.105%,-,-,2450.233%,Upgrade,Financials in CNY,Fiscal year is January - December
Cost of Revenue,"85,780,000","85,637,000","86,946,000","21,752,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Profit,"87,151,000","88,219,000","58,756,000","9,045,000",-,"5,483,000",Upgrade,Financials in CNY,Fiscal year is January - December
"Selling, General & Admin","249,787,000","253,244,000","370,640,000","372,250,000","244,562,000","72,892,000",Upgrade,Financials in CNY,Fiscal year is January - December
Research & Development,"348,093,000","413,616,000","407,818,000","414,397,000","225,215,000","136,107,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Operating Expenses,"-8,599,000","-8,495,000","-22,527,000","-5,886,000","-1,917,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Expenses,"589,281,000","658,365,000","755,931,000","780,761,000","467,860,000","208,999,000",Upgrade,Financials in CNY,Fiscal year is January - December
Operating Income,"-502,130,000","-570,146,000","-697,175,000","-771,716,000","-467,860,000","-203,516,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest Expense,"-12,885,000","-12,415,000","-6,787,000","-2,692,000","-770,000","-1,351,000",Upgrade,Financials in CNY,Fiscal year is January - December
Interest & Investment Income,"32,237,000","34,026,000","16,535,000","8,296,000","3,441,000","1,820,000",Upgrade,Financials in CNY,Fiscal year is January - December
Currency Exchange Gain (Loss),"37,067,000","-37,324,000","-158,540,000","14,842,000","28,903,000","-1,086,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"51,151,000","-34,839,000","-429,124,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"-445,711,000","-585,859,000","-845,967,000","-700,119,000","-471,125,000","-633,257,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-929,000","-929,000","-168,000","-120,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,"-181,208,000","-181,208,000",-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,089,000","-1,192,678,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"-627,848,000","-767,996,000","-846,135,000","-702,328,000","-1,663,803,000","-633,257,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-627,848,000","-767,996,000","-846,135,000","-702,328,000","-1,663,803,000","-633,257,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-627,848,000","-767,996,000","-846,135,000","-702,328,000","-1,663,803,000","-633,257,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"412,508,000","411,530,000","410,093,000","399,749,000","131,901,000","65,000,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"412,508,000","411,530,000","410,093,000","399,749,000","131,901,000","65,000,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),0.253%,0.350%,2.588%,203.067%,102.925%,-,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-1.522,-1.866,-2.063,-1.757,-12.614,-9.742,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-1.522,-1.866,-2.063,-1.757,-12.614,-9.742,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-357,109,000","-410,827,000","-613,596,000","-634,285,000","-385,243,000","-290,869,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.866,-0.998,-1.496,-1.587,-2.921,-4.475,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,50.396%,50.742%,40.326%,29.370%,-,100.000%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-290.364%,-327.942%,-478.494%,-2505.816%,-,-3711.764%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-363.063%,-441.743%,-580.730%,-2280.508%,-,-11549.462%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-206.504%,-236.303%,-421.131%,-2059.567%,-,-5304.924%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-427,397,000","-492,691,000","-629,527,000","-738,703,000","-454,041,000","-194,403,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-247.149%,-283.390%,-,-,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"74,733,000","77,455,000","67,648,000","33,013,000","13,819,000","9,113,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-502,130,000","-570,146,000","-697,175,000","-771,716,000","-467,860,000","-203,516,000",Upgrade,Financials in CNY,Fiscal year is January - December
Advertising Expenses,-,"49,775,000","77,385,000","70,124,000","5,655,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
