Fiscal Year,TTM,FY 2014,FY 2013,FY 2012,Currency,Fiscal_Year_period
Period Ending,"May '15 May 31, 2015","Aug '14 Aug 31, 2014","Aug '13 Aug 31, 2013","Aug '12 Aug 31, 2012",,
Cost of Revenue,"161,400","161,899","91,140",-,Financials in USD,Fiscal year is September - August
Gross Profit,"-161,400","-161,899","-91,140",-,Financials in USD,Fiscal year is September - August
"Selling, General & Admin","291,564","626,950","913,355","236,841",Financials in USD,Fiscal year is September - August
Operating Expenses,"291,937","627,096","1,050,680","711,487",Financials in USD,Fiscal year is September - August
Operating Income,"-453,337","-788,995","-1,141,820","-711,487",Financials in USD,Fiscal year is September - August
Interest Expense,"-237,097","-110,845","-83,775","-40,183",Financials in USD,Fiscal year is September - August
Currency Exchange Gain (Loss),"-2,424","-2,424",-262,-,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),"-71,751","50,934",-,-,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-764,609","-851,330","-1,225,857","-751,670",Financials in USD,Fiscal year is September - August
Other Unusual Items,-,-,-,"-23,621",Financials in USD,Fiscal year is September - August
Pretax Income,"-764,609","-851,330","-1,225,857","-775,291",Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-764,609","-851,330","-1,225,857","-775,291",Financials in USD,Fiscal year is September - August
Earnings From Discontinued Operations,-,-,-,"-3,742",Financials in USD,Fiscal year is September - August
Net Income,"-764,609","-851,330","-1,225,857","-779,033",Financials in USD,Fiscal year is September - August
Net Income to Common,"-764,609","-851,330","-1,225,857","-779,033",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"65,913,295","36,435,452","21,807,142","7,122,884",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"65,913,295","36,435,452","21,807,142","7,122,884",Financials in USD,Fiscal year is September - August
Shares Change (YoY),81.054%,67.080%,206.156%,-,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.012,-0.023,-0.056,-0.109,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.012,-0.023,-0.056,-0.109,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-300,036","-284,617","-499,136","-251,962",Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.005,-0.008,-0.023,-0.035,Financials in USD,Fiscal year is September - August
EBITDA,"-452,964","-788,849","-1,008,512","-259,497",Financials in USD,Fiscal year is September - August
D&A For EBITDA,373,146,"133,308","451,990",Financials in USD,Fiscal year is September - August
EBIT,"-453,337","-788,995","-1,141,820","-711,487",Financials in USD,Fiscal year is September - August
Advertising Expenses,-,"4,916","7,526","1,788",Financials in USD,Fiscal year is September - August
