Fiscal Quarter,Q3 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021,Q4 2020,Q3 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
"Selling, General & Admin","349,372","412,353","73,485","180,999","499,951","774,759","153,946",Financials in USD,Fiscal year is January - December
Research & Development,"332,503","383,247","344,643","315,435","506,977","584,792","258,322",Financials in USD,Fiscal year is January - December
Operating Expenses,"681,875","795,600","418,128","496,434","1,006,928","1,359,551","412,268",Financials in USD,Fiscal year is January - December
Operating Income,"-681,875","-795,600","-418,128","-496,434","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
Interest Expense,"-53,008","-30,839","-17,310","-5,486",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"41,893","41,131","17,237",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-70,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-762,990","-785,308","-418,201","-501,920","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-2,527,078",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-762,990","-785,308","-2,945,279","-501,920","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
Net Income,"-762,990","-785,308","-2,945,279","-501,920","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
Net Income to Common,"-762,990","-785,308","-2,945,279","-501,920","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"113,270,751","113,270,751","40,143,812","45,075,538","45,075,538","30,302,152","50,000,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"113,270,751","113,270,751","40,143,812","45,075,538","45,075,538","30,302,152","50,000,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),151.291%,273.804%,-19.712%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.007,-0.007,-0.073,-0.011,-0.022,-0.045,-0.008,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.010,-0.010,-0.075,-0.011,-0.022,-0.045,-0.008,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-553,418","-850,552",-,"-592,972","-1,285,402",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-0.005,-0.021,-,-0.013,-0.042,-,Financials in USD,Fiscal year is January - December
EBIT,"-681,875","-795,600","-418,128","-496,434","-1,006,928","-1,359,551","-412,268",Financials in USD,Fiscal year is January - December
