Fiscal Quarter,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Currency,Fiscal_Year_period
Period Ending,"May '10 May 31, 2010","Feb '10 Feb 28, 2010","Nov '09 Nov 30, 2009","Aug '09 Aug 31, 2009","May '09 May 31, 2009","Feb '09 Feb 28, 2009","Nov '08 Nov 30, 2008","Aug '08 Aug 31, 2008","May '08 May 31, 2008","Feb '08 Feb 29, 2008","Nov '07 Nov 30, 2007","Aug '07 Aug 31, 2007","May '07 May 31, 2007",,
"Selling, General & Admin","9,674","14,974","2,891","16,641","2,000","1,500","5,059",650,"2,450","10,384","7,371","2,750","10,000",Financials in USD,Fiscal year is September - August
Operating Expenses,"9,674","14,974","2,891","16,641","2,000","1,500","5,059",650,"2,450","10,384","7,371","2,750","10,000",Financials in USD,Fiscal year is September - August
Operating Income,"-9,674","-14,974","-2,891","-16,641","-2,000","-1,500","-5,059",-650,"-2,450","-10,384","-7,371","-2,750","-10,000",Financials in USD,Fiscal year is September - August
Interest Expense,-,-,-56,-180,-180,-180,"-7,290",-,-,-,-,-,-,Financials in USD,Fiscal year is September - August
Interest & Investment Income,-,-,-,-,2,2,2,8,2,34,-,11,-,Financials in USD,Fiscal year is September - August
Other Non Operating Income (Expenses),237,-312,"-3,134",187,-,-,"-1,575","-3,312",-132,-,92,"-5,529",-,Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-9,437","-15,286","-6,081","-16,634","-2,178","-1,678","-13,922","-3,954","-2,580","-10,350","-7,279","-8,269","-10,000",Financials in USD,Fiscal year is September - August
Other Unusual Items,-,-,-,-,-,-,"1,616",-,-,-,-,-,-,Financials in USD,Fiscal year is September - August
Pretax Income,"-9,437","-15,286","-6,081","-16,634","-2,178","-1,678","-12,306","-3,954","-2,580","-10,350","-7,279","-8,269","-10,000",Financials in USD,Fiscal year is September - August
Net Income,"-9,437","-15,286","-6,081","-16,634","-2,178","-1,678","-12,306","-3,954","-2,580","-10,350","-7,279","-8,269","-10,000",Financials in USD,Fiscal year is September - August
Net Income to Common,"-9,437","-15,286","-6,081","-16,634","-2,178","-1,678","-12,306","-3,954","-2,580","-10,350","-7,279","-8,269","-10,000",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"12,758,000","11,408,000","10,058,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","24,899,001","3,753,333",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"12,758,000","11,408,000","10,058,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","9,158,000","24,899,001","3,753,333",Financials in USD,Fiscal year is September - August
Shares Change (YoY),39.310%,24.569%,9.827%,-,-,-,-,-63.219%,143.996%,-,-,-,-,Financials in USD,Fiscal year is September - August
EPS (Basic),-0.001,-0.001,-0.001,-0.002,-0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.001,-0.000,-0.003,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.001,-0.001,-0.001,-0.002,-0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.001,-0.000,-0.003,Financials in USD,Fiscal year is September - August
Free Cash Flow,-,-,-636,-831,2,-498,-498,"-2,775",3,"-12,100","-7,094","1,511",-,Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-,-,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.001,-0.001,0.000,-,Financials in USD,Fiscal year is September - August
EBIT,"-9,674","-14,974","-2,891","-16,641","-2,000","-1,500","-5,059",-650,"-2,450","-10,384","-7,371","-2,750","-10,000",Financials in USD,Fiscal year is September - August
