Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,"66,000","557,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-88.151%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"1,937,000","52,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-1,871,000","505,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","22,386,000","22,386,000","28,352,000","51,825,000","12,217,000","3,005,000",Financials in USD,Fiscal year is January - December
Research & Development,"35,899,000","35,899,000","47,627,000","71,379,000","20,570,000","10,656,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"58,285,000","58,285,000","75,979,000","123,204,000","32,787,000","13,661,000",Financials in USD,Fiscal year is January - December
Operating Income,"-58,285,000","-58,285,000","-75,979,000","-125,075,000","-32,282,000","-13,661,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-696,000","-696,000","-514,000","-840,000","-1,182,000","-435,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,090,000","2,090,000","1,259,000","9,000","1,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-43,000","-43,000","12,000","-23,000","-77,000","-40,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-8,579,000","-6,417,000","-27,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-56,934,000","-56,934,000","-75,222,000","-134,508,000","-39,957,000","-14,163,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-2,667,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-56,934,000","-56,934,000","-75,222,000","-137,175,000","-39,957,000","-14,163,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"56,000",Financials in USD,Fiscal year is January - December
Net Income,"-56,934,000","-56,934,000","-75,222,000","-137,175,000","-39,957,000","-14,219,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-56,934,000","-56,934,000","-75,222,000","-137,175,000","-39,957,000","-14,219,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"126,508,917","126,508,917","125,939,050","76,586,842","65,638,946","34,210,859",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"126,508,917","126,508,917","125,939,050","76,586,842","65,638,946","34,210,859",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.452%,0.452%,64.440%,16.679%,91.866%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.450,-0.450,-0.597,-1.791,-0.609,-0.416,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.450,-0.450,-0.597,-1.791,-0.609,-0.416,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-58,041,000","-58,041,000","-57,794,000","-82,308,000","-35,387,000","-12,265,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.459,-0.459,-0.459,-1.075,-0.539,-0.359,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,90.664%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-189507.576%,-5795.691%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-207840.909%,-7173.609%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-124709.091%,-6353.142%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-56,051,000","-56,051,000","-74,295,000","-123,973,000","-31,565,000","-13,554,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,234,000","2,234,000","1,684,000","1,102,000","717,000","107,000",Financials in USD,Fiscal year is January - December
EBIT,"-58,285,000","-58,285,000","-75,979,000","-125,075,000","-32,282,000","-13,661,000",Financials in USD,Fiscal year is January - December
