Fiscal Year,TTM,FY 2011,FY 2010,FY 2009,FY 2008,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Dec '10 Dec 31, 2010","Dec '09 Dec 31, 2009","Dec '08 Dec 31, 2008",,
Revenue,-,-,-,"11,808","60,633",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-80.525%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,235,"4,989",-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-235,"6,819","60,633",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","44,701",597,"344,157","317,990","191,331",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,"18,839","5,771",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"59,701","15,597","384,756","333,385","191,331",Financials in USD,Fiscal year is January - December
Operating Income,"-59,701","-15,597","-384,991","-326,566","-130,698",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-994,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,349,162,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),3,30,-6,"-5,886",-78,Financials in USD,Fiscal year is January - December
Pretax Income,"-59,698","-15,567","-384,648","-333,284","-130,776",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,800,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-59,698","-15,567","-385,448","-333,284","-130,776",Financials in USD,Fiscal year is January - December
Net Income to Common,"-59,698","-15,567","-385,448","-333,284","-130,776",Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,57.749%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-2765.633%,-215.556%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-2822.527%,-215.685%,Financials in USD,Fiscal year is January - December
EBITDA,"-44,701",-597,"-363,231","-316,942",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"15,000","15,000","21,760","9,624",-,Financials in USD,Fiscal year is January - December
EBIT,"-59,701","-15,597","-384,991","-326,566","-130,698",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-215.556%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"11,808",-,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,"1,124",-,Financials in USD,Fiscal year is January - December
