Fiscal Quarter,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,+4 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016",+4 Quarters,,
"Selling, General & Admin","514,000","549,000","159,000","348,000","822,000","368,000","358,000","481,000","1,140,000","1,272,000","768,000","992,000","802,000","760,000","798,000","234,000","796,000","890,000","1,209,000","2,082,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-2,340,000",-,-,"197,000","55,000","1,037,000","1,867,000","2,831,000","2,286,000","1,864,000","2,313,000","1,287,000","225,000","20,000","1,024,000","404,000","716,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"514,000","549,000","159,000","-1,992,000","822,000","368,000","555,000","536,000","2,177,000","3,139,000","3,599,000","3,278,000","2,666,000","3,073,000","2,085,000","459,000","816,000","1,914,000","1,613,000","2,798,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-514,000","-549,000","-159,000","1,992,000","-822,000","-368,000","-555,000","-536,000","-2,177,000","-3,139,000","-3,599,000","-3,278,000","-2,666,000","-3,073,000","-2,085,000","-459,000","-816,000","-1,914,000","-1,613,000","-2,798,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-14,000","-715,000","-59,000","-2,911,000","-152,000","-399,000","-51,000","-901,000","-40,000","-197,000","-454,000",-,"-181,000",-,"-218,000","-12,000",-,-,-,"-180,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"709,000",-,"39,000","20,000","1,032,000",-,"2,261,000","104,000","633,000","646,000",-,"179,000",-,"74,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,"115,000",-,-,-,"-269,000",-,-,-,"54,000",-,-,-,"-16,000","-46,000","15,000","-8,000","-7,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"463,000",-,-,-,"520,000",-,-,-,"1,490,000","41,000","7,912,000","4,573,000","-16,959,000","-333,000","-5,000",-,"629,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"181,000","-1,264,000","-179,000","-321,000","58,000","-767,000","1,655,000","-1,082,000","-1,584,000","-2,690,000","-4,053,000","-1,555,000","-2,806,000","4,913,000","2,270,000","-17,446,000","-1,195,000","-1,904,000","-1,621,000","-2,356,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-113,000",-,-,-,"-6,923,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-2,543,000","-220,000",-,-,"-61,000","-10,482,000","2,291,000","-26,161,000","583,000","7,718,000","-10,211,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-55,000","-57,000",-,-,"12,338,000","3,073,000","-1,157,000","18,221,000","-2,793,000","-3,098,000","12,908,000","890,000","-4,186,000","-9,583,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"181,000","-1,264,000","-2,777,000","-598,000","58,000","-767,000","13,932,000","-8,491,000","-450,000","-10,630,000","-6,263,000","3,065,000","-109,000","5,803,000","-1,916,000","-27,142,000","-1,195,000","-1,904,000","-1,621,000","-9,279,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-476,000","56,000",-,-,"-11,000","-7,000","526,000","-5,272,000","131,000","1,890,000","-1,910,000","-79,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"181,000","-1,264,000","-2,301,000","-654,000","58,000","-767,000","13,943,000","-8,484,000","-976,000","-5,358,000","-6,394,000","1,175,000","1,801,000","5,882,000","-1,916,000","-27,142,000","-1,195,000","-1,904,000","-1,621,000","-9,279,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"-680,000",-,-,"-471,000","-7,899,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"181,000","-1,944,000","-2,301,000","-654,000","-413,000","-8,666,000","13,943,000","-8,484,000","-976,000","-5,358,000","-6,394,000","1,175,000","1,801,000","5,882,000","-1,916,000","-27,142,000","-1,195,000","-1,904,000","-1,621,000","-9,279,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"181,000","-1,944,000","-2,301,000","-654,000","-413,000","-8,666,000","13,943,000","-8,484,000","-976,000","-5,358,000","-6,394,000","1,175,000","1,801,000","5,882,000","-1,916,000","-27,142,000","-1,195,000","-1,904,000","-1,621,000","-9,279,000",Upgrade,Financials in USD,Fiscal year is January - December
