Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Jan '24 Jan 31, 2024","Jan '23 Jan 31, 2023","Jan '22 Jan 31, 2022","Jan '21 Jan 31, 2021",,
"Selling, General & Admin","2,193,263","2,605,340","1,798,966","1,986,113","183,121",Financials in CAD,Fiscal year is February - January
Research & Development,"1,416,580","2,592,188","4,149,707","2,705,233","486,537",Financials in CAD,Fiscal year is February - January
Operating Expenses,"3,609,843","5,197,528","5,980,126","4,734,374","669,658",Financials in CAD,Fiscal year is February - January
Operating Income,"-3,609,843","-5,197,528","-5,980,126","-4,734,374","-669,658",Financials in CAD,Fiscal year is February - January
Interest Expense,"-98,612","-19,261",-,-539,"-3,295",Financials in CAD,Fiscal year is February - January
Other Non Operating Income (Expenses),-,-,"1,099",-,-,Financials in CAD,Fiscal year is February - January
EBT Excluding Unusual Items,"-3,708,455","-5,216,789","-5,979,027","-4,734,913","-672,953",Financials in CAD,Fiscal year is February - January
Other Unusual Items,"-15,175",-,-,-,"-439,251",Financials in CAD,Fiscal year is February - January
Pretax Income,"-3,723,630","-5,216,789","-5,979,027","-4,734,913","-1,112,204",Financials in CAD,Fiscal year is February - January
Net Income,"-3,723,630","-5,216,789","-5,979,027","-4,734,913","-1,112,204",Financials in CAD,Fiscal year is February - January
Net Income to Common,"-3,723,630","-5,216,789","-5,979,027","-4,734,913","-1,112,204",Financials in CAD,Fiscal year is February - January
Shares Outstanding (Basic),"73,377,540","72,453,309","60,190,253","47,658,574","33,716,049",Financials in CAD,Fiscal year is February - January
Shares Outstanding (Diluted),"73,377,540","72,453,309","60,190,253","47,658,574","33,716,049",Financials in CAD,Fiscal year is February - January
Shares Change (YoY),8.523%,20.374%,26.295%,41.353%,-,Financials in CAD,Fiscal year is February - January
EPS (Basic),-0.051,-0.072,-0.099,-0.099,-0.033,Financials in CAD,Fiscal year is February - January
EPS (Diluted),-0.051,-0.072,-0.099,-0.099,-0.033,Financials in CAD,Fiscal year is February - January
Free Cash Flow,"-1,349,678","-3,285,034","-4,589,196","-3,881,523","-425,456",Financials in CAD,Fiscal year is February - January
Free Cash Flow Per Share,-0.018,-0.045,-0.076,-0.081,-0.013,Financials in CAD,Fiscal year is February - January
EBITDA,"-3,588,245","-5,175,819","-5,965,206","-4,720,361",-,Financials in CAD,Fiscal year is February - January
D&A For EBITDA,"21,598","21,709","14,920","14,013",-,Financials in CAD,Fiscal year is February - January
EBIT,"-3,609,843","-5,197,528","-5,980,126","-4,734,374","-669,658",Financials in CAD,Fiscal year is February - January
