Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Revenue,-,-,-,-,-,"2,251","6,331","92,167","63,081","51,480","60,720",-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-95.627%,-89.573%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,-,-,-,"6,209",-,-,-,"6,223","69,965","105,643","23,232",-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,-,-,-,"-6,209",-,"2,251","6,331","85,944","-6,884","-54,163","37,488",-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","103,881","219,628","155,641","146,694","203,229","165,668","177,318","339,663","329,077","282,175","296,724","665,179","189,426","271,850","190,849","417,847","282,824","552,584","157,323","567,016",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"103,881","219,628","155,641","228,115","278,059","240,498","252,148","580,942","546,377","515,378","524,303","1,160,666","498,325","505,225","374,230","2,371,485","1,859,997","689,255","404,825","1,184,860",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-103,881","-219,628","-155,641","-234,324","-278,059","-238,247","-245,817","-494,998","-553,261","-569,541","-486,815","-1,160,666","-498,325","-505,225","-374,230","-2,371,485","-1,859,997","-689,255","-404,825","-1,184,860",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-24,887","-24,700","-24,699","-8,102","-26,683","-31,708","-25,401","-37,090","-117,534","-104,901","-106,072","-107,361","-145,806","-105,754","-110,400","-94,376","-205,721","-199,381","-175,468","-191,788",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"9,226","9,226","8,587","8,601","8,300","8,049","5,882","5,575","5,633","5,634","5,572","6,650","6,775","6,752","6,274","11,828","5,566",Upgrade,Financials in CAD,Fiscal year is January - December
