Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
"Selling, General & Admin","1,031,711","1,031,711","631,462","319,173","663,664","934,926",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"15,267","15,267","13,097","17,698","102,180","98,983",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,046,978","1,046,978","644,559","336,871","765,844","1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,046,978","-1,046,978","-644,559","-336,871","-765,844","-1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-135,134","-135,134",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,182,112","-1,182,112","-644,559","-336,871","-765,844","-1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"100,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-340,231",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,182,112","-1,182,112","-984,790","-236,871","-765,844","-1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,182,112","-1,182,112","-984,790","-236,871","-765,844","-1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,"-375,787",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,182,112","-1,182,112","-984,790","-236,871","-765,844","-1,409,696",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"3,548",-,-,"160,479",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,182,112","-1,182,112","-988,338","-236,871","-765,844","-1,570,175",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"34,548,676","34,548,676","30,577,988","17,656,762","17,483,283","11,403,333",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,548,676","34,548,676","30,577,988","17,656,762","17,483,283","11,403,333",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.985%,12.985%,73.180%,0.992%,53.317%,20.535%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.034,-0.034,-0.032,-0.013,-0.044,-0.138,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.034,-0.034,-0.032,-0.013,-0.044,-0.138,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-417,524","-417,524","-238,197","-443,974","-262,897","-970,264",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.012,-0.012,-0.008,-0.025,-0.015,-0.085,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,015,689","-1,015,689","-613,270","-305,542","-734,420","-1,002,610",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"31,289","31,289","31,289","31,329","31,424","31,299",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,046,978","-1,046,978","-644,559","-336,871","-765,844","-1,033,909",Upgrade,Financials in USD,Fiscal year is January - December
