Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+16 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+16 Quarters,,
"Selling, General & Admin","60,161","106,213","34,912","53,651","93,955","104,856","-9,457","110,830","126,041","72,656","-75,787","64,573","77,555","154,941","199,818","81,178","136,416","149,281","121,334","191,845",Upgrade,Financials in USD,Fiscal year is October - September
Research & Development,"11,226","18,517","13,915","46,672","13,704","17,956","40,453","17,030","17,224","9,135","10,465",-,"16,067",-,"-66,739","11,386","45,164",-,"-60,627",-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"71,387","124,730","48,827","100,323","3,966,452","122,812","30,996","127,860","143,265","81,791","-65,322","64,573","93,622","154,941","133,079","92,564","181,580","149,281","60,707","191,845",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-71,387","-124,730","-48,827","-100,323","-3,966,452","-122,812","-30,996","-127,860","-143,265","-81,791","65,322","-64,573","-93,622","-154,941","-133,079","-92,564","-181,580","-149,281","-60,707","-191,845",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-24,580","-23,316","-9,608","-4,840","-170,636","-27,888","-29,307","-592,132","-97,859","-221,695","-390,901","-59,017","-48,913","-17,077","-11,653","-11,631","-9,393","-8,761","-7,050","-20,517",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-380,-,-107,156,590,-,-,-,-,"2,819",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),449,409,107,-,"7,888",856,779,"73,569","10,114","28,855",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-95,518","-147,637","-58,328","-105,163","-4,129,200","-149,844","-59,524","-646,423","-231,010","-274,631","-325,959","-123,590","-142,642","-171,862","-144,142","-104,195","-190,973","-158,042","-67,757","-209,543",Upgrade,Financials in USD,Fiscal year is October - September
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,722,985",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"120,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,149,369",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,-,-,-,-,-,"525,000",-,"11,773",-,"-123,718",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-95,518","-147,637","-58,328","-105,163","-4,129,200","-149,844","-59,524","-646,423","293,990","-274,631","-314,186","-123,590","-266,360","-171,862","-2,293,511","-2,707,180","-190,973","-158,042","-67,757","-209,543",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,034",-,-,-,"-7,584",-,Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-95,518","-147,637","-58,328","-105,163","-4,129,200","-149,844","-59,524","-646,423","293,990","-274,631","-314,186","-123,590","-266,360","-171,862","-2,290,477","-2,707,180","-190,973","-158,042","-60,173","-209,543",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-95,518","-147,637","-58,328","-105,163","-4,129,200","-149,844","-59,524","-646,423","293,990","-274,631","-314,186","-123,590","-266,360","-171,862","-2,290,477","-2,707,180","-190,973","-158,042","-60,173","-209,543",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"771,811,360","771,811,360","770,271,165","771,811,360","588,518,916","179,979,361","180,732,694","127,155,100","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"771,811,360","771,811,360","770,271,165","771,811,360","588,518,916","179,979,361","180,732,694","127,155,100","170,038,369","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003","68,908,003",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),31.145%,328.833%,326.194%,506.984%,246.109%,161.188%,162.281%,84.529%,146.761%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.007,-0.001,-0.000,-0.005,0.004,-0.004,-0.005,-0.002,-0.004,-0.002,-0.033,-0.039,-0.003,-0.002,-0.001,-0.003,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.000,-0.000,-0.002,-0.000,-0.007,-0.001,-0.003,-0.005,0.002,-0.004,-0.005,-0.002,-0.004,-0.002,-0.033,-0.039,-0.003,-0.002,-0.001,-0.003,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-35,791","-47,294","6,654","9,987","-23,767","-1,390","-190,524","20,631","-67,986","-74,784","-39,992","-81,364","-121,147","-50,890","-57,408","23,704","-138,191","-79,432","-6,938","14,593",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.001,0.000,-0.000,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,0.000,-0.002,-0.001,-0.000,0.000,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,-,-,-,-,-,-,"-30,917","-127,781","-143,186","-81,712","65,322","-64,573","-93,622","-154,627","-132,670","-92,155","-181,172","-148,872","-59,433","-191,113",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,-,-,-,-,-,-,79,79,79,79,-,-,-,314,409,409,408,409,"1,274",732,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-71,387","-124,730","-48,827","-100,323","-3,966,452","-122,812","-30,996","-127,860","-143,265","-81,791","65,322","-64,573","-93,622","-154,941","-133,079","-92,564","-181,580","-149,281","-60,707","-191,845",Upgrade,Financials in USD,Fiscal year is October - September
