Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2013,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2013,,
Revenue,"7,209","49,113","254,996","190,577","194,686",-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-96.080%,-80.740%,33.802%,-2.111%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"19,973","19,973","69,879",-,-,"41,876",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"-12,764","29,140","185,117","190,577","194,686","-41,876",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","242,750","1,059,202","1,078,215","408,924","767,050","882,973",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"33,778","84,018","148,327","128,009","1,148,664","195,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"182,054","1,417,928","1,828,401","791,545","3,215,743","1,733,365",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-194,818","-1,388,788","-1,643,284","-600,968","-3,021,057","-1,775,241",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-3,984","-6,089","-46,229","-58,818","-73,220","-40,167",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,985","-3,686",-436,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-40,512","-30,848","-13,626","-52,172","-143,922","-36,273",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-244,299","-1,429,411","-1,703,575","-711,958","-3,238,199","-1,851,681",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-47,690",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-79,999",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-56,921",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-200,000",-,"-6,384,726",Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"4,758","-14,695","713,264",-,"45,363","18,313",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-239,541","-1,444,106","-990,311","-1,048,878","-3,192,836","-8,265,784",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-239,541","-1,444,106","-990,311","-1,048,878","-3,192,836","-8,265,784",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-239,541","-1,444,106","-990,311","-1,048,878","-3,192,836","-8,265,784",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"31,690,584","30,074,872","19,586,366","15,361,496","8,912,479","6,326,933",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"31,690,584","30,074,872","19,586,366","15,361,496","8,912,479","6,326,933",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),33.284%,53.550%,27.503%,72.359%,40.866%,161.650%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.008,-0.048,-0.051,-0.068,-0.358,-1.306,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.008,-0.048,-0.051,-0.068,-0.358,-1.306,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-139,206","-311,063","-1,481,966","-331,672","-328,817","-1,103,744",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.004,-0.010,-0.076,-0.022,-0.037,-0.174,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,-177.056%,59.332%,72.596%,100.000%,100.000%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-2702.428%,-2827.740%,-644.435%,-315.341%,-1551.759%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-3322.805%,-2940.374%,-388.363%,-550.370%,-1639.993%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-1931.003%,-633.362%,-581.172%,-174.036%,-168.896%,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-171,964","-1,310,683","-1,544,317","-499,799","-2,955,497","-1,722,772",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-,-,-,-262.256%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"22,854","78,105","98,967","101,169","65,560","52,469",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-194,818","-1,388,788","-1,643,284","-600,968","-3,021,057","-1,775,241",Upgrade,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,"205,905","186,214","5,293","42,983","108,879",Upgrade,Financials in CAD,Fiscal year is January - December
