Fiscal Quarter,Q1 2024,Q1 2023,Q1 2022,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Nov '23 Nov 30, 2023","Nov '22 Nov 30, 2022","Nov '21 Nov 30, 2021","Nov '20 Nov 30, 2020",,
Revenue,-,-,"1,692","65,623",Financials in USD,Fiscal year is September - August
Cost of Revenue,-,-,-,"37,855",Financials in USD,Fiscal year is September - August
Gross Profit,-,-,"1,692","27,768",Financials in USD,Fiscal year is September - August
"Selling, General & Admin","63,650","99,004","89,930","132,670",Financials in USD,Fiscal year is September - August
Operating Expenses,"63,650","99,004","89,930","132,670",Financials in USD,Fiscal year is September - August
Operating Income,"-63,650","-99,004","-88,238","-104,902",Financials in USD,Fiscal year is September - August
Interest Expense,"-10,278","-5,383","-16,024","-11,417",Financials in USD,Fiscal year is September - August
Interest & Investment Income,-,"1,870",-,"1,002",Financials in USD,Fiscal year is September - August
EBT Excluding Unusual Items,"-73,928","-102,517","-104,262","-115,317",Financials in USD,Fiscal year is September - August
Other Unusual Items,-,-,"2,961",-,Financials in USD,Fiscal year is September - August
Pretax Income,"-73,928","-102,517","-101,301","-115,317",Financials in USD,Fiscal year is September - August
Earnings From Continuing Operations,"-73,928","-102,517","-101,301","-115,317",Financials in USD,Fiscal year is September - August
Earnings From Discontinued Operations,-,"134,187",-,-,Financials in USD,Fiscal year is September - August
Net Income,"-73,928","31,670","-101,301","-115,317",Financials in USD,Fiscal year is September - August
Net Income to Common,"-73,928","31,670","-101,301","-115,317",Financials in USD,Fiscal year is September - August
Shares Outstanding (Basic),"109,649,538","61,401,773","26,753,705","16,127,000",Financials in USD,Fiscal year is September - August
Shares Outstanding (Diluted),"109,649,538","61,401,773","26,753,705","16,127,000",Financials in USD,Fiscal year is September - August
EPS (Basic),-0.001,0.001,-0.004,-0.007,Financials in USD,Fiscal year is September - August
EPS (Diluted),-0.001,0.001,-0.004,-0.007,Financials in USD,Fiscal year is September - August
Free Cash Flow,"-6,560","3,048","-33,578","-24,712",Financials in USD,Fiscal year is September - August
Free Cash Flow Per Share,-0.000,0.000,-0.001,-0.002,Financials in USD,Fiscal year is September - August
Gross Margin,-,-,100.000%,42.314%,Financials in USD,Fiscal year is September - August
Operating Margin,-,-,-5215.012%,-159.856%,Financials in USD,Fiscal year is September - August
Profit Margin,-,-,-5987.057%,-175.726%,Financials in USD,Fiscal year is September - August
Free Cash Flow Margin,-,-,-1984.515%,-37.658%,Financials in USD,Fiscal year is September - August
EBIT,"-63,650","-99,004","-88,238","-104,902",Financials in USD,Fiscal year is September - August
EBIT Margin,-,-,-,-159.856%,Financials in USD,Fiscal year is September - August
